50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e747a2f-4658-4e18-8aff-526f8b9c6954,1,,,70303,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4f56d9e-5cb8-4e74-908d-cf33d73ecd08,2,,,70303,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 7069, 'name': 'Miguel Ángel Moyà Rumbo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ad03648c-915a-409b-8330-ab22a4bcb579,3,,,70303,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6203f737-21f2-495f-b01e-8c0dbdf0fef9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6203f737-21f2-495f-b01e-8c0dbdf0fef9,4,,,70303,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ad03648c-915a-409b-8330-ab22a4bcb579'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fb24318e-b4a5-462d-a9f5-951290747b56,1751,,,70303,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['760ea310-c50a-4a8e-858f-5879ff2f3ca8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,760ea310-c50a-4a8e-858f-5879ff2f3ca8,1752,,,70303,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['fb24318e-b4a5-462d-a9f5-951290747b56'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,,0.759838,,,,,,,,,,,,,,,818519aa-a741-40e8-bf5a-6ef18708c0b2,5,,"[61.0, 40.1]",70303,0,,,,,-2.2937758,,Left Foot,,,,"[58.0, 36.7]",Ground Pass,,4.5343137,,,,Mario Mandžukić,5472.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,Atlético Madrid,212,['11148319-8f78-491d-af02-86e2eec09563'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.704,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.633601,,,,,,,,,,,,,,,6932c533-f871-4c08-9cb8-cdedeaaacf2c,7,,"[58.6, 41.3]",70303,0,,,,,-3.0565708,,Right Foot,,,,"[41.0, 39.8]",Ground Pass,,17.663805,,,,Tiago Cardoso Mendes,20669.0,,,,,,1,From Kick Off,Mario Mandžukić,5472.0,Center Forward,2,Atlético Madrid,212,['aeeb6c6c-4462-481d-901d-f21460b12d30'],1,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:01.464,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.9957,,,,,,,,,,,,,,,e4df2c0d-50df-48ea-bda9-5f6a779296a6,9,,"[41.5, 38.9]",70303,0,,,,,-0.9888912,,Right Foot,,,,"[51.5, 23.7]",Ground Pass,,18.194504,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Kick Off,Tiago Cardoso Mendes,20669.0,Left Defensive Midfield,2,Atlético Madrid,212,['7dac8707-30e1-4532-9a34-7c0019122549'],3,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:03.097,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.9567,,,,,,,,,,,,,,,6898ef68-149d-4b21-ae84-d402a08840f0,12,,"[51.3, 23.7]",70303,0,,,,,-0.22581168,,Left Foot,,,,"[66.1, 20.3]",Ground Pass,,15.185519,,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Left Midfield,2,Atlético Madrid,212,['b4fb0d02-f97f-4c05-8aa9-b868f2e0811e'],5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.122,Pass,,2014/2015
