50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,07bba6e1-9ce0-4957-aca1-952d2764102c,1,,,9855,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10b45b73-7a77-4304-a9bf-c8afce66544d,2,,,9855,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6395, 'name': 'Kepa Arrizabalaga Revuelta'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6397, 'name': 'Unai Núñez Gestoso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6660, 'name': 'Enric Saborit Teixidor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Athletic Club,215,00:00:00.000,Starting XI,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c57df879-e970-4664-b834-232c2de86686,3,,,9855,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['411317e5-fcad-4c2f-99f8-536b252232a3'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,411317e5-fcad-4c2f-99f8-536b252232a3,4,,,9855,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c57df879-e970-4664-b834-232c2de86686'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e764c391-5040-4e2d-a26c-44e49a50da2c,1816,,,9855,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Barcelona,217,['864e2160-4a6d-47bc-93c5-c96f8cd2c2f3'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,864e2160-4a6d-47bc-93c5-c96f8cd2c2f3,1817,,,9855,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,81,Barcelona,217,['e764c391-5040-4e2d-a26c-44e49a50da2c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2017/2018
,,,,,,,,,,,,,,,,,,,1.553717,,,,,,,,,,,,,29a9ef1a-d123-4d3c-a0c1-d4e1b01954ae,5,,"[61.0, 40.1]",9855,0,,,,-2.8579915,,Right Foot,,,"[41.1, 34.3]",,Ground Pass,,20.728,,,,Íñigo Martínez Berridi,6665.0,,,,,Kick Off,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['32085baf-882b-409b-a6f6-a5614587e296'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.152,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,1.468881,,,,,,,,,,,,,796da5ca-86eb-4326-88af-37055253def3,8,,"[41.4, 34.6]",9855,0,,,,-1.5284488,,Right Foot,,,"[42.4, 11.0]",,Ground Pass,,23.621178,,,,Enric Saborit Teixidor,6660.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Athletic Club,215,['576d1429-5b9c-4c1a-805f-6db1a9c15af0'],3,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.041,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,,3.044716,,,,,,,,,,,,,c311d219-5159-458e-bfcd-f2ea53d849cd,12,,"[42.7, 13.1]",9855,0,,,,1.9753481,,Left Foot,,,"[27.5, 48.6]",,Ground Pass,,38.617226,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Enric Saborit Teixidor,6660.0,Left Back,2,Athletic Club,215,"['5368b7c8-7c07-47e8-83f4-9d6221da3482', '54c668ef-f949-47af-bd77-3351e90d10d7']",5,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.322,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,,1.702453,,,,,,,,,,,,,491f6d0b-bb41-4e42-ab13-2f960d51df0e,14,,"[27.5, 48.6]",9855,0,,,,1.5517147,,Left Foot,,,"[28.0, 74.8]",,Ground Pass,,26.204771,,,,Unai Núñez Gestoso,6397.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Athletic Club,215,['ab6c8650-cb52-4b88-ae09-d8abcff414cc'],8,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:08.367,Pass,,2017/2018
