50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8832bdcc-ffaa-481e-b4c5-754dd537bfe0,1,,,,266770,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 27240, 'name': 'Jesús Fernández Collado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 24860, 'name': 'Héctor Rodas Ramírez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20539, 'name': 'Loukas Vyntra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 26248, 'name': 'David Barral Torres'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e44406f4-8997-4eb2-bc28-ef85947f3040,2,,,,266770,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4fa561e9-fbc0-42dd-8d9a-8b667768f11a,3,,,,266770,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['e08f7118-06cd-4aeb-9b70-f6959a62d9be'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e08f7118-06cd-4aeb-9b70-f6959a62d9be,4,,,,266770,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['4fa561e9-fbc0-42dd-8d9a-8b667768f11a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e2cbb120-a741-4c4b-a483-f0f18efdc757,1725,,,,266770,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,122,Levante UD,221,['1ba6e532-f184-46db-97b4-9818caf587b8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1ba6e532-f184-46db-97b4-9818caf587b8,1726,,,,266770,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,122,Levante UD,221,['e2cbb120-a741-4c4b-a483-f0f18efdc757'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.336592,,,,,,,,,,,,,,,ae4bfff7-2a40-43e5-8d8b-2a8a4331354c,5,,,"[60.0, 40.0]",266770,0,True,,,2.2974386,,Left Foot,,,"[59.2, 40.9]",,Ground Pass,,1.2041595,,,,,Víctor Casadesús Castaño,23791.0,,,,,Kick Off,1,From Kick Off,David Barral Torres,26248.0,Left Wing,2,Levante UD,221,['4e92d2c1-7473-43c0-bf0f-31b2d4f2a2a7'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.225,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.862116,,,,,,,,,,,,,,,5dc90e4b-82be-4daa-a244-184bb657bff4,7,,,"[58.0, 41.9]",266770,0,,,,-2.211024,,Right Foot,,,"[50.7, 32.1]",,Ground Pass,,12.220065,,,,,Papa Kouly Diop,6867.0,,,,,,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Center Forward,2,Levante UD,221,['b7dab93b-7f5f-40f1-9f92-2dda2fbe744c'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.896,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.252016,,,,,,,,,,,,,,,babf8f5c-7b48-4e17-b1ab-bef63ae2e7ce,10,,,"[46.0, 35.2]",266770,0,,,,1.5855012,,Right Foot,,,"[45.4, 76.0]",,Ground Pass,,40.804413,,,,,Pedro López Muñoz,6787.0,,True,,,,1,From Kick Off,Papa Kouly Diop,6867.0,Right Center Midfield,2,Levante UD,221,['62fbd1f7-747b-44ce-9e3f-23074084b66f'],2,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:02.866,Pass,,2014/2015
,,,,,,,,,,,,,,,,5.0686,,,,,,,,,,,,,,,e2bded0a-0d1a-4544-acb2-1a42218b6894,14,,,"[53.3, 73.9]",266770,0,,,,-0.24026728,,Right Foot,,,"[113.3, 59.2]",,High Pass,,61.77451,,,Incomplete,,Víctor Casadesús Castaño,23791.0,,,,,,1,From Kick Off,Pedro López Muñoz,6787.0,Right Back,2,Levante UD,221,"['4f8c3521-04ec-4a96-8aad-7e672c2c14dc', '80a890cd-348f-4e4f-aa5d-b058af841a12']",6,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.862,Pass,,2014/2015
