bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.3901,,,,,,,,,,,656f237c-e285-4862-9dcd-d5e92fc26a8c,3602,,"[68.1, 49.2]",69260,93,,,,,-1.0189515,,Left Foot,,,,"[86.2, 19.8]",,Low Pass,,34.524918,,Incomplete,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,2,From Keeper,Pedro Eliezer Rodríguez Ledesma,3958.0,Center Forward,224,Barcelona,217,"['1a8693d0-dc79-429b-b3ca-b825eeffe2d0', 'a3215a30-e614-4c52-8a31-e5d9fe35f00a', 'cb5aaeca-99e3-48fb-a915-531d1d5ebf30']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:13.908,Pass,True,2010/2011
,,,,,,,,,,,,,,,,1.342964,,,,,,,,,,,74400ff5-de8a-4b6a-973e-a30a861256c2,3607,,"[79.2, 17.8]",69260,93,,,,,-1.2014626,,Left Foot,,,,"[84.0, 5.4]",,Ground Pass,,13.296617,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,2,From Keeper,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,224,Barcelona,217,['30caa2bd-39c3-4831-b633-019109e5f696'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:16.720,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.855597,,,,,,,,,,,d4bd204d-4bd5-4e75-bcbd-c884344cfd1c,3610,,"[90.9, 17.6]",69260,93,,,,,1.4102468,,Left Foot,,,,"[94.9, 42.3]",,Ground Pass,,25.02179,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Keeper,Eric-Sylvain Bilal Abidal,20177.0,Left Center Midfield,224,Barcelona,217,['2329e577-2566-4edf-a1ba-03ab724ca627'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:22.930,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.586561,,,,,,,,,,,d75a7ada-fb93-4901-a325-32fcd1db18ef,3613,,"[94.3, 41.5]",69260,93,,,,,-2.2166123,,Left Foot,,,,"[89.1, 34.6]",,Ground Pass,,8.640023,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,2,From Keeper,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,224,Barcelona,217,['8de49c81-3109-426d-91ec-3bd32e081b0a'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:24.681,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.506925,,,,,,,,,,,567592aa-c4a1-4c82-b030-a8020397ce11,3620,,"[89.9, 27.5]",69260,93,,,,,-0.95054686,,Left Foot,,,,"[99.4, 14.2]",,Ground Pass,,16.344418,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,2,From Keeper,Pedro Eliezer Rodríguez Ledesma,3958.0,Center Forward,224,Barcelona,217,['5713dbc5-7b9c-43b1-8f19-9012b1ea3f90'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:26.820,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.9265,,,,,,,,,,,64693107-43a4-4698-a4fa-3d377ad8bee0,3624,,"[102.5, 16.2]",69260,93,,,,,1.2323046,,Left Foot,True,,,"[109.4, 35.8]",,Low Pass,,20.779076,,Pass Offside,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Keeper,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,224,Barcelona,217,['2a2188c1-d2f2-4292-ae4c-d20b50edc2f4'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:28.978,Pass,,2010/2011
,,,,,,,,,,,,,,,,0.704612,,,,,,,,,,,adad436a-3ffe-4878-8ef6-ad1dec0f80e3,3626,,"[9.6, 38.7]",69260,93,,True,,,-0.97677696,,Right Foot,,,,"[22.5, 19.6]",,Ground Pass,,23.04821,,,,Jordi Alba Ramos,5211.0,,,,,,Free Kick,2,From Free Kick,César Sánchez Domínguez,25917.0,Goalkeeper,225,Valencia,207,['12e8bcb0-1005-436e-82e6-92b736172d02'],37,,,,,,,,,,,,,,,,,,Valencia,207,00:48:37.117,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.996306,,,,,,,,,,,a3011285-f196-4099-ac5a-1a80e8c530c1,3628,,"[18.7, 22.1]",69260,93,,,,,0.2046418,,Left Foot,,,,"[55.8, 29.8]",,High Pass,,37.890633,,Incomplete,,,,,,,,,,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,225,Valencia,207,['c1695314-908a-419a-b269-8342a75a27f3'],38,,,,,,,,,,,,,,,,,,Valencia,207,00:48:38.760,Pass,,2010/2011
,,,,,,,,,,,,,,,,2.982233,,,,,,,,,,,c1695314-908a-419a-b269-8342a75a27f3,3629,,"[65.2, 51.2]",69260,93,,,,,0.5450997,,Head,,,,"[93.4, 68.3]",,High Pass,,32.979538,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Midfield,225,Valencia,207,"['a3011285-f196-4099-ac5a-1a80e8c530c1', 'addaf586-32f3-4651-940f-6c5b0ff78c0f']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:40.756,Pass,,2010/2011
,,,,,,,,,,,,,,,,1.3968,,,,,,,,,,,64de4046-bb89-4bab-900e-5cc21dbb9292,3632,,"[99.9, 65.7]",69260,93,,,,,-1.3688107,,Right Foot,True,,,"[105.9, 36.4]",,High Pass,,29.908026,,Pass Offside,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,225,Valencia,207,['7dd93a38-c94a-4baf-aab1-ed96ff72318d'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:48:45.566,Pass,,2010/2011
