ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,667c6e32-9aa9-408e-8d85-f2420a8a9b42,1,,,,68360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,75e78b2e-6b14-40b7-8e21-838e8330c992,2,,,,68360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26180, 'name': 'Vladan Kujović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25894, 'name': 'Iñaki Descarga Retegi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 26177, 'name': 'José Manuel Serrano Arenas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 25913, 'name': 'Álvaro Luiz Maior de Aquino'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25956, 'name': 'David Castedo Escudero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25885, 'name': 'Juan Manuel Gómez Sánchez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 26179, 'name': 'Mathieu Berson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 25875, 'name': 'Miguel Ángel Lozano Ayala'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 26178, 'name': 'Laurent Courtois'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 26182, 'name': 'Alexandre Geijo Pazos'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 26181, 'name': 'Rahamat Riga Mustapha'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Levante UD,221,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77a0da49-956e-4572-ab92-da142455edca,3,,,,68360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7c80a1dd-3915-464b-a452-a4a848a35cab'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7c80a1dd-3915-464b-a452-a4a848a35cab,4,,,,68360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['77a0da49-956e-4572-ab92-da142455edca'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6fab41a7-0169-45f5-9aad-90199c259eac,1796,,,,68360,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Barcelona,217,['5033ba9e-0688-459b-a318-aa9f7aa25e31'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5033ba9e-0688-459b-a318-aa9f7aa25e31,1797,,,,68360,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Barcelona,217,['6fab41a7-0169-45f5-9aad-90199c259eac'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.8102,,,,,,,,,,,,,,,0a1cf689-aee3-492a-9201-57e4c3ac64c4,5,,,"[61.0, 40.1]",68360,0,,,,1.7211678,,Right Foot,,,,"[60.5, 43.4]",,Ground Pass,,3.337664,,,,,Rahamat Riga Mustapha,26181.0,,,,,Kick Off,1,From Kick Off,Alexandre Geijo Pazos,26182.0,Right Center Forward,2,Levante UD,221,['3833481e-cdcd-4163-8030-83938574c921'],1,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.515,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.924469,,,,,,,,,,,,,,,65016b90-d1b7-4ccd-9840-b239e8afbffe,8,,,"[59.5, 43.0]",68360,0,,,,-2.3430374,,Right Foot,,,,"[37.0, 19.9]",,Ground Pass,,32.24686,,,,,David Castedo Escudero,25956.0,,,,,,1,From Kick Off,Rahamat Riga Mustapha,26181.0,Left Center Forward,2,Levante UD,221,['f9aa5d98-debf-4371-8ea5-767c887f5a3d'],3,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:03.393,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.633678,,,,,,,,,,,,,,,d6037d04-26b1-4e3c-b1ba-991a2a129ff2,11,,,"[37.4, 19.9]",68360,0,,,,-0.025516503,,Left Foot,,,,"[80.5, 18.8]",,High Pass,,43.114037,,,,,Alexandre Geijo Pazos,26182.0,,,,,,1,From Kick Off,David Castedo Escudero,25956.0,Left Back,2,Levante UD,221,['cb0c43b3-58f0-4e09-8314-b3e75832ed9b'],6,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.471,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.9216,,,,,,,,,,,,,,,4b8b2b80-47a8-4fcf-a811-714bc4b6414d,17,,,"[75.2, 24.5]",68360,0,,,,2.6271412,,Right Foot,,,,"[66.0, 29.7]",,Ground Pass,,10.567876,,,,,Miguel Ángel Lozano Ayala,25875.0,,,,,Free Kick,1,From Free Kick,Alexandre Geijo Pazos,26182.0,Right Center Forward,3,Levante UD,221,['88c572fe-1351-4fee-b507-7b2ad0f9486e'],14,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:14.450,Pass,,2007/2008
