ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.930238,,,,,,,,,,,,,,,ba7725a9-d582-4e3c-a44b-35abcd8090d2,20,,,"[66.0, 29.7]",68360,0,,,,-2.199128,,Left Foot,,,,"[56.7, 16.9]",,Ground Pass,,15.82182,,,,,David Castedo Escudero,25956.0,,,,,,1,From Free Kick,Miguel Ángel Lozano Ayala,25875.0,Left Center Midfield,3,Levante UD,221,['c8cfba30-1ad5-4eeb-b083-4c037b1bb4f8'],17,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:17.005,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.506935,,,,,,,,,,,,,,,858b789d-8d3f-482a-933a-d7b6481db1af,24,,,"[56.9, 16.7]",68360,0,,,,2.5202692,,Left Foot,,,,"[39.3, 29.3]",,Ground Pass,,21.645323,,,,,Álvaro Luiz Maior de Aquino,25913.0,,,,,,1,From Free Kick,David Castedo Escudero,25956.0,Left Back,3,Levante UD,221,"['37ad3c5b-1737-4014-a6ff-9d33ad127345', '64b86942-5da2-414d-8b42-b05acc418bce']",18,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:18.190,Pass,True,2007/2008
,,,,,,,,,,,,,,,,2.568318,,,,,,,,,,,,,,,168ac836-6cf2-4bda-8e54-6157202da84e,27,,,"[32.6, 26.4]",68360,0,,,,2.377569,,Right Foot,,,,"[11.1, 47.0]",,Ground Pass,,29.775997,,,,,Vladan Kujović,26180.0,,,,,,1,From Free Kick,Álvaro Luiz Maior de Aquino,25913.0,Left Center Back,3,Levante UD,221,['5ea8382b-da59-4d2b-bba7-139b767ea142'],20,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:20.933,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.951702,,,,,,,,,,,,,,,6c6ef53c-0c8a-48c1-83c4-f4f009ada31a,30,,,"[11.1, 47.0]",68360,0,,,,0.28923318,,Right Foot,,,,"[68.9, 64.2]",,High Pass,,60.304893,,,,,Rahamat Riga Mustapha,26181.0,,,,,,1,From Free Kick,Vladan Kujović,26180.0,Goalkeeper,3,Levante UD,221,['fda69349-3e74-4533-88ff-742e4d05e128'],24,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:24.803,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.734,,,,,,,,,,,,,,,ac440b30-cbb3-4623-87d4-aa7e504de326,35,,,"[38.6, 0.1]",68360,0,,,,2.8021057,,,,,,"[11.7, 9.6]",,High Pass,,28.528233,,,,,Gabriel Alejandro Milito,25919.0,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['e620df89-25fa-4c7a-aa64-aca0cb228ad0'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.088,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.688888,,,,,,,,,,,,,,,df1b7d76-8f6a-4081-b575-392c40611860,38,,,"[14.4, 12.3]",68360,0,,,,1.3343402,,Left Foot,,,,"[22.4, 45.5]",,Ground Pass,,34.150257,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['efccb164-383d-43a8-b085-bb5572416552'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.175,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.884142,,,,,,,,,,,,,,,add21606-0d8e-4402-b72f-1ea557a80418,41,,,"[22.4, 45.5]",68360,0,,,,1.0324955,,Left Foot,,,,"[39.0, 73.3]",,Ground Pass,,32.379005,,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['ad74e700-05c7-48f1-b3fb-711ff771c843'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.755,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.297436,,,,,,,,,,,,,,,4ba157ac-6a04-4b1f-88dd-b358f5fbb83e,44,,,"[39.0, 73.3]",68360,0,,,,-1.0059915,,Right Foot,,,,"[51.8, 53.1]",,Ground Pass,,23.914013,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['504e9edc-eb2a-4878-98d1-6d254ae57700'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.845,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.062677,,,,,,,,,,,,,,,b73fff6a-705c-4a91-a905-f8febba21a08,47,,,"[51.8, 53.1]",68360,0,,,,1.9861809,,Right Foot,,,,"[41.7, 76.0]",,Ground Pass,,25.028383,,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['e7468c10-bd42-4071-8a0a-1d64b91ea59b'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.531,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.446185,,,,,,,,,,,,,,,468d5ab1-b622-4ea1-b90d-4715920d2de4,50,,,"[45.7, 75.4]",68360,0,,,,-1.4649434,,Right Foot,,,,"[47.4, 59.4]",,Ground Pass,,16.09006,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Gianluca Zambrotta,15774.0,Right Back,4,Barcelona,217,['bada033b-093f-4922-b567-7d7446344578'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.999,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.92874,,,,,,,,,,,,,,,abf0d74b-b420-4040-9b3a-0bc03c7d4e9d,53,,,"[47.2, 59.4]",68360,0,,,,-1.855856,,Right Foot,,,,"[39.2, 32.1]",,Ground Pass,,28.448023,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['34d205d9-0833-41d2-9ac2-83a838ad2327'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.888,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.492056,,,,,,,,,,,,,,,a3bf4e24-9e3f-4576-bd38-709f6a718fc2,56,,,"[39.2, 32.1]",68360,0,,,,-1.2865708,,Left Foot,,,,"[47.0, 5.4]",,Ground Pass,,27.816002,,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['a3bddec0-c690-43aa-a0ee-a11815bfaeb5'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.446,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.314762,,,,,,,,,,,,,,,0985baa1-e847-45cf-9b8e-d6ef8ea9de02,59,,,"[47.0, 5.2]",68360,1,,,,2.1857708,,Left Foot,,,,"[38.1, 17.8]",,Ground Pass,,15.426276,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['f8f8298d-7a22-4f77-9bea-f53f6705c43f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.728,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.52342,,,,,,,,,,,,,,,fe7ba455-3095-4d71-ad8c-6fef5f55907e,62,,,"[37.7, 18.4]",68360,1,,,,1.5707964,,Left Foot,,,,"[37.7, 51.6]",,Ground Pass,,33.2,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['98ab60a4-c5a9-482c-8e93-269fd04b2f94'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.297,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.021556,,,,,,,,,,,,,,,b14a832a-9d1f-42fa-8a8d-42279d67db27,65,,,"[42.3, 48.9]",68360,1,,,,-1.508892,,Right Foot,,,,"[43.8, 24.7]",,Ground Pass,,24.246443,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['6cce0af9-be8a-4be5-8e93-dfd2760ee617'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.575,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.556005,,,,,,,,,,,,,,,350d1e1b-59b4-48ab-a81b-e8572047dfc4,68,,,"[44.2, 24.3]",68360,1,,,,-0.14581093,,Left Foot,,,,"[58.5, 22.2]",,Ground Pass,,14.453373,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['9ca0c521-48cd-4f21-88f9-04fc4b0a6943'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.000,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.139647,,,,,,,,,,,,,,,1ea301bc-8326-4a3a-992e-c8ad72eed94e,72,,,"[58.5, 22.2]",68360,1,,,,-3.0172377,,Right Foot,,,,"[44.9, 20.5]",,Ground Pass,,13.705838,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['add5d203-8170-4732-8b6a-0615093e7d12'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.605,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.658551,,,,,,,,,,,,,,,655155df-9456-4bf4-ac9b-a7518bd9aec8,75,,,"[44.4, 20.5]",68360,1,,,,0.1811745,,Left Foot,,,,"[77.7, 26.6]",,High Pass,,33.8541,,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['8d32c517-d806-4df1-b7fb-cb931d205ac0'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.288,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.789009,,,,,,,,,,,,,,,d39737b4-0eb2-491d-a336-10b82130eca5,78,,,"[77.7, 26.6]",68360,1,,,,-3.028865,,Other,,,,"[72.4, 26.0]",,Low Pass,,5.333854,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,4,Barcelona,217,['999c6262-3f8b-413c-b4bb-9ad40082b31a'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.146,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.053429,,,,,,,,,,,,,,,4478faf6-ab73-4bc1-9e51-26e02e97341f,81,,,"[71.6, 25.4]",68360,1,,,,1.6041173,,Left Foot,,,,"[71.3, 34.4]",,Ground Pass,,9.004998,,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['15cff9b9-1413-4bcc-992b-26a36fb134d5'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.015,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.823785,,,,,,,,,,,,,,,8bc183de-cead-4d18-88d6-ac6efe70f4a1,84,,,"[71.3, 34.4]",68360,1,,,,1.6244361,,Right Foot,,,,"[69.7, 64.2]",,Ground Pass,,29.842922,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,4,Barcelona,217,['db52c4e8-fc6f-467a-b749-209ae90076ad'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.077,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.920111,,,,,,,,,,,,,,,3dca3b9e-add8-4ab8-847b-0a9014697966,87,,,"[76.0, 66.3]",68360,1,,,,1.5707964,,Right Foot,,,,"[76.0, 77.5]",,Ground Pass,,11.2,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['ee99be96-0365-4346-8dd0-eb77a1f4ec50'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.509,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.769831,,,,,,,,,,,,,,,31a81fbf-db46-451c-b5c1-d5273f8dab24,90,,,"[75.8, 76.6]",68360,1,,,,-1.6165161,,Left Foot,,,,"[75.1, 61.3]",,Ground Pass,,15.316005,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['4a53ee2b-b472-418a-b416-bcac8fe55450'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.729,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.831136,,,,,,,,,,,,,,,bebad477-3ca2-48cf-aa74-9d104affeca6,93,,,"[75.1, 61.3]",68360,1,,,,1.012197,,Right Foot,,,,"[80.6, 70.1]",,Ground Pass,,10.377379,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['5c5c4ad9-553e-4e0e-a7ab-b5a84247b9d3'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.841,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.108221,,,,,,,,,,,,,,,5c548164-b6e8-4d23-a641-14d141753f2d,96,,,"[80.6, 69.1]",68360,1,,,,-1.5987611,,Left Foot,,,,"[80.2, 54.8]",,Ground Pass,,14.3055935,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['80ae3e41-0113-4ce7-ae84-8edbf05701bf'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.736,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.517667,,,,,,,,,,,,,,,1e96c164-5739-4608-bb0b-0b357b156f06,99,,,"[80.4, 54.2]",68360,1,,,,-1.6071829,,Right Foot,,,,"[78.7, 7.5]",,Ground Pass,,46.73093,,,,,Sylvio Mendes Campos Junior,25854.0,,True,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,4,Barcelona,217,['b6802921-e6c4-40a8-8dc4-702361e89c0b'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.600,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.82991,,,,,,,,,,,,,,,65518f63-17b0-487d-bf7b-635dd104f039,102,,,"[79.3, 7.1]",68360,1,,,,-0.3186546,,Left Foot,,,,"[89.0, 3.9]",,Ground Pass,,10.214206,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['c740cc73-f0dc-453b-adba-fa8aef3e7705'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.347,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.770852,,,,,,,,,,,,,,,5f92ef9d-5dbe-4eed-acb3-3331b7ac2187,106,,,"[75.1, 12.3]",68360,1,,,,-3.0443394,,Right Foot,,,,"[66.9, 11.5]",,Ground Pass,,8.238932,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,4,Barcelona,217,"['04becd89-5751-447c-a908-d818b7c07472', '7d9d4775-e87e-4800-bd0d-8e8458965ed6']",38,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.486,Pass,True,2007/2008
,,,,,,,,,,,,,,,,0.990327,,,,,,,,,,,,,,,71950621-24d4-4822-8aaa-b84bfca2d5b8,109,,,"[66.7, 11.5]",68360,1,,,,2.4562058,,Right Foot,,,,"[50.8, 24.5]",,Ground Pass,,20.538013,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,['f7e65df1-d117-4339-851e-24c6627576d0'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.343,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.320676,,,,,,,,,,,,,,,91aa3e9a-6498-4a6b-ab5d-a73b5f1c7011,113,,,"[48.0, 26.6]",68360,1,,,,2.7585626,,Left Foot,,,,"[20.7, 37.6]",,Ground Pass,,29.432804,,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,"['650cafeb-1d9c-4b31-b74e-477d0f453303', '89a054a3-6313-4b28-854d-c4deeeef890c']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.547,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.064772,,,,,,,,,,,,,,,dd6dc4f7-1a40-4dde-a823-003ec8e8550e,116,,,"[20.9, 37.3]",68360,1,,,,-0.823475,,Right Foot,,,,"[31.0, 26.4]",,Ground Pass,,14.860013,,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['c6e60d64-947c-4285-96fb-06eadccc94d5'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.998,Pass,,2007/2008
