bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.1509,,,,,,,,,,,,,,428effa2-0007-4d40-a2b5-7adab564d6f6,17,,"[53.6, 72.8]",69250,0,,,,,2.8666828,,Right Foot,,"[45.8, 75.0]",,Ground Pass,,8.10432,Incomplete,,José Miguel González Rey,26705.0,,,,,,1,From Kick Off,Fernando Varela Ramos,26201.0,Right Wing,2,Mallorca,1043,"['637ea0bc-26ba-4acf-baa7-1270a6441a36', '668893a5-0876-4029-9b76-ebfcd1b227e4', '7b277e10-9f93-4bcb-879a-477674fe6d07']",9,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:09.149,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,0.2277,,,,,,,,,,,,,,637ea0bc-26ba-4acf-baa7-1270a6441a36,19,,"[74.3, 5.1]",69250,0,,,,,2.7492526,,Right Foot,,"[71.4, 6.3]",,Ground Pass,,3.138471,,,Seydou Kéita,20169.0,,,,,Recovery,1,From Kick Off,Thierry Henry,15516.0,Left Wing,2,Mallorca,1043,"['0381704c-bd56-4644-b662-e7d66c74ff35', '428effa2-0007-4d40-a2b5-7adab564d6f6']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.300,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.1091,,,,,,,,,,,,,,a512d235-9cfe-4547-93bc-077e075fb89c,23,,"[55.8, 80.0]",69250,0,,,,,-0.5045604,,,,"[69.2, 72.6]",,Low Pass,,15.307514,,,Borja Valero Iglesias,6997.0,,,,,Throw-in,1,From Throw In,José Miguel González Rey,26705.0,Right Back,3,Mallorca,1043,['7bc60ab1-d2de-444b-9907-2df709978854'],22,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:22.173,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.4216,,,,,,,,,,,,,,103ace9e-bf76-4011-a5d2-06cea8e4a95a,26,,"[69.7, 72.1]",69250,0,,,,,-2.3323894,,Right Foot,,"[65.6, 67.8]",,Ground Pass,,5.9413805,,,Jose Luis Martí Soler,25948.0,,,,,,1,From Throw In,Borja Valero Iglesias,6997.0,Center Attacking Midfield,3,Mallorca,1043,['3ff228a0-492a-40f0-a214-395b31728420'],23,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:23.327,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.4295,,,,,,,,,,,,,,3eaa38d8-aef6-43ef-a3ee-0725918d6328,28,,"[65.6, 67.8]",69250,0,,,,,-0.22581168,,Right Foot,,"[80.4, 64.4]",,Ground Pass,,15.185519,Incomplete,,Pierre Achille Webó Kouamo,25876.0,,,,,,1,From Throw In,Jose Luis Martí Soler,25948.0,Right Defensive Midfield,3,Mallorca,1043,"['110066ba-67b8-4423-b264-fbc68920348b', '2309ea0b-0bec-4d94-982b-3e79f5f2c78e']",23,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:23.748,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.3878,,,,,,,,,,,,,,31a38d39-7c69-4b67-a3a5-06314e0e0465,31,,"[46.2, 17.1]",69250,0,,,,,2.542532,,Left Foot,,"[31.7, 27.0]",,Ground Pass,,17.557335,,,Gerard Piqué Bernabéu,5213.0,,,,,Recovery,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['6b78c922-9533-4fc2-8389-5b1aacf0ffff'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.008,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.8286,,,,,,,,,,,,,,6045b09d-69fc-4a0b-938f-1c90ddbd27b7,34,,"[63.6, 53.0]",69250,0,,,,,-1.2182863,,Right Foot,,"[77.8, 14.4]",,Low Pass,,41.129066,,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['1538f89f-bbd8-42df-a98b-5fe39fb092b8'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.737,Pass,,2009/2010
,,,,,,,,,,,,,,,,,1.1525,,,,,,,,,,,,,,de8cef5a-6543-4491-990e-5f6aa3c8771b,37,,"[81.0, 11.3]",69250,0,,,,,-1.0303768,,Left Foot,,"[84.3, 5.8]",,Ground Pass,,6.4140472,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,4,Barcelona,217,['e9fc3169-d42a-4a13-a1c7-20849b7feb1d'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.309,Pass,,2009/2010
,,,,,,,,,,,,,,,,,0.542,,,,,,,,,,,,,,a29ff6a8-c25e-4394-a650-38ecb59fc088,40,,"[98.9, 21.2]",69250,0,,,,,0.9633517,,Left Foot,,"[104.6, 29.4]",,Ground Pass,,9.986491,Incomplete,,Zlatan Ibrahimović,3672.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,4,Barcelona,217,"['2e28222b-50ba-47d9-b604-059b7d14bdbc', 'ab2f42b1-b175-4eb7-abd6-a3de74e4d977']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.596,Pass,,2009/2010
,,,,,,,,,,,,,,,,,2.3512,,,,,,,,,,,,,,a6478edf-2957-4eaf-b4c9-f01d5455468d,43,,"[66.8, 0.1]",69250,0,,True,,,1.4017661,,,,"[72.5, 33.5]",,High Pass,,33.882885,,,Gnégnéri Yaya Touré,3087.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['9db2e2f4-7655-47f2-8efd-d1128416ea08'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.762,Pass,,2009/2010
