50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.953367,,,,,,,,,,,7e218ed4-81cf-4e7c-bbc6-8f8326315acf,17,,"[31.4, 45.3]",9912,0,,,,-1.5636022,,Right Foot,,,"[31.6, 17.5]",,Ground Pass,,27.80072,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['db4a4b07-73a7-4be5-aab9-8493818847ea'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.253,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.047626,,,,,,,,,,,ef893cb8-a224-42a1-9554-019955ef3b0b,20,,"[33.2, 17.2]",9912,0,,,,-0.7245415,,Left Foot,,,"[48.0, 4.1]",,Ground Pass,,19.764868,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['1d52c8e8-2785-4023-8195-c2f5d908bb8b'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.135,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.074364,,,,,,,,,,,fdde1c60-581a-4b06-be56-0e1102c2922d,23,,"[50.7, 4.4]",9912,0,,,,1.2820009,,Left Foot,,,"[54.8, 18.2]",,Ground Pass,,14.39618,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['e791b6e4-e479-4732-8382-daab119be675'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.986,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.121672,,,,,,,,,,,eeac2ac3-697e-4626-b1c5-9e4535da4651,25,,"[54.3, 14.7]",9912,0,,,,-2.1208706,,Right Foot,,,"[47.8, 4.1]",,Ground Pass,,12.434227,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['f7bdba42-1f18-4963-871a-c47077752a37'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.060,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.272731,,,,,,,,,,,5c07654f-34b6-42e7-ad97-82464431d840,27,,"[48.6, 4.1]",9912,0,,,,0.0,,Left Foot,,,"[56.8, 4.1]",,Ground Pass,,8.2,,,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['d6919751-941a-47dc-b48c-023ad8721968'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.182,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.811875,,,,,,,,,,,6eb40acd-2406-4d65-94e1-f76623f08e34,32,,"[56.0, 2.4]",9912,0,,,,-3.1010742,,Right Foot,,,"[48.6, 2.1]",,Ground Pass,,7.406079,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Center Midfield,2,Barcelona,217,"['8e46717e-ea38-48b5-b06a-fb3f436f8fdf', '9e1302e1-589d-41a0-bbfd-943a66a26d47']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.070,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.337703,,,,,,,,,,,6dc91f43-42b5-4705-b154-5f75946d2707,35,,"[48.8, 1.4]",9912,0,,,,2.8652654,,Left Foot,,,"[28.7, 7.1]",,Ground Pass,,20.892582,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['5209dd89-5643-475f-badc-0b79930689e4'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.394,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.939845,,,,,,,,,,,d56483d6-9934-4fb5-b364-01331a334cea,38,,"[29.2, 10.4]",9912,0,,,,1.6823316,,Left Foot,,,"[25.0, 47.9]",,Ground Pass,,37.734467,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['43eb5d68-9ab3-42a9-b16f-b7269c825256'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.152,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.777352,,,,,,,,,,,e4924420-44e1-4524-bf13-720365c51c43,41,,"[34.2, 51.3]",9912,0,,,,-0.02083032,,Right Foot,,,"[48.6, 51.0]",,Ground Pass,,14.403125,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['ba78e68d-0815-4d55-8d28-6031101acb32'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.648,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.683999,,,,,,,,,,,e0c73c92-f9d1-4375-a59c-821f001a66ce,44,,"[49.0, 51.4]",9912,0,,,,1.6270748,,Right Foot,,,"[47.8, 72.7]",,Ground Pass,,21.333776,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['f87c4917-cc56-4a21-8c68-d031bd5155a7'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.545,Pass,,2017/2018
