50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.962669,,,,,,,,,,,,,f5cd6020-067e-4109-a076-ed133f820376,20,,"[6.0, 36.0]",68359,0,,True,,,-0.35470566,,Right Foot,,,"[27.6, 28.0]",Ground Pass,,23.033888,,,Gabriel Alejandro Milito,25919.0,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['7a27a991-78fb-4195-bd69-37c546e6dfae'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.425,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.369384,,,,,,,,,,,,,9e88e2b0-db7b-4be7-a8e0-275ab6623bcd,22,,"[39.7, 16.6]",68359,0,,,,,-0.8313908,,Right Foot,,,"[51.1, 4.1]",Ground Pass,,16.917742,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Goal Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['961c2564-c687-4c52-86b3-59205f3b0a28'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.028,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.258373,,,,,,,,,,,,,e3e49c5b-8450-46e2-8d0b-9baa170c92a8,25,,"[51.1, 4.1]",68359,0,,,,,1.8266048,,Left Foot,,,"[47.7, 17.1]",Ground Pass,,13.437262,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Goal Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['b5770a6f-4b2f-4299-b9ed-03d3a7cbdd73'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.612,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.7864,,,,,,,,,,,,,f94a64f3-9e57-4c9a-b217-0188dd3e452e,28,,"[50.8, 16.6]",68359,0,,,,,-0.20401798,,Left Foot,,,"[68.2, 13.0]",Ground Pass,,17.76851,,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,From Goal Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['b04f62de-aa1c-41e8-9031-16028792745d'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.305,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.34309,,,,,,,,,,,,,176ac7ce-6604-40bc-ae27-3dbaea79d8a5,30,,"[68.2, 13.0]",68359,0,,,,,-2.4143813,,Right Foot,,,"[57.3, 3.3]",Ground Pass,,14.591093,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Goal Kick,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,4,Barcelona,217,['a770e461-e468-492b-875f-90b6b105127d'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.091,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.956219,,,,,,,,,,,,,dbf231a5-e402-49f3-ab77-dbb727e4a727,33,,"[55.6, 4.1]",68359,1,,,,,2.260001,,Left Foot,,,"[45.3, 16.6]",Ground Pass,,16.196913,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Goal Kick,Sylvio Mendes Campos Junior,25854.0,Left Back,4,Barcelona,217,['4c81d686-5b58-4921-b804-6729c6612e8e'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.516,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.232536,,,,,,,,,,,,,c89655cb-5fb8-4468-82f1-f05352c2bcc9,36,,"[44.6, 17.6]",68359,1,,,,,1.9188566,,Left Foot,,,"[40.5, 28.9]",Ground Pass,,12.020815,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Goal Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['eb998813-897a-4c05-958f-68ed787ddcad'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.279,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.280238,,,,,,,,,,,,,57c6f5b4-2345-46a6-92ff-268a450292a3,39,,"[40.9, 31.6]",68359,1,,,,,2.0948238,,Right Foot,,,"[32.0, 47.0]",Ground Pass,,17.786793,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Goal Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['8baccd19-21a3-43ca-9111-ce9599fec282'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.292,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.783585,,,,,,,,,,,,,4ad5c125-cdbf-4525-8a16-9660f961cca3,42,,"[32.3, 46.3]",68359,1,,,,,-1.3882365,,Right Foot,,,"[37.1, 20.3]",Ground Pass,,26.439365,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Goal Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,4,Barcelona,217,['876c82f5-0406-4782-a680-f54aac453a89'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.692,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.631647,,,,,,,,,,,,,2ae6f3bd-998c-4910-8831-507964fd182f,45,,"[39.7, 21.4]",68359,1,,,,,1.1209409,,Left Foot,,,"[67.9, 79.8]",High Pass,,64.85214,Out,,Bojan Krkíc Pérez,4913.0,,True,,,,1,From Goal Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,4,Barcelona,217,['bd935382-8916-4897-9f8b-8e4c24e75cfa'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.498,Pass,,2007/2008
