50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90cbb16d-ee28-47fe-8b47-5687003942e8,1,,,265918,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2c93c30-4e51-451c-a0bd-41a7d82e31a9,2,,,265918,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5691, 'name': 'Johan Andrés Mojica Palacio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6879, 'name': 'Alberto Bueno Calvo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 27190, 'name': 'Joaquín Oscar Larrivey'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d11fd820-5c67-4575-86f6-97b408fa9eca,3,,,265918,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['079d4c8a-947c-4754-9a0d-86ceb098cac4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,079d4c8a-947c-4754-9a0d-86ceb098cac4,4,,,265918,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d11fd820-5c67-4575-86f6-97b408fa9eca'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1f896f1-c1cb-43b8-ae72-363dc93665a1,1961,,,265918,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Rayo Vallecano,360,['aa435d37-c134-49e1-89d2-6e358c2c4a95'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa435d37-c134-49e1-89d2-6e358c2c4a95,1962,,,265918,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Rayo Vallecano,360,['b1f896f1-c1cb-43b8-ae72-363dc93665a1'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,,2013/2014
,,,,,,,,,,,,,,,,,,,0.30728,,,,,,,,,,,,,68b3eba8-d7ee-4e3e-98e7-e6e8263a570a,5,,"[60.0, 40.0]",265918,0,,True,,,-1.5707964,,Right Foot,,,"[60.0, 39.9]",,Ground Pass,,0.1,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['2e71c6ec-e13c-4e54-907d-b84d3aa160e2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.859,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.8672,,,,,,,,,,,,,094395d8-ac4c-4705-9097-ac9ba6627eb7,7,,"[60.4, 39.0]",265918,0,,True,,,3.0231028,,Right Foot,,,"[47.8, 40.5]",,Ground Pass,,12.6889715,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['fecf5f87-b4d2-4d64-99a5-98862bffb435'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.211,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,0.8095,,,,,,,,,,,,,90e43808-1bf6-40f2-bcea-62cd61ee9296,9,,"[52.9, 35.9]",265918,0,,,,,-1.332187,,Right Foot,,,"[54.7, 28.5]",,Ground Pass,,7.615773,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['8541cbdd-be3a-44fa-8a5c-04412db58dbc'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.103,Pass,,2013/2014
,,,,,,,,,,,,,,,,,,,1.3238,,,,,,,,,,,,,6d143a0c-b7b8-4b7c-9730-5967723c708f,12,,"[55.2, 27.5]",265918,0,,,,,-1.8273889,,Right Foot,,,"[49.9, 7.3]",,Ground Pass,,20.883726,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['84517cf6-56a3-493d-805e-94433886b5e7'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.670,Pass,,2013/2014
