50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31983ddb-ec79-4dfe-add1-4959318a7d35,1,,,266846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73ed465c-6d6e-46ff-b762-dededbd9ffd8,2,,,266846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24617, 'name': 'Eduard Campabadal Claros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 26573, 'name': 'Íñigo López Montaña'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 18404, 'name': 'José Ángel Crespo Rincón'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24811, 'name': 'David Omar Rodríguez Barrera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 24139, 'name': 'Luis Eduardo Delgado Pacheco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 27236, 'name': 'Patrick Claude Ekeng Ekeng'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 6567, 'name': 'Borja García Freire'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Córdoba CF,373,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c697abd-b218-4b91-831e-73cabac603ad,3,,,266846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a0cf0598-6164-4d9c-94ca-2fb1de9ebec5'],0,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0cf0598-6164-4d9c-94ca-2fb1de9ebec5,4,,,266846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4c697abd-b218-4b91-831e-73cabac603ad'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5e2260d-4542-4aa4-9c7b-e8a88681e30a,2115,,,266846,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['add42661-9b40-4105-bb83-e46a373916ac'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,add42661-9b40-4105-bb83-e46a373916ac,2116,,,266846,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['c5e2260d-4542-4aa4-9c7b-e8a88681e30a'],0,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,,0.208298,,,,,,,,,,,,,a5e540bf-4412-466f-9a09-506763c26ba1,5,,"[60.0, 40.0]",266846,0,,,,-3.070285,,Right Foot,,,"[57.2, 39.8]",,Ground Pass,,2.8071337,,,Andrés Iniesta Luján,5216.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['57f72311-dd6b-4829-aa9b-5c85e2133f7f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.707,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.189786,,,,,,,,,,,,,a249b4b1-2ab6-4791-b67d-fdfc05e1ff61,9,,"[61.1, 33.1]",266846,0,,,,-1.7472632,,Right Foot,,,"[56.0, 4.5]",,Ground Pass,,29.051163,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['5f4c3489-204f-499d-84e4-6fd288d867d2', '8cde08d8-9381-4967-a6e2-388455920882']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.905,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.120321,,,,,,,,,,,,,4c027afa-2674-42e0-be54-e7fb522bf593,12,,"[55.0, 6.0]",266846,0,,,,2.2455373,,Left Foot,,,"[41.0, 23.5]",,Ground Pass,,22.410934,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['98350ee7-9c37-45bf-a6bc-5cabcd599d4f'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.584,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.493899,,,,,,,,,,,,,d09b0dda-db82-412f-b88e-94eb2fe8a572,15,,"[41.0, 25.4]",266846,0,,,,1.1172348,,Right Foot,,,"[54.6, 53.3]",,Ground Pass,,31.038202,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['9d916d38-b43c-4d6d-bb90-d6ab2581e0e5'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.526,Pass,,2014/2015
