ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5b5ddfe-bafe-4e1e-8849-f8b9344c893c,1,,,,69315,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7069, 'name': 'Miguel Ángel Moyà Rumbo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 26195, 'name': 'Juan Valera Espín'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 24614, 'name': 'Rafael López Gómez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26436, 'name': 'José Manuel Jiménez Ortiz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16478, 'name': 'Miguel Marcos Madera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26144, 'name': 'Francisco Javier Casquero Paredes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 26252, 'name': 'Diego Castro Giménez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Getafe,216,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ed3f13b-0390-42b6-a3ae-6c5791c99991,2,,,,69315,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,53c0794d-5304-459f-8704-0a630f4723ef,3,,,,69315,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['15751ea0-04e4-417f-a44c-89ab36bbb3d1'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15751ea0-04e4-417f-a44c-89ab36bbb3d1,4,,,,69315,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['53c0794d-5304-459f-8704-0a630f4723ef'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,409cd664-395d-46e6-ae98-c7e2d0c17b53,1988,,,,69315,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Getafe,216,['5cc0b7d3-7b5d-41f6-a74a-51ad54e8c3de'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5cc0b7d3-7b5d-41f6-a74a-51ad54e8c3de,1989,,,,69315,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Getafe,216,['409cd664-395d-46e6-ae98-c7e2d0c17b53'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,0.5556,,,,,,,,,,,,,4db719c3-e402-4cc7-9b43-fad8b33a2c00,5,,,"[60.0, 40.0]",69315,0,,,,1.19029,,Right Foot,,,"[60.2, 40.5]",,Ground Pass,,0.53851646,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Wing,2,Barcelona,217,['44743519-2fe6-4817-ac8b-9801a34d7393'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.325,Pass,,2011/2012
,,,,,,,,,,,,,,1.361061,,,,,,,,,,,,,efd20ef4-db5c-4a11-ae43-b5b5166bf8e7,8,,,"[60.0, 39.4]",69315,0,,,,-3.055387,,Right Foot,,,"[43.8, 38.0]",,Ground Pass,,16.260382,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['f711d267-fbde-4308-9dcf-b709f170b6ba'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.960,Pass,,2011/2012
,,,,,,,,,,,,,,1.317384,,,,,,,,,,,,,e4761c51-f2e6-449f-ae2b-c6f52f611da5,11,,,"[43.8, 38.0]",69315,0,,,,-1.5319809,,Right Foot,,,"[44.2, 27.7]",,Ground Pass,,10.307764,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e3cc0730-85d8-44f8-96a3-de511eaaf568'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.482,Pass,,2011/2012
,,,,,,,,,,,,,,1.139445,,,,,,,,,,,,,3c2d9718-a447-4c39-8e03-9faeed2ce76f,14,,,"[51.4, 28.1]",69315,0,,,,1.4134862,,Right Foot,,,"[53.7, 42.6]",,Ground Pass,,14.68128,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['c4cb1a89-d051-4531-b88a-85c37f190bb9'],7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.162,Pass,,2011/2012
