50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.960841,,,,,,,,,,,,,16f0cbf2-d171-4384-98c6-ebf5d4e9ab8d,18,,"[27.3, 45.4]",69280,0,,,,,2.010639,,Right Foot,,,,"[19.3, 62.4]",,Ground Pass,,18.788294,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,3,Barcelona,217,"['3e06e28e-af01-423d-80ad-ab52e5b23fe7', '84a672f7-11cc-4f4d-a6d5-1d0fb6774045']",20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.253,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.955989,,,,,,,,,,,,,020e8221-3567-4bfb-97b3-537be9776299,21,,"[21.7, 54.3]",69280,0,,,,,-1.8495744,,Right Foot,,,,"[13.8, 26.7]",,Ground Pass,,28.70836,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['06643617-7695-4421-8d6f-28ae7205babb'],23,,,,,,,,,,,,,,,Barcelona,217,00:00:23.719,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.500653,,,,,,,,,,,,,8c22be29-6191-4dd1-b357-0063bab65790,24,,"[29.1, 15.3]",69280,0,,,,,-0.83844566,,Right Foot,,,,"[39.8, 3.4]",,Ground Pass,,16.003124,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['9e7661ab-3103-4e68-aa55-b2edcd88ef75'],29,,,,,,,,,,,,,,,Barcelona,217,00:00:29.045,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.310711,,,,,,,,,,,,,b405d43f-24e7-4f42-a419-cfdcac91327a,27,,"[39.8, 3.4]",69280,0,,,,,2.4195244,,Left Foot,,,,"[28.9, 13.0]",,Ground Pass,,14.524806,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['4056c942-1e61-47e2-96ae-049fa6b272ff'],30,,,,,,,,,,,,,,,Barcelona,217,00:00:30.586,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.48586,,,,,,,,,,,,,d09f60d5-a61a-44e6-87e2-d549a0494351,30,,"[43.7, 18.2]",69280,0,,,,,-1.0021235,,Right Foot,,,,"[52.2, 4.9]",,Ground Pass,,15.784169,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['11958cee-12e6-4290-9fa1-3a9291ca3525'],36,,,,,,,,,,,,,,,Barcelona,217,00:00:36.917,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.26907,,,,,,,,,,,,,3cc25f4d-8239-4b55-bf1c-0ee5f8fc17fa,33,,"[52.2, 4.9]",69280,0,,,,,1.357858,,Left Foot,,,,"[55.4, 19.7]",,Ground Pass,,15.141994,,,Seydou Kéita,20169.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['4a256dcf-4484-4a45-ae25-b4b74ac32075'],38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.562,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.706557,,,,,,,,,,,,,764cf040-b2db-43ad-b541-10acbee3a982,38,,"[53.9, 13.2]",69280,0,,,,,3.0326507,,Left Foot,,,,"[34.7, 15.3]",,Ground Pass,,19.314503,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,3,Barcelona,217,"['2b9c076b-6681-47b4-96c3-0cd0d76bbaea', '7d431f75-802e-410f-8fe3-2c30852eea3f']",40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.711,Pass,True,2010/2011
,,,,,,,,,,,,,,,,,1.3282,,,,,,,,,,,,,e7410761-ae88-4502-a59d-863805f5fb46,41,,"[44.5, 26.9]",69280,0,,,,,0.71306086,,Left Foot,,,,"[55.6, 36.5]",,Ground Pass,,14.675489,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['da772b52-1a3a-481e-8009-292be50bcb9f'],46,,,,,,,,,,,,,,,Barcelona,217,00:00:46.167,Pass,,2010/2011
,,,,,,,,,,,,,,,,,1.074408,,,,,,,,,,,,,14e2d891-8ecf-47c3-940e-0e9dd4c377c5,45,,"[54.8, 39.1]",69280,0,,,,,1.5182133,,Left Foot,,,,"[55.6, 54.3]",,Ground Pass,,15.221038,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['6dd9e348-a29c-4e35-8726-ab395781f71a'],48,,,,,,,,,,,,,,,Barcelona,217,00:00:48.323,Pass,,2010/2011
,,,,,,,,,,,,,,,,,2.035,,,,,,,,,,,,,3d025152-c5e2-47ce-acbf-8460a5de33fd,49,,"[53.5, 55.8]",69280,0,,,,,1.8259788,,Right Foot,,,,"[49.3, 71.9]",,Ground Pass,,16.63881,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,3,Barcelona,217,"['5c66ee82-58d6-4529-b7c4-acf56b35db62', 'eee74697-657f-4627-8796-8e517abc9f9e']",50,,,,,,,,,,,,,,,Barcelona,217,00:00:50.128,Pass,True,2010/2011
