bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.9273,,,,,,,,,,ebc92cc1-6a58-40f5-b77e-67ad2d03964f,1747,,,"[65.0, 44.9]",69179,42,,,,1.0855694,,Right Foot,,,"[82.4, 77.9]",,High Pass,,37.3063,,,,Ludovic Giuly,25878.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Wing Back,104,Barcelona,217,['e18ddbc8-16b0-4048-a522-d89013a37b90'],43,,,,,,,,,,,,,,,Barcelona,217,00:42:43.959,Pass,,2006/2007
,,,,,,,,,,,,,,,1.446,,,,,,,,,,a79b5fd3-e844-4677-bc80-45da3e77a0e6,1751,,,"[83.9, 74.3]",69179,42,,,,-2.0061495,,Right Foot,,,"[79.9, 65.7]",,Ground Pass,,9.484725,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Ludovic Giuly,25878.0,Right Wing,104,Barcelona,217,"['8f4d0126-c3fa-43c5-82ad-8c1c5e11464e', 'abeaff4c-6b63-4f5b-a629-02043b7edabf']",48,,,,,,,,,,,,,,,Barcelona,217,00:42:48.896,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.107,,,,,,,,,,611025e2-3769-47bd-929f-b0867a281086,1755,,,"[78.4, 65.9]",69179,42,,,,-2.1273956,,Left Foot,,,"[72.8, 56.9]",,Ground Pass,,10.6,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,104,Barcelona,217,['8c584246-953f-472b-8043-726635124cac'],52,,,,,,,,,,,,,,,Barcelona,217,00:42:52.079,Pass,,2006/2007
,,,,,,,,,,,,,,,0.8987,,,,,,,,,,7582b974-5614-4330-8aea-50b38036dccf,1759,,,"[72.1, 55.0]",69179,42,,,,-1.4963075,,Right Foot,,,"[72.6, 48.3]",,Ground Pass,,6.718631,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing Back,104,Barcelona,217,"['3ad25669-040f-40bf-9f53-f1bf5117731a', '80b47743-cea4-410a-ac19-83419f068bbe']",53,,,,,,,,,,,,,,,Barcelona,217,00:42:53.534,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.460479,,,,,,,,,,cf0bc387-f4be-4e52-8aeb-3f77b9067fad,1764,,,"[85.2, 55.2]",69179,42,,,,0.8515665,,Right Foot,,,"[100.7, 72.9]",,Ground Pass,,23.527431,,,,Ludovic Giuly,25878.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Wing Back,104,Barcelona,217,"['75c241f2-f1ba-40bd-adf1-b734245fbb61', 'f79e96e7-cd86-48c8-a823-3cdf993f09b2']",58,,,,,,,,,,,,,,,Barcelona,217,00:42:58.873,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.819,,,,,,,,,,02728a93-422a-4097-a182-07a4ff6374ef,1768,,,"[103.0, 72.0]",69179,43,,,,-1.5290515,,Right Foot,True,,"[104.7, 31.3]",,High Pass,,40.73549,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,True,,,,1,From Free Kick,Ludovic Giuly,25878.0,Right Wing,104,Barcelona,217,"['6f6799ae-0ba6-43c0-97ed-b2acedb216d4', 'a49423bb-7486-4cfd-84e9-fb15a159613e', 'a7db3061-44bd-444b-bde2-a34ab0f79d29']",1,,,,,,,,,,,,,,,Barcelona,217,00:43:01.844,Pass,True,2006/2007
,,,,,,,,,,,,,,,0.8615,,,,,,,,,,7d3603c4-3d9b-485d-9674-883077dc5b7d,1772,,,"[83.1, 22.4]",69179,43,,,,1.4940244,,Head,,,"[83.7, 30.2]",,Low Pass,,7.823043,,,,Anderson Luís de Souza,19757.0,,,,,Recovery,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,104,Barcelona,217,['03a04cd3-c7fb-473a-b04c-da7be345fa88'],6,,,,,,,,,,,,,,,Barcelona,217,00:43:06.080,Pass,,2006/2007
,,,,,,,,,,,,,,,0.391591,,,,,,,,,,40f31727-1017-4d15-b12f-1ddc460c8bbb,1782,,,"[87.3, 29.2]",69179,44,,,,1.0082984,,Right Foot,,,"[90.2, 33.8]",,Ground Pass,,5.4378304,,,,Anderson Luís de Souza,19757.0,,,,,Free Kick,1,From Free Kick,Ronaldo de Assis Moreira,25879.0,Center Forward,105,Barcelona,217,['0594e975-1205-4df6-b3e2-79490abdbf99'],6,,,,,,,,,,,,,,,Barcelona,217,00:44:06.970,Pass,,2006/2007
,,,,,,,,,,,,,,,0.7249,,,,,,,,,,d1de86f4-9e9d-4285-af49-4e456f99c3d5,1784,,,"[90.2, 33.8]",69179,44,,,,-1.8925469,7ce0b0b6-46b4-4be4-bc6e-81d3bfa45385,Right Foot,,,"[89.0, 30.2]",,Ground Pass,,3.7947333,,,,Ronaldo de Assis Moreira,25879.0,True,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Right Defensive Midfield,105,Barcelona,217,['57c0dc02-42cf-46d8-b04f-fb29cf070d06'],7,,,,,,,,,,,,,,,Barcelona,217,00:44:07.362,Pass,,2006/2007
,,,,,,,,,,,,,,,2.1367,,,,,,,,,,9b58a0f6-7560-43c4-99c9-70ab5c5082a7,1788,,,"[6.0, 44.0]",69179,44,,,,-0.07304057,,Right Foot,,,"[79.8, 38.6]",,High Pass,,73.9973,,Incomplete,,Diego Alberto Milito,19294.0,,,,,Goal Kick,1,From Goal Kick,César Sánchez Domínguez,25917.0,Goalkeeper,106,Real Zaragoza,395,"['6069ce98-a349-4a83-96e8-2878dfdb99a0', 'a20818ac-2239-4661-9a76-a2eb0b998a1e']",37,,,,,,,,,,,,,,,Real Zaragoza,395,00:44:37.850,Pass,,2006/2007
