bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,85be49aa-3e2d-4042-8de0-43c93b5d6fe1,1,,,69217,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f69998d6-ad29-475c-ab08-57d8aee53fd8,2,,,69217,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 26621, 'name': 'Sebastián Eguren Ledesma'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 26121, 'name': 'Ariel Miguel Santiago Ibagaza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 26191, 'name': 'Joseba Llorente Etxarri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Villarreal,222,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7fe514ca-42b7-4e66-9f17-2606721027a5,3,,,69217,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2ecc23f1-a278-46a6-95d2-e3e1658cc0eb'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2ecc23f1-a278-46a6-95d2-e3e1658cc0eb,4,,,69217,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7fe514ca-42b7-4e66-9f17-2606721027a5'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,95b8cef1-08bd-4a43-a514-2cd721035775,1736,,,69217,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Barcelona,217,['ca3e6483-e137-4172-b651-3b05a71141c4'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ca3e6483-e137-4172-b651-3b05a71141c4,1737,,,69217,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Barcelona,217,['95b8cef1-08bd-4a43-a514-2cd721035775'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.668245,,,,,,,,,,,,,,,5ee49fee-d76c-462e-b55b-ced6cae7142f,5,,"[61.0, 41.0]",69217,0,,True,,,-2.1293957,,Right Foot,,,"[59.5, 38.6]",,Ground Pass,2.8301942,,,Andrés Iniesta Luján,5216.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['d03f1811-7e3a-46e8-8b46-f2526a6d3bcb'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.981,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.893,,,,,,,,,,,,,,,54e2372c-8ab4-4c14-83da-e3009f045cff,7,,"[60.5, 38.6]",69217,0,,,,,2.7574234,,Right Foot,,,"[51.1, 42.4]",,Ground Pass,10.139033,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Wing,2,Barcelona,217,['381a6475-51c2-4503-892d-5f7e091c0ad8'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.476,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0023,,,,,,,,,,,,,,,ac953632-a8d3-48be-a756-c7a989d9c08f,10,,"[48.7, 43.8]",69217,0,,,,,-1.7633493,,Right Foot,,,"[45.6, 27.9]",,Ground Pass,16.199383,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,['b8a77fd2-dfb9-4ee2-aa94-6bcdf4eb1aa5'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.036,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.1802,,,,,,,,,,,,,,,a32ead26-5042-4861-9cc8-ad68bbb5c9e4,14,,"[47.3, 25.8]",69217,0,,,,,-1.4829402,,Left Foot,,,"[49.0, 6.5]",,Ground Pass,19.374725,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['033733e1-9a43-4b0b-aa3f-d134f9bda5a0'],6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.059,Pass,,2008/2009
