bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.409705,,,,,,,,,,,,,afc1b244-5b24-48f0-a6a0-8cead2324bea,18,,,"[49.6, 34.7]",69264,0,,,,-1.4075122,,Left Foot,,,"[53.9, 8.6]",,Ground Pass,,26.451843,,,,Adriano Correia Claro,22102.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Center Defensive Midfield,2,Barcelona,217,['9e07d8d7-c16f-490d-aa95-fac2d9369ef2'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.097,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.666912,,,,,,,,,,,,,89540c5c-0e97-4f3b-896f-9fb9c6b597b8,22,,,"[53.5, 9.2]",69264,0,,,,2.742077,,Left Foot,,,"[35.5, 16.8]",,Low Pass,,19.53868,,,,Andreu Fontàs Prat,6890.0,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,"['bb9012ed-79ef-4309-b723-5e1b6dc50624', 'ed85af41-ecfb-4e42-a792-a310e7a41a6b']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.563,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.175246,,,,,,,,,,,,,1a9177cf-027e-4a7f-a29e-aae84757e563,25,,,"[36.4, 17.8]",69264,0,,,,1.5406547,,Left Foot,,,"[37.6, 57.6]",,Ground Pass,,39.818085,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Andreu Fontàs Prat,6890.0,Left Center Back,2,Barcelona,217,['79ef1bc0-25cb-4d58-8db2-f02a712d4e52'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.807,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.495984,,,,,,,,,,,,,a8211d4b-e601-4666-9431-57eca2c5472e,28,,,"[38.0, 59.8]",69264,0,,,,0.9690205,,Left Foot,,,"[49.4, 76.4]",,Ground Pass,,20.137527,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['7769b9ab-1d5b-4f62-ab11-d94945ec249c'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.215,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.169047,,,,,,,,,,,,,3e5510af-996d-491e-ba29-42cf5813759e,31,,,"[49.4, 76.4]",69264,0,,,,-2.290066,,Right Foot,,,"[35.3, 60.3]",,Ground Pass,,21.401402,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['e0de4597-a20e-4c16-83c2-05f060bd5966'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.928,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.818631,,,,,,,,,,,,,9f36cc6b-d11e-47e2-aca3-1c7150f850b4,34,,,"[30.7, 59.0]",69264,0,,,,-1.4888687,,Right Foot,,,"[33.5, 24.9]",,Ground Pass,,34.214764,,,,Andreu Fontàs Prat,6890.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['5381dd12-e479-48e8-b3e9-fefa97c45fe4'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.402,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.129258,,,,,,,,,,,,,9282919e-5f65-4f67-88ed-00af561d8163,37,,,"[39.4, 25.4]",69264,0,,,,1.5196362,,Left Foot,,,"[41.1, 58.6]",,Ground Pass,,33.243496,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Andreu Fontàs Prat,6890.0,Left Center Back,2,Barcelona,217,['f87ef196-7b4f-41c4-891d-55f8f59fab8f'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.118,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.950049,,,,,,,,,,,,,504c83cf-3f44-4608-8be8-114c9c3d83ee,40,,,"[54.1, 42.5]",69264,0,,,,-1.4288993,,Right Foot,,,"[56.0, 29.2]",,Ground Pass,,13.435029,,,,Seydou Kéita,20169.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['87081e20-9a07-46c4-a663-9159e204d394'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.208,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.368909,,,,,,,,,,,,,2d3cd81e-15e0-4d5f-b24c-4920c4ff3caa,44,,,"[57.0, 34.7]",69264,0,,,,1.9048486,,Left Foot,,,"[51.1, 51.7]",,Ground Pass,,17.994722,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Center Defensive Midfield,2,Barcelona,217,"['6a7a802e-bc63-4a98-b1a1-24d60917c9af', '8b05672d-9403-47e7-b5fa-1e006319a62e']",35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.367,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.198822,,,,,,,,,,,,,80638b31-dd1e-4639-bce0-b0b9b8526f03,47,,,"[51.1, 51.7]",69264,0,,,,0.33974347,,Right Foot,,,"[62.7, 55.8]",,Ground Pass,,12.303251,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Back,2,Barcelona,217,['c1d20f13-3b78-4721-8198-3a729aa80062'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.782,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.9284,,,,,,,,,,,,,02fd75ce-45f9-4d01-846c-9907729efe38,50,,,"[62.7, 60.5]",69264,0,,,,-0.05639176,,Right Foot,,,"[75.1, 59.8]",,Ground Pass,,12.419743,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['57e17861-5d78-4691-b9cf-5599383982e2'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.328,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.4673,,,,,,,,,,,,,26c3b304-a73b-4135-ae94-7acb002a20ee,54,,,"[71.3, 59.8]",69264,0,,,,-0.8294872,,Right Foot,,,"[77.8, 52.7]",,Ground Pass,,9.626006,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,2,Barcelona,217,"['5ace0e6d-f80b-4b83-a8f2-f934347c1484', 'ce0692b6-a0fc-4216-8f64-926ed6d48e6d']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.403,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.943562,,,,,,,,,,,,,f90d752a-c90a-4c25-bd6f-30cceb9d7df1,57,,,"[77.8, 52.7]",69264,0,,,,1.2148805,,Right Foot,,,"[87.8, 79.6]",,High Pass,,28.698606,,Out,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Forward,2,Barcelona,217,['f6d8574a-2311-4e8f-9a1b-dc865c410ceb'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.950,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.711667,,,,,,,,,,,,,14fdbb0e-2aad-463f-ba7e-978dd2caeb0c,59,,,"[37.9, 1.0]",69264,0,,,,2.734099,,,,,"[10.1, 13.0]",,High Pass,,30.279366,,,,Vadim Demidov,26701.0,,,,,Throw-in,1,From Throw In,Alberto De La Bella Madureño,6674.0,Left Back,3,Real Sociedad,210,['c3ef7713-67a1-4376-b768-a2c5118ebd71'],53,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:53.726,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.907883,,,,,,,,,,,,,52ed432b-8c54-4a87-a43b-975d425fe620,67,,,"[26.1, 24.2]",69264,1,,,,2.4775465,,Left Foot,,,"[16.9, 31.4]",,Ground Pass,,11.682466,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Throw In,Vadim Demidov,26701.0,Right Center Back,3,Real Sociedad,210,"['5b2de2bb-a495-4049-820d-25f7ca10ed4f', '8be89005-275c-48b0-a500-8de175db4402']",0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:00.962,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,1.729236,,,,,,,,,,,,,76c70cff-5d4f-42fe-bd3b-921fbb267ed2,71,,,"[15.8, 29.5]",69264,1,,,,-0.77874637,,Left Foot,,,"[38.5, 7.1]",,High Pass,,31.891222,,,,Alberto De La Bella Madureño,6674.0,,,,,,1,From Throw In,Íñigo Martínez Berridi,6665.0,Left Center Back,3,Real Sociedad,210,"['5260f177-2069-4d32-aff5-f3615af75482', '9496d23d-cdb1-4d30-abb4-577381219a0e']",2,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:02.954,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,0.85981,,,,,,,,,,,,,95873c19-bc75-47a8-a7d3-b14ab3871a71,74,,,"[42.8, 6.9]",69264,1,,,,1.1797482,,Left Foot,,,"[47.5, 18.3]",,Low Pass,,12.330855,,,,MacDonald Mariga Wanyama,26717.0,,,,,,1,From Throw In,Alberto De La Bella Madureño,6674.0,Left Back,3,Real Sociedad,210,['67d0ea4b-d518-42df-acff-63434c2883d4'],5,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:05.889,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.76383,,,,,,,,,,,,,a3c1d25c-4056-4741-bac2-b652ec0362e3,80,,,"[40.9, 17.5]",69264,1,,,,-1.6973884,,Head,,,"[39.5, 6.5]",,Low Pass,,11.088733,,,,Alberto De La Bella Madureño,6674.0,,,,,,1,From Throw In,MacDonald Mariga Wanyama,26717.0,Left Defensive Midfield,3,Real Sociedad,210,['19a9e0d3-632c-4fdf-8ed7-626487bc07d3'],9,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:09.423,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.944507,,,,,,,,,,,,,a6a8c064-de64-4fd1-bedc-71b9a9b656eb,84,,,"[39.3, 6.7]",69264,1,,,,2.8990922,,Left Foot,,,"[20.3, 11.4]",,Ground Pass,,19.572685,,,,Vadim Demidov,26701.0,,,,,,1,From Throw In,Alberto De La Bella Madureño,6674.0,Left Back,3,Real Sociedad,210,"['93d1a4bf-0754-4d17-b4a7-f5b4ca9b8009', 'ba53f468-8869-43d1-892d-d1fd95cda6bf']",10,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:10.209,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,2.854836,,,,,,,,,,,,,64bb81b1-70cb-4f7f-a6f9-3e17d2b6ded0,87,,,"[20.7, 8.5]",69264,1,,,,0.19784379,,Left Foot,,,"[63.6, 17.1]",,High Pass,,43.753513,,Incomplete,,Xabier Prieto Argarate,6690.0,,,,,,1,From Throw In,Vadim Demidov,26701.0,Right Center Back,3,Real Sociedad,210,"['547363bc-8085-476b-b8ba-d7ee66654727', 'c586d067-4c27-4d16-a76b-831dd128f557']",12,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:12.193,Pass,,2011/2012
,,,,,,,,,,,,,,,,,3.284564,,,,,,,,,,,,,c586d067-4c27-4d16-a76b-831dd128f557,89,,,"[57.4, 63.9]",69264,1,,,,0.12683228,,Right Foot,,,"[72.3, 65.8]",,High Pass,,15.020653,,Incomplete,,,,,,,,Recovery,1,From Throw In,Andreu Fontàs Prat,6890.0,Left Center Back,3,Real Sociedad,210,"['0791f4f1-3888-4a92-a857-711743b37c72', '64bb81b1-70cb-4f7f-a6f9-3e17d2b6ded0']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.048,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.747398,,,,,,,,,,,,,a22e02d4-a3e1-44cd-9c69-0077a2af5872,92,,,"[43.8, 30.5]",69264,1,True,,,2.7288563,,Right Foot,,,"[11.6, 44.6]",,Ground Pass,,35.151814,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,Recovery,1,Regular Play,Asier Illarramendi Andonegi,6671.0,Right Defensive Midfield,4,Real Sociedad,210,"['5653d5dc-968d-4e2d-9e59-acd87e59f206', 'eb4e4d68-6dac-4f93-8bf3-6f30c4d8302f']",19,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:19.808,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,2.5575,,,,,,,,,,,,,5d851811-f0ea-4300-a3b9-dc8768e17216,94,,,"[13.4, 45.4]",69264,1,True,,,0.51748776,,Drop Kick,,,"[65.4, 75.0]",,High Pass,,59.83444,,Incomplete,,,,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,4,Real Sociedad,210,['55f7e8fd-39d4-4948-9496-a7c6eca5d6eb'],26,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:26.471,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.5824,,,,,,,,,,,,,55f7e8fd-39d4-4948-9496-a7c6eca5d6eb,95,,,"[55.6, 6.0]",69264,1,,,,0.34194982,,Head,,,"[67.4, 10.2]",,High Pass,,12.525175,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,Recovery,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,5,Barcelona,217,"['5d851811-f0ea-4300-a3b9-dc8768e17216', '8aa9e199-7f22-42ef-a810-7cdda34d8bae']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.028,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.621487,,,,,,,,,,,,,9220c205-9147-4ed8-ad9a-c071966600bb,99,,,"[70.3, 13.3]",69264,1,,,,2.1687653,,Right Foot,,,"[65.6, 20.2]",,Low Pass,,8.348653,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,5,Barcelona,217,"['569013ba-1b7e-4047-baa3-0b3d0f960b2a', 'cec3d6c3-8f7d-42e6-9b0c-01ce6fc8c549']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.112,Pass,True,2011/2012
