bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.504702,,,,,,,,,,,,,,,386c8e07-7f64-4684-8f9c-4e1d971763a0,820,,,"[89.9, 25.3]",266815,19,,,,-1.0838971,,Right Foot,,,,"[100.7, 4.9]",,Ground Pass,23.08246,,,,Adriano Correia Claro,22102.0,,,,,,1,Other,Arda Turan,11094.0,Left Center Midfield,28,Barcelona,217,['e0fd9b3b-11b0-484b-9307-1457c2afbb55'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:19:54.128,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.846358,,,,,,,,,,,,,,,85c5ee31-582e-455e-90e0-22f4cb574d62,823,,,"[101.4, 5.8]",266815,19,,,,2.4537103,,Left Foot,,,,"[91.3, 14.1]",,Ground Pass,13.072873,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Other,Adriano Correia Claro,22102.0,Left Back,28,Barcelona,217,['55217e5a-c0ea-4c4f-9ff9-6d3b8cb433ed'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:19:56.134,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.668476,,,,,,,,,,,,,,,688a5c93-c8a9-4f91-8058-cff49586bb1a,826,,,"[90.5, 22.4]",266815,19,,,,0.4552796,4ef7bfaa-4ccd-40b8-9ff5-c0b8dffee2f6,Right Foot,,,,"[109.7, 31.8]",,Ground Pass,21.377558,,,,Luis Alberto Suárez Díaz,5246.0,True,,Through Ball,True,,1,Other,Neymar da Silva Santos Junior,4320.0,Left Wing,28,Barcelona,217,['6f780231-3da0-4bcf-beea-de039d330570'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:19:59.841,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.827597,,,,,,,,,,,,,,,643aa982-bdca-4b5f-9fb4-c0de100f6c13,831,,,"[120.0, 0.1]",266815,20,True,,,1.7520317,,Left Foot,,,,"[113.0, 38.3]",,High Pass,38.836067,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,29,Barcelona,217,['decd15b3-4148-44a0-a8c4-ac5499b4c5f6'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:20:27.983,Pass,,2015/2016
,,,,,,,,,,,,,,,,3.992876,,,,,,,,,,,,,,,aa82b9ee-137b-4410-8c88-b2d83f4cf311,838,,,"[23.0, 53.7]",266815,21,,,,-0.583373,,Left Foot,,,,"[83.0, 14.1]",,High Pass,71.889915,,,,Alejandro Menéndez Díez,23994.0,,,,,Free Kick,1,From Free Kick,Iván Cuéllar Sacristán,6610.0,Goalkeeper,31,Sporting Gijón,1041,['26c5f7a2-27cf-42d8-91e8-e78284b26a90'],3,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:21:03.339,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.863982,,,,,,,,,,,,,,,b8af0ac7-4717-4581-80f1-f35c6ea730af,842,,,"[79.8, 3.6]",266815,21,,,,2.3470204,,Left Foot,,,,"[74.4, 9.1]",,Ground Pass,7.7077885,,Incomplete,,Ignacio Cases Mora,18925.0,,,,,,1,From Free Kick,Alejandro Menéndez Díez,23994.0,Left Wing,31,Sporting Gijón,1041,"['bba9c6e9-cd4f-42ee-b1d3-183e016e14f5', 'c457824a-ec36-4252-8b18-bdbd41dd44f0']",10,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:21:10.836,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.487239,,,,,,,,,,,,,,,bba9c6e9-cd4f-42ee-b1d3-183e016e14f5,844,,,"[45.7, 71.0]",266815,21,,,,-2.7863617,,Right Foot,,,,"[33.3, 66.4]",,Ground Pass,13.225733,,,,Ivan Rakitić,5470.0,,,,,Recovery,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,32,Barcelona,217,"['b8af0ac7-4717-4581-80f1-f35c6ea730af', 'ba3cf763-3ca2-4046-8a14-06ca84585b10']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:21:11.700,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.953893,,,,,,,,,,,,,,,de7c9d2d-ba03-4a5d-ae78-de09d93a2c24,847,,,"[36.8, 64.8]",266815,21,,,,-0.9215371,,Right Foot,,,,"[43.1, 56.5]",,Ground Pass,10.420173,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,32,Barcelona,217,['24fa6fa0-cb37-4d00-8874-fda424924605'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:21:16.498,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.806875,,,,,,,,,,,,,,,5fa2efe4-0a9d-4d2c-9f27-2f9f7b6e66b7,850,,,"[56.3, 36.3]",266815,21,,,,-0.8151234,,Right Foot,,,,"[87.3, 3.4]",,High Pass,45.204094,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,32,Barcelona,217,['7d56ea9d-c7b0-406d-b350-567463204377'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:21:22.994,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.344963,,,,,,,,,,,,,,,a9f1498f-be40-4f35-8b31-b207760a8cc8,853,,,"[99.7, 9.5]",266815,21,,,,2.0868304,,Right Foot,,,,"[93.8, 19.9]",,Ground Pass,11.957006,,,,Adriano Correia Claro,22102.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,32,Barcelona,217,['86539d27-b045-47aa-b926-25c928bde5d3'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:21:29.254,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.97371,,,,,,,,,,,,,,,65023e04-9be1-49e2-a855-dfca7cae4c80,856,,,"[93.8, 19.9]",266815,21,,,,0.16065864,,Left Foot,,,,"[119.1, 24.0]",,Ground Pass,25.63006,,Out,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,32,Barcelona,217,['c7a04372-b0a9-480e-9d70-ab5e9fc4b572'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:21:30.795,Pass,,2015/2016
,,,,,,,,,,,,,,,,3.92336,,,,,,,,,,,,,,,22445399-92a4-47d4-b2fd-820fbd415e9c,858,,,"[6.0, 44.0]",266815,21,,,,0.3407664,,Left Foot,,,,"[73.4, 67.9]",,High Pass,71.512024,,Incomplete,,Pablo Pérez Rodríguez,23838.0,,,,,Goal Kick,1,From Goal Kick,Iván Cuéllar Sacristán,6610.0,Goalkeeper,33,Sporting Gijón,1041,"['401b09f4-b96c-461f-a52f-be3c036b4d59', 'ccef5ca6-18db-477c-ac95-a476f4019aa6']",57,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:21:57.634,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.802549,,,,,,,,,,,,,,,4d4c8ae2-a277-4999-b5a5-b842328cb7f6,867,,,"[38.6, 0.1]",266815,22,True,,,0.57046056,,,,,,"[55.9, 11.2]",,High Pass,20.554804,,,,Ivan Rakitić,5470.0,,,,,Throw-in,1,From Throw In,Adriano Correia Claro,22102.0,Left Back,34,Barcelona,217,['a17663cf-cb0a-485e-81f8-05cd14d547b1'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:22:24.078,Pass,,2015/2016
