50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.3996,,,,,,,,,,,,,ec113cd4-f630-49ab-a87a-b51b3077e304,17,,,"[83.4, 25.5]",265866,0,,,,,-1.5189561,,Right Foot,,,"[84.5, 4.3]",,Low Pass,,21.22852,,,,Fidel Chaves de la Torre,23825.0,,,,,,Interception,1,From Kick Off,Luis Eduardo Delgado Pacheco,24139.0,Center Attacking Midfield,2,Córdoba CF,373,"['30b31e45-368f-4fd5-8316-5fd1d1c2dd5c', '647b8f05-f861-49da-a7ef-eb43c4f87d11']",15,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:15.189,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.576318,,,,,,,,,,,,,2c60531c-8154-47d8-8a8d-3b31e530f39b,21,,,"[85.3, 3.2]",265866,0,,,,,1.2856786,,Left Foot,,,"[88.7, 14.8]",,Ground Pass,,12.088011,,,,Luis Eduardo Delgado Pacheco,24139.0,,,,,,,1,From Kick Off,Fidel Chaves de la Torre,23825.0,Left Wing,2,Córdoba CF,373,"['2ab71516-7b01-4090-805e-cd53a9918c9d', '7531273f-e41e-487e-98c9-606efa22a835']",17,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:17.814,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,0.3582,,,,,,,,,,,,,8cb6c48d-414e-4b59-b545-09740ec6dd60,25,,,"[102.1, 3.5]",265866,0,,,,,1.5137155,,Left Foot,,,"[102.3, 7.0]",,Ground Pass,,3.5057096,,Incomplete,,,,,,,,,,1,From Kick Off,Luis Eduardo Delgado Pacheco,24139.0,Center Attacking Midfield,2,Córdoba CF,373,"['4508d731-a10c-47df-9a0b-8d28a777020c', 'c05fe7c2-3737-42be-b8b1-58e5755cc2f0']",20,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:20.675,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.2655,,,,,,,,,,,,,43baa372-0356-4921-8760-12372710080c,27,,,"[106.3, 0.1]",265866,0,,,,,2.0246403,,,,,"[102.3, 8.3]",,Low Pass,,9.123596,,,,Fidel Chaves de la Torre,23825.0,,,,,,Throw-in,1,From Throw In,Luis Eduardo Delgado Pacheco,24139.0,Center Attacking Midfield,3,Córdoba CF,373,['9de595e4-a195-4227-a1d7-ffbcd6e5965c'],24,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:24.742,Pass,,2014/2015
,,,,,,,,,,,,,,,,,0.804573,,,,,,,,,,,,,365b8825-a0a3-40d4-81af-babc912ef6f3,29,,,"[106.3, 8.9]",265866,0,,,,,-0.5926974,,Right Foot,,,"[111.2, 5.6]",,Low Pass,,5.9076223,,,,Luis Eduardo Delgado Pacheco,24139.0,,,,,,,1,From Throw In,Fidel Chaves de la Torre,23825.0,Left Wing,3,Córdoba CF,373,['5b666a30-cd2a-4cbb-8600-99306c9577c2'],26,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:26.008,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.592584,,,,,,,,,,,,,660dba40-9b2a-43cf-a289-8518a17cd2b3,36,,,"[107.4, 4.3]",265866,0,,,,,1.4570043,,Right Foot,True,,"[112.2, 46.3]",,High Pass,,42.273396,,Incomplete,,Florin Andone,6731.0,,,True,,,,1,From Throw In,Luis Eduardo Delgado Pacheco,24139.0,Center Attacking Midfield,3,Córdoba CF,373,"['03a97082-6b7c-4faf-b6ae-928c8f65078f', '94c754e5-9298-4a0d-b713-f09167820b3d', 'fda84c38-483b-4ede-a313-cfc930c03096']",33,,,,,,,,,,,,,,,,,,Córdoba CF,373,00:00:33.166,Pass,True,2014/2015
,,,,,,,,,,,,,,,,,1.257364,,,,,,,,,,,,,4377d177-59fe-4f3e-b445-d6ae89837ace,39,,,"[16.9, 22.2]",265866,0,,,,,2.9042184,,Right Foot,,,"[4.5, 25.2]",,High Pass,,12.757743,,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['f67056f7-b260-4fa5-a772-d7e8de7bbfb2'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.082,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.3447,,,,,,,,,,,,,3214d109-19b1-4ce0-abf7-f0ebc42b5d55,42,,,"[5.8, 25.2]",265866,0,,,,,-0.036838364,,Left Foot,,,"[46.5, 23.7]",,High Pass,,40.72763,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['1391c7d6-707a-41f0-bde9-9e61d5727815'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.700,Pass,,2014/2015
,,,,,,,,,,,,,,,,,1.5948,,,,,,,,,,,,,e4d4d0fa-d19c-4802-8146-6cd40f5f212f,47,,,"[15.2, 0.1]",265866,0,,,,,0.348771,,,,,"[26.2, 4.1]",,High Pass,,11.7046995,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['6ccd96e7-6441-42db-b999-e3f6274db27f'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.171,Pass,,2014/2015
,,,,,,,,,,,,,,,,,2.385791,,,,,,,,,,,,,f64a181e-a256-4bbc-ad3a-3e0a3d5c709f,52,,,"[39.4, 8.1]",265866,1,,,,,2.4636626,,Right Foot,,,"[12.7, 29.6]",,Ground Pass,,34.280315,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,Free Kick,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,6,Barcelona,217,['6377ccd3-5a71-48df-809a-9c87b08f76d5'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.484,Pass,,2014/2015
