50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,"[67.9, 37.9]",,,,,,,,,,,,2.752611,,,,,,,,,,,,,51b6295b-8a05-4197-a682-984eee8f0e3d,2545,,"[56.1, 43.8]",68326,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Pablo Andrés Contreras Fica,26007.0,Right Center Back,139,Celta Vigo,209,"['58745776-41e2-47aa-9190-5b3439a7f43e', '9e26f8fd-8055-4256-a9cb-61423abdcc0f']",35,,,,,,,,,,,,,,,,Celta Vigo,209,00:18:35.017,Carry,,2006/2007
,,,"[66.7, 27.1]",,,,,,,,,,,,1.103602,,,,,,,,,,,,,1feffd61-51f2-463c-9531-3047b6b0315c,2548,,"[66.7, 27.1]",68326,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Borja Oubiña Meléndez,25986.0,Left Defensive Midfield,139,Celta Vigo,209,"['1e91116f-4f74-40a2-8bb4-9157523b3fc5', '83487edb-e5f9-4d1b-ad35-6765ac917de4']",39,,,,,,,,,,,,,,,,Celta Vigo,209,00:18:39.343,Carry,,2006/2007
,,,"[80.3, 41.2]",,,,,,,,,,,,1.348676,,,,,,,,,,,,,a7ed30ac-8a7e-40f6-9c02-744f29f4c142,2551,,"[81.2, 41.8]",68326,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Néstor Fabián Canobbio Bentaberry,25980.0,Center Attacking Midfield,139,Celta Vigo,209,"['49475fb4-4828-447b-aaa5-91f893360bb7', '6e895825-8f45-422b-9ed0-46751520ec97']",41,,,,,,,,,,,,,,,,Celta Vigo,209,00:18:41.658,Carry,,2006/2007
,,,"[86.9, 23.2]",,,,,,,,,,,,0.890468,,,,,,,,,,,,,e3490078-3321-4696-a508-b5f3a5ae53f7,2554,,"[81.0, 26.5]",68326,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iriney Santos Da Silva,25978.0,Right Defensive Midfield,139,Celta Vigo,209,"['74a4ddc5-63a1-497c-a7dd-38ddfcfd9bf5', 'fc7df386-7f7f-4735-b062-a1e183768ae7']",43,,,,,,,,,,,,,,,,Celta Vigo,209,00:18:43.784,Carry,,2006/2007
,,,"[118.1, 15.2]",,,,,,,,,,,,6.547542,,,,,,,,,,,,,38d4df8a-081b-4147-b754-e958309d3296,2557,,"[98.3, 10.5]",68326,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Anderson Luis de Carvalho,25764.0,Left Wing,139,Celta Vigo,209,"['13fac6d1-321d-4f89-97a0-62126ed2c6bd', '52869b0e-dfa6-4f42-b538-f63ae3346671', '7736fbee-8018-4981-93a4-22e542d0d683']",46,,,,,,,,,,,,,,,,Celta Vigo,209,00:18:46.255,Carry,True,2006/2007
,,,"[92.1, 36.8]",,,,,,,,,,,,1.517417,,,,,,,,,,,,,a42ccfb4-32fe-45dd-a472-c07f58705893,2570,,"[85.6, 36.2]",68326,65,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,141,Barcelona,217,"['700a227e-b168-4d45-9683-f52991989db9', '85bf0650-4e75-4178-916f-cdaeaf1ae56f', 'e45e8d27-d8f3-4fe9-a247-110ae2af5416']",31,,,,,,,,,,,,,,,,Barcelona,217,00:20:31.138,Carry,True,2006/2007
,,,"[92.5, 32.9]",,,,,,,,,,,,0.6455,,,,,,,,,,,,,0c7f734e-e7e1-47d4-8fe3-d0197010d218,2573,,"[92.1, 36.8]",68326,65,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,141,Barcelona,217,"['2eab22b0-7507-4373-b7a5-53ac6460f37e', '700a227e-b168-4d45-9683-f52991989db9', 'e45e8d27-d8f3-4fe9-a247-110ae2af5416']",32,,,,,,,,,,,,,,,,Barcelona,217,00:20:32.655,Carry,True,2006/2007
,,,"[112.3, 8.8]",,,,,,,,,,,,0.197577,,,,,,,,,,,,,72ac0d92-3faf-4607-ac44-34add842e10a,2576,,"[112.3, 8.8]",68326,65,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,141,Barcelona,217,"['3a210594-85e2-48fe-a108-4e2180c5c3af', 'bae38197-084b-498b-9536-446888f69ecf']",36,,,,,,,,,,,,,,,,Barcelona,217,00:20:36.315,Carry,,2006/2007
,,,"[22.3, 20.5]",,,,,,,,,,,,0.714834,,,,,,,,,,,,,4f010fbe-45c8-44a1-a32c-cca5b3a04e45,2588,,"[29.2, 19.6]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,143,Barcelona,217,"['b4ea8fc5-5c66-4bef-9269-13f0171f0f1d', 'd4c1628f-0472-4e9b-9260-d68318470e75', 'ef1bc25b-8ea9-4b4d-bf42-a38eb1366adb']",21,,,,,,,,,,,,,,,,Barcelona,217,00:21:21.544,Carry,True,2006/2007
,,,"[10.9, 35.1]",,,,,,,,,,,,0.040000003,,,,,,,,,,,,,a8ba850f-6be9-4cba-9e8f-4a40dfd4ad26,2591,,"[11.1, 35.6]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,143,Barcelona,217,"['43edf746-f001-4e0a-b13a-39eb3d3d7331', 'da4c37c0-f8a3-4630-b639-df46da69c1f3']",24,,,,,,,,,,,,,,,,Barcelona,217,00:21:24.289,Carry,,2006/2007
,,,"[50.7, 25.8]",,,,,,,,,,,,0.4664,,,,,,,,,,,,,416816f6-e5cf-41fd-a943-8d0cbdca0430,2595,,"[53.1, 26.8]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,143,Barcelona,217,"['5e198101-da22-47d1-aa62-47024e4a312c', 'b2320f4c-f4dc-4191-9402-766371666cc0', 'fc1ca49d-f4cb-4faa-a2e7-70581d4c2c45']",31,,,,,,,,,,,,,,,,Barcelona,217,00:21:31.469,Carry,True,2006/2007
,,,"[50.0, 21.3]",,,,,,,,,,,,0.8977,,,,,,,,,,,,,df6fc5eb-6c71-4c4d-9349-06b10471e87b,2598,,"[50.7, 25.8]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,143,Barcelona,217,"['47e2b702-442a-4511-8ede-ca02ef02ece9', '5e198101-da22-47d1-aa62-47024e4a312c', 'a527b7c5-aff3-4423-bd96-1f295a343977', 'fc1ca49d-f4cb-4faa-a2e7-70581d4c2c45']",31,,,,,,,,,,,,,,,,Barcelona,217,00:21:31.935,Carry,True,2006/2007
,,,"[47.2, 15.8]",,,,,,,,,,,,0.3868,,,,,,,,,,,,,63a618db-17b7-4597-9ff8-c781b4052a1c,2602,,"[47.2, 15.8]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,143,Barcelona,217,"['2b18b839-42be-4ce2-bd50-444b550fe0dd', '930023a0-c893-40dd-9272-f565ed7343b2']",33,,,,,,,,,,,,,,,,Barcelona,217,00:21:33.358,Carry,,2006/2007
,,,"[41.1, 24.3]",,,,,,,,,,,,1.286,,,,,,,,,,,,,77757480-5c9d-4899-a74a-4b049ef19d72,2605,,"[43.5, 22.5]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,143,Barcelona,217,"['15448322-41cc-4a3c-912c-e15a93f81204', '586eda9b-fe79-41c8-a270-febfb2c300cd']",34,,,,,,,,,,,,,,,,Barcelona,217,00:21:34.515,Carry,,2006/2007
,,,"[26.8, 59.0]",,,,,,,,,,,,1.703768,,,,,,,,,,,,,b7dc2c15-490d-4040-bedb-5d04d98c1f87,2608,,"[30.9, 58.6]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gianluca Zambrotta,15774.0,Right Back,143,Barcelona,217,"['4a2808c0-0e36-4037-bfac-134009fd7d14', 'de1b763b-2b17-4dfd-8c8c-1a059deb36e6']",38,,,,,,,,,,,,,,,,Barcelona,217,00:21:38.707,Carry,,2006/2007
,,,"[19.8, 47.0]",,,,,,,,,,,,2.0506,,,,,,,,,,,,,028c4464-45f2-4d1c-a81e-539bc5ba9bd1,2611,,"[15.1, 47.8]",68326,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,143,Barcelona,217,"['4041a6cd-2116-40e4-8476-bdc0865c1aa5', '90972857-2337-4360-ad35-dfa7f70393a6', '988f759a-4176-4ef6-940d-c799da820a6e']",41,,,,,,,,,,,,,,,,Barcelona,217,00:21:41.528,Carry,True,2006/2007
