ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.2896,,,,,,,,,,,,,5106a6bd-4498-4edb-81a1-74e0f0466bb8,18,,,"[38.0, 66.0]",16289,0,,,,-2.4037776,,Right Foot,,,,"[27.0, 56.0]",,Ground Pass,,14.866069,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['826482c8-fe61-4831-b5b3-029befd7b091'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.493,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.5881,,,,,,,,,,,,,c5e487b4-e246-4caa-aeaf-5d598de06c51,21,,,"[36.0, 51.0]",16289,0,,,,-1.6124389,,Right Foot,,,,"[35.0, 27.0]",,Ground Pass,,24.020824,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['8fcb68b0-3d38-4dde-a35e-4c2d6b8262fc'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.247,Pass,,2018/2019
,,,,,,,,,,,,,,,,4.9972,,,,,,,,,,,,,2408fccf-15b1-4fe0-8da0-24bdf85e6ba9,24,,,"[52.0, 16.0]",16289,0,,,,0.067693025,,Left Foot,,,,"[111.0, 20.0]",,High Pass,,59.135437,,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['28032312-e4b2-4395-b4f9-6c7d890421ab', '95806ca5-9fd0-4d4e-8607-0ea8e861b38d']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.354,Pass,,2018/2019
,,,,,,,,,,,,,,,,3.3039,,,,,,,,,,,,,3044b233-0440-4802-a5ee-88352a9c4cc9,28,,,"[20.0, 59.0]",16289,0,,,,0.22266094,,Right Foot,,,,"[73.0, 71.0]",,High Pass,,54.34151,,,,,David Remeseiro Salgueiro,6691.0,,,,,,1,From Counter,Aitor Fernández Abarisketa,23344.0,Goalkeeper,3,Levante UD,221,['c0f3d435-f62a-4da8-994d-425b000e63c7'],36,,,,,,,,,,,,,,,,,Levante UD,221,00:00:36.743,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9785,,,,,,,,,,,,,56bcbe04-49f7-4bf6-8dbd-37cfbe5e0cc9,30,,,"[74.0, 70.0]",16289,0,,,True,0.09065989,,,,,,"[85.0, 71.0]",,Low Pass,,11.045361,,,Incomplete,,Borja Mayoral Moya,21147.0,,,,,,1,From Counter,David Remeseiro Salgueiro,6691.0,Right Midfield,3,Levante UD,221,"['73bfcfb0-7575-44d5-b8a0-7b6848f6acaa', 'e8977f3f-dfbb-4e18-8267-e1ec0f6088a5', 'eaab9593-b399-4f72-8528-bfb3d402b629']",40,,,,,,,,,,,,,,,,,Levante UD,221,00:00:40.047,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.2271,,,,,,,,,,,,,26839840-ef22-488f-9439-397a76943bc8,34,,,"[86.0, 80.0]",16289,0,,,,-0.07677189,,,,,,"[112.0, 78.0]",,High Pass,,26.076809,,,,,Rubén Rochina Naixes,6680.0,,,,,Throw-in,1,From Throw In,Jorge Andújar Moreno,6672.0,Right Back,4,Levante UD,221,['504b47fa-1d5d-4669-935b-c285d17572b5'],58,,,,,,,,,,,,,,,,,Levante UD,221,00:00:58.770,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.0732,,,,,,,,,,,,,82a60798-cd25-4e05-99fc-a9d96b14fd8d,38,,,"[114.0, 79.0]",16289,1,,,,3.1415927,,Left Foot,,,,"[111.0, 79.0]",,Ground Pass,,3.0,,,Incomplete,,,,,,,,,1,From Throw In,Rubén Rochina Naixes,6680.0,Right Center Midfield,4,Levante UD,221,['f941a1ae-896e-484c-9e5d-10993a45410a'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:01:01.870,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9714,,,,,,,,,,,,,97be83fc-4e7c-4c4c-a684-52a073b03c0d,45,,,"[12.0, 9.0]",16289,1,,,,0.104876935,,Right Foot,,,,"[31.0, 11.0]",,Low Pass,,19.104973,,,,,Philippe Coutinho Correia,3501.0,,,,,Recovery,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Levante UD,221,"['b66db1f5-4d24-4175-95d9-478ba02f47ed', 'ed580d6e-4445-4e34-bb75-01e93cae3a34']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.676,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.1666,,,,,,,,,,,,,501c55a0-d603-495a-a545-5a7a8dbefe8f,48,,,"[30.0, 10.0]",16289,1,,,,1.1071488,,Right Foot,,,,"[31.0, 12.0]",,Ground Pass,,2.236068,,,Incomplete,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,4,Levante UD,221,['279b5e88-c607-4616-b661-9bfd6b89bf45'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.688,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.78768,,,,,,,,,,,,,e2211eae-c9b8-4578-a998-00b2571df94e,50,,,"[94.0, 62.0]",16289,1,,,,-2.9996955,,Right Foot,,,,"[87.0, 61.0]",,Ground Pass,,7.071068,,,,,Nikola Vukčević,17303.0,,,,,Recovery,1,From Throw In,Borja Mayoral Moya,21147.0,Center Forward,4,Levante UD,221,['d4ad2a54-eb24-4bda-86d6-781141aa451f'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:01:07.519,Pass,,2018/2019
