ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,2f43b530-3ae6-4654-b20a-4946c1324de0,2021,,"[58.6, 67.6]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Defensive Midfield,114,Barcelona,217,['5435106c-01b0-43e6-913c-595aff6d2ab5'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:03:27.073,Ball Receipt*,,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,2c0cf26f-50eb-41fc-91f9-96e048aa26df,2023,,"[43.1, 12.5]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,114,Barcelona,217,['8f06ada2-a618-4026-8a25-14e105114e0a'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:03:30.701,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,e2413ed0-dcbc-4539-8e45-a010998c341b,2027,,"[100.4, 53.4]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jose Luis Martí Soler,25948.0,Right Defensive Midfield,114,Barcelona,217,['8e0491e0-8bba-4b23-a03a-1bc6bba91b14'],33,,,,,,,,,,,,,,,,,Mallorca,1043,00:03:33.632,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,7e7c02dd-e17b-464a-91ee-5c70f0179523,2034,,"[2.5, 14.3]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,114,Barcelona,217,['fb29841c-2ee6-4837-b678-1d48ab00c678'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:03:40.041,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,5d46f7b3-5c4f-4d82-bd60-0da5ce092f0e,2041,,"[53.0, 52.8]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Iván Ramis Barrios,6778.0,Left Center Back,115,Mallorca,1043,['c60faa81-6494-43a2-99a8-7bc97240bfd3'],48,,,,,,,,,,,,,,,,,Mallorca,1043,00:03:48.220,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,c1615b6d-7560-4201-805a-73b5e918781b,2044,,"[74.8, 74.2]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Manuel Flores Moreno,26653.0,Right Back,115,Mallorca,1043,['fe9f07d7-238c-436d-a5f6-028e0a6ef18e'],50,,,,,,,,,,,,,,,,,Mallorca,1043,00:03:50.324,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,91cc0017-b606-469b-aec1-47785fcb3c48,2048,,"[28.2, 23.3]",69325,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,116,Barcelona,217,['7bb7b52c-a4f9-4f51-9c1a-599b3efb8211'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:03:55.276,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,e084e439-2b65-479c-88df-fcf566ef4aab,2052,,"[33.9, 59.8]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,116,Barcelona,217,['44fc037c-9268-468a-8562-1505cd9f3bfa'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:04:01.545,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,16c0a36b-0707-4fe7-90fb-cb1d95c98aeb,2055,,"[32.1, 19.0]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,116,Barcelona,217,['e9608ad5-f2a1-4306-b30b-006446ab786d'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:04:06.673,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,ab5e27f0-8ca8-494e-abfb-709694395fc8,2058,,"[49.0, 20.2]",69325,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Wing Back,116,Barcelona,217,['130a555c-5469-4f1f-a434-9370a7ab787f'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:04:09.258,Ball Receipt*,,2011/2012
