ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.420716,,,,,,,,,,,,bb4d5bf6-be80-46eb-a721-0e8b8b31c869,17,,"[55.1, 66.0]",15956,0,,,,,-1.8891723,,Right Foot,,,,"[46.3, 39.3]",,Ground Pass,,28.112808,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['e01822cd-dcc0-4b44-a24d-a43e79b589de'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.997,Pass,,2018/2019
,,,,,,,,,,,,,,,1.809265,,,,,,,,,,,,8d6420af-0d58-4713-8669-704388b7ea6a,20,,"[47.7, 37.3]",15956,0,,,,,-1.3703978,,Right Foot,,,,"[52.9, 11.7]",,Ground Pass,,26.122787,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['ba1ebeb8-6862-441a-902f-7cc039dd8b43'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.527,Pass,,2018/2019
,,,,,,,,,,,,,,,0.812188,,,,,,,,,,,,04063184-748d-4ead-8a3d-bc14695217a6,23,,"[53.3, 9.3]",15956,0,,,,,2.2807822,,Left Foot,,,,"[42.9, 21.4]",,Ground Pass,,15.95525,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['a34852ab-b2bb-4615-b10e-cf3249938cc8'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.514,Pass,,2018/2019
,,,,,,,,,,,,,,,1.076559,,,,,,,,,,,,edf0f1e9-123e-48cf-ac91-f13734534c9a,26,,"[43.3, 21.4]",15956,0,,,,,0.47116625,,Left Foot,,,,"[53.9, 26.8]",,Ground Pass,,11.896218,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['e4a2636c-a6a5-486d-9f01-fac1e4d4acba'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.766,Pass,,2018/2019
,,,,,,,,,,,,,,,1.658416,,,,,,,,,,,,c49a7ea2-c97d-4479-96ae-c62c4ded5360,29,,"[53.7, 38.8]",15956,0,,,,,1.5233542,,Right Foot,,,,"[55.3, 72.5]",,Ground Pass,,33.73796,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,Left Center Midfield,2,Barcelona,217,['9ff424b6-3dc3-453b-95be-cd3578441fb4'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.969,Pass,,2018/2019
,,,,,,,,,,,,,,,0.78147,,,,,,,,,,,,ed397705-a19e-42d9-afc3-09be73513717,32,,"[58.0, 75.7]",15956,0,,,,,0.23860933,,Left Foot,,,,"[69.1, 78.4]",,Ground Pass,,11.423659,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['2ae16284-4684-4030-9de5-3c1b5aa0507b'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.873,Pass,,2018/2019
,,,,,,,,,,,,,,,1.262228,,,,,,,,,,,,fe40b3c6-a4fa-4db9-8d5a-f4401a741ef5,35,,"[69.0, 78.4]",15956,0,,,,,-2.9664817,,Left Foot,,,,"[56.0, 76.1]",,Ground Pass,,13.201894,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['b34dd3d2-8af7-453b-a9b9-3b6ace0cf13a'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.734,Pass,,2018/2019
,,,,,,,,,,,,,,,0.86577,,,,,,,,,,,,e5b6380c-e8e0-419d-9059-70522a38faac,38,,"[54.6, 74.3]",15956,0,,,,,0.32175055,,Left Foot,,,,"[64.5, 77.6]",,Ground Pass,,10.435516,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['c92ae463-0937-4876-b6e4-b0e55c73bb7e'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.515,Pass,,2018/2019
,,,,,,,,,,,,,,,1.776526,,,,,,,,,,,,a633e51b-cb84-46f7-b00f-d1e1eff851ed,41,,"[60.8, 76.3]",15956,0,,,,,-2.0491488,,Left Foot,,,,"[46.8, 49.3]",,Ground Pass,,30.413813,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['c537031c-5048-46a1-9fe5-d3695819f9a5'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.363,Pass,,2018/2019
,,,,,,,,,,,,,,,0.985995,,,,,,,,,,,,7f772c1f-d732-4d5c-98a4-4d3ca5511d15,44,,"[50.9, 45.0]",15956,0,,,,,1.1489251,,Right Foot,,,,"[56.6, 57.7]",,Ground Pass,,13.920488,,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['819548e3-a6e5-461c-b50d-1d9cdb6c6b65'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.519,Pass,,2018/2019
