bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,feb531cc-4a61-497e-a628-761bbde7b8ed,1,,,266631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b8772a77-bea8-42d5-816d-42a676bf2314,2,,,266631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9211f4c3-6b1c-421e-8de9-acad70ff2fb9,3,,,266631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['2785ceec-a60f-4325-a553-4be0d94baf79'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2785ceec-a60f-4325-a553-4be0d94baf79,4,,,266631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['9211f4c3-6b1c-421e-8de9-acad70ff2fb9'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,73e1c155-8173-4cd4-b158-96d795f5642d,1954,,,266631,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Atlético Madrid,212,['bf13a074-3cde-4536-b3f7-48f5d6a7de9e'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bf13a074-3cde-4536-b3f7-48f5d6a7de9e,1955,,,266631,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Atlético Madrid,212,['73e1c155-8173-4cd4-b158-96d795f5642d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2014/2015
,,,,,,,,,,,,,,,,0.160989,,,,,,,,,,,38029749-519a-4d6f-89f9-05d684e1d8dc,5,,"[60.0, 40.0]",266631,0,,,,,1.4940244,,Right Foot,,,,"[60.2, 42.6]",,Ground Pass,,2.607681,,,,Fernando José Torres Sanz,6382.0,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Atlético Madrid,212,['e898600a-56e2-48be-a258-51f27976a7ab'],2,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.029,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.707464,,,,,,,,,,,b440c5c3-93a0-4b12-830f-2051bac3500f,8,,"[59.2, 42.2]",266631,0,,,,,-2.8976417,,Right Foot,,,,"[36.3, 36.5]",,Ground Pass,,23.598728,,,,Mario Suárez Mata,23488.0,,,,,1,From Kick Off,Fernando José Torres Sanz,6382.0,Right Center Forward,2,Atlético Madrid,212,['24b45c79-edff-49b6-b060-f382d4c7ffbe'],2,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.990,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.2829,,,,,,,,,,,c525c161-bfd6-4720-888c-2fb836e88e90,12,,"[36.5, 37.6]",266631,0,,,,,-0.25606367,,Right Foot,,,,"[87.3, 24.3]",,High Pass,,52.512188,,,,Jorge Resurrección Merodio,5199.0,,,,,1,From Kick Off,Mario Suárez Mata,23488.0,Left Defensive Midfield,2,Atlético Madrid,212,"['3533fad2-6615-4946-9797-523bac876e66', 'aa1eaec5-ce49-4724-b508-de7b95a96587']",5,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.780,Pass,True,2014/2015
,,,,,,,,,,,,,,,,3.0645,,,,,,,,,,,c824fc90-a0a3-4565-ba94-a6495e110ac3,14,,"[87.3, 24.3]",266631,0,,,,True,0.4837791,,,,,,"[105.0, 33.6]",,High Pass,,19.9945,,Incomplete,,,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Left Midfield,2,Atlético Madrid,212,"['8143891d-6ac7-4a16-8162-7a86f206530c', 'ecdad159-e4c9-485b-b104-6acd61966eda']",8,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:08.062,Pass,True,2014/2015
