50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.401409,,,,,,,,,,,,04ae6f2a-bc02-45a0-a128-5d403300aa02,3026,,"[17.8, 7.7]",16149,75,,,,0.43320018,,Left Foot,,,"[25.8, 11.4]",,High Pass,,8.814193,,,,Philippe Coutinho Correia,3501.0,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,141,Barcelona,217,"['3ac4b0ca-1935-4c9f-a93d-d00373b1c1d5', 'aa2f5b96-d58a-4b71-a0d0-35093e7cba4e']",24,,,,,,,,,,,,,,,,,Barcelona,217,00:30:24.435,Pass,True,2018/2019
,,,,,,,,,,,,,,,,,,3.248841,,,,,,,,,,,,65c04a23-1e56-4ac6-9010-905aff14df05,3028,,"[25.2, 12.0]",16149,75,,,,3.0334194,,Right Foot,,,"[3.1, 14.4]",,Ground Pass,,22.229935,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,2,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,141,Barcelona,217,['9ccaf5a0-bab0-4f8e-b90c-488e587d6686'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:30:25.836,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.35057,,,,,,,,,,,,103c5de6-ebf9-436e-a4f5-2de7f25ea13c,3030,,"[3.1, 14.4]",16149,75,,,,1.5707964,,Right Foot,,,"[3.1, 21.1]",,Ground Pass,,6.7,,,,Clément Lenglet,6826.0,,,,,,2,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,141,Barcelona,217,['1f242005-4134-431c-a052-4d283492925b'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:30:29.085,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.88095,,,,,,,,,,,,cd15159a-9076-485c-97fd-7ba5dd64d68b,3032,,"[3.1, 21.1]",16149,75,,,,0.42538878,,Left Foot,,,"[45.7, 40.4]",,High Pass,,46.768044,,Incomplete,,,,,,,,,2,Regular Play,Clément Lenglet,6826.0,Left Center Back,141,Barcelona,217,['1d70e00c-89c2-4f87-8aa3-14b8fefaf7a4'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:30:30.435,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,f83fb3b1-56fc-49db-9ee6-a55403e28386,3035,,"[73.7, 38.0]",16149,75,,,,-1.2072097,,Right Foot,,,"[85.8, 6.2]",,Ground Pass,,34.024258,,,,Valery Fernández Estrada,22129.0,,,,,,2,Regular Play,Juan Pedro Ramírez López,6572.0,Left Center Back,142,Girona,211,['5355f385-6857-4ecc-9ece-39b479ea46b4'],34,,,,,,,,,,,,,,,,,Girona,211,00:30:34.596,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.545685,,,,,,,,,,,,63e95b37-cdfd-4d15-be91-b344a22e7e01,3038,,"[88.8, 7.1]",16149,75,,,,0.58266646,,Right Foot,,,"[110.5, 21.4]",,Ground Pass,,25.988073,,,,Cristian Portugués Manzanera,6582.0,,,,,,2,Regular Play,Valery Fernández Estrada,22129.0,Left Back,142,Girona,211,['080a7d92-12cf-428d-b97b-9db41370e6d8'],37,,,,,,,,,,,,,,,,,Girona,211,00:30:37.737,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.412,,,,,,,,,,,,c76757aa-7c1c-4d98-bf31-d587a9eedc6c,3042,,"[108.3, 14.7]",16149,75,,,,-2.8023,,Right Foot,,,"[93.0, 9.3]",,Ground Pass,,16.224981,,,,Valery Fernández Estrada,22129.0,,,,,,2,Regular Play,Cristian Portugués Manzanera,6582.0,Right Center Forward,142,Girona,211,['7de67798-ab90-458f-b099-e46d0b565bef'],41,,,,,,,,,,,,,,,,,Girona,211,00:30:41.134,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.313306,,,,,,,,,,,,5f3652bd-87eb-4d23-81ff-f2eb940940e7,3045,,"[90.6, 11.9]",16149,75,,,,0.8725891,,Right Foot,True,,"[116.7, 43.0]",,High Pass,,40.60074,,Incomplete,,Cristhian Ricardo Stuani Curbelo,6351.0,,,,,,2,Regular Play,Valery Fernández Estrada,22129.0,Left Back,142,Girona,211,"['39186a0a-6e1f-45e1-8658-9f4c8e917f29', 'd299a47e-5fdd-472d-8350-e6d5b79b30bb']",43,,,,,,,,,,,,,,,,,Girona,211,00:30:43.539,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.063626,,,,,,,,,,,,d3eed8fc-526a-44af-a659-a46b23c98dfe,3049,,"[8.3, 41.6]",16149,75,,,,1.3787483,,Keeper Arm,,,"[11.8, 59.6]",,Ground Pass,,18.33712,,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,143,Barcelona,217,['37f52e77-73d4-4fcb-bb7d-2da620972a4a'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:30:55.104,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.415967,,,,,,,,,,,,ba3e25ab-2601-4f4e-9d4b-2a1d94ba4d90,3052,,"[11.8, 59.6]",16149,75,,,,1.2199278,,Right Foot,,,"[17.4, 74.9]",,Ground Pass,,16.292637,,,,Nélson Cabral Semedo,6374.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,143,Barcelona,217,['8d0e2b51-6fd0-4535-ba72-0ebcc3bb2ff1'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:30:57.018,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.214588,,,,,,,,,,,,094e3882-bf61-4db7-8faa-b2fa84b0d2d2,3055,,"[17.4, 74.9]",16149,76,,,,-0.51026106,,Right Foot,,,"[30.8, 67.4]",,Ground Pass,,15.356106,,,,Sergio Busquets i Burgos,5203.0,,,,,,2,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,143,Barcelona,217,['d367ab1d-b5e0-405d-968f-82aabd6258db'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:31:00.943,Pass,,2018/2019
