bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cb992c55-ed63-4211-aeee-9eda5a00bcc3,1,,,16231,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23f25cb1-2bfd-4021-9b5d-d27484142163,2,,,16231,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 22919, 'name': 'Lluís López Mármol'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 6769, 'name': 'Edinaldo Gomes Pereira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6790, 'name': 'Mario Hermoso Canseco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 8}, {'player': {'id': 22287, 'name': 'Adrià Giner Pedrosa'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6866, 'name': 'Marc Roca Junqué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6902, 'name': 'Óscar Melendo Jiménez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 11391, 'name': 'Borja Iglesias Quintas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f9fb7c7-04aa-4253-a9bf-be07bf20d392,3,,,16231,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e91ed786-7836-4d4a-9dfd-4140813c8e20'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e91ed786-7836-4d4a-9dfd-4140813c8e20,4,,,16231,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0f9fb7c7-04aa-4253-a9bf-be07bf20d392'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6628255d-de32-48f5-af9a-68b5c61ce70b,1912,,,16231,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['fedbe74c-402e-4894-aa4b-81f956c55d72'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fedbe74c-402e-4894-aa4b-81f956c55d72,1913,,,16231,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Barcelona,217,['6628255d-de32-48f5-af9a-68b5c61ce70b'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,1.119863,,,,,,,,,,,,,,7dd7fea2-3000-4651-83ed-8025306bbea0,5,,"[61.0, 41.0]",16231,0,,,,3.1415927,,Right Foot,,,"[50.0, 41.0]",,Ground Pass,,11.0,,,Víctor Sánchez Mata,6758.0,,,,,Kick Off,1,From Kick Off,Borja Iglesias Quintas,11391.0,Left Center Forward,2,Espanyol,214,['e4361a0c-24b7-4249-ad09-6ef88519ed74'],2,,,,,,,,,,,,,,,,Espanyol,214,00:00:02.411,Pass,,2018/2019
,,,,,,,,,,,,,,,1.8429,,,,,,,,,,,,,,360cba9c-9915-4635-8495-920a10023bb4,8,,"[51.0, 40.0]",16231,0,,,,-1.735945,,Left Foot,,,"[46.0, 10.0]",,Ground Pass,,30.413813,,,Adrià Giner Pedrosa,22287.0,,,,,,1,From Kick Off,Víctor Sánchez Mata,6758.0,Center Defensive Midfield,2,Espanyol,214,['25fdf3e7-97ad-4e45-b713-f5dbff0d1aea'],4,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.288,Pass,,2018/2019
,,,,,,,,,,,,,,,0.8954,,,,,,,,,,,,,,8edab3c4-01ab-4c49-a3a2-bc0ef3ec3b50,11,,"[46.0, 10.0]",16231,0,,,,2.0899425,,Left Foot,,,"[42.0, 17.0]",,Ground Pass,,8.062258,,,Mario Hermoso Canseco,6790.0,,,,,,1,From Kick Off,Adrià Giner Pedrosa,22287.0,Left Wing Back,2,Espanyol,214,['c01ff85c-bd39-4e39-ab68-27611b0af868'],7,,,,,,,,,,,,,,,,Espanyol,214,00:00:07.242,Pass,,2018/2019
,,,,,,,,,,,,,,,2.1565,,,,,,,,,,,,,,3baa879c-2a25-41fe-9a65-f557403ceece,14,,"[44.0, 21.0]",16231,0,,,,1.9693187,,Left Foot,,,"[28.0, 59.0]",,Ground Pass,,41.231056,,,Lluís López Mármol,22919.0,,,,,,1,From Kick Off,Mario Hermoso Canseco,6790.0,Left Center Back,2,Espanyol,214,['03572bf4-91a4-4c98-9251-58965e055367'],10,,,,,,,,,,,,,,,,Espanyol,214,00:00:10.270,Pass,,2018/2019
