50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a9ed7e90-fb96-4ded-8aa5-aa98d2b91638,495,,"[105.0, 19.6]",303479,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,23,Barcelona,217,,1,,,,,,,,,,,,,,,,,Barcelona,217,00:10:01.262,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f3192c01-7a7b-452a-88b6-108d5d863f49,604,,"[71.1, 77.5]",303479,11,,,True,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,25,Barcelona,217,,50,,,,,,,,,,,,,,,,,Barcelona,217,00:11:50.123,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1fa6e14c-afa2-4052-a686-1b68d0c2bc73,700,,"[72.4, 3.2]",303479,14,,True,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mikel Merino Zazón,3042.0,Left Defensive Midfield,35,Barcelona,217,,36,,,,,,,,,,,,,,,,,Real Sociedad,210,00:14:36.289,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7c34521c-bc56-41ff-a06a-b170abb958cf,869,,"[61.5, 76.7]",303479,19,,True,True,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Right Wing,44,Barcelona,217,,14,,,,,,,,,,,,,,,,,Barcelona,217,00:19:14.201,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f982e16d-4a43-4c1a-bb55-ff35576a5926,952,,"[68.0, 12.6]",303479,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ander Barrenetxea Muguruza,22321.0,Left Wing,48,Real Sociedad,210,,55,,,,,,,,,,,,,,,,,Real Sociedad,210,00:20:55.114,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26b7ea2a-e7d1-4337-86ca-c6652fcda69f,1121,,"[63.6, 34.8]",303479,23,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mikel Merino Zazón,3042.0,Left Defensive Midfield,54,Real Sociedad,210,['2aec17a0-36dc-4f9e-89cb-37ed888d2bc8'],52,,,,,,,,,,,,,,,,,Real Sociedad,210,00:23:52.856,Miscontrol,True,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,63820620-8864-446f-b42f-1aafd30045aa,1459,,"[105.2, 58.9]",303479,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,70,Barcelona,217,,2,,,,,,,,,,,,,,,,,Barcelona,217,00:32:02.116,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,45452b66-6f72-455d-b147-fc64c41cc50f,2035,,"[118.0, 6.6]",303479,44,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ander Barrenetxea Muguruza,22321.0,Left Wing,92,Real Sociedad,210,,23,,,,,,,,,,,,,,,,,Real Sociedad,210,00:44:23.639,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dec0ed09-1deb-4e01-9740-857b38523f97,2404,,"[103.9, 56.2]",303479,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Martin Ødegaard,8252.0,Center Attacking Midfield,101,Real Sociedad,210,,57,,,,,,,,,,,,,,,,,Real Sociedad,210,00:05:57.556,Miscontrol,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73a63654-3a66-4940-91d4-a08ac1abb7d0,2673,,"[112.4, 43.1]",303479,59,True,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Antoine Griezmann,5487.0,Right Wing,115,Barcelona,217,['323ef0a8-3aab-43a5-90f7-a9ab01966986'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:14:04.614,Miscontrol,True,2019/2020
