ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eae9e4da-8943-4eb9-a7bf-20a5ae54cca2,1,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa230b58-297b-499f-8ab8-3bd675665c3b,2,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 25598, 'name': 'Álvaro Fernández Llorente'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11677, 'name': 'Jorge Pulido Mayoral'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6603, 'name': 'Dimitrios Siovas'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 21399, 'name': 'Pablo Ínsua Blanco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6564, 'name': 'Pablo Maffeo Becerra'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 23322, 'name': 'Javier Galán Gil'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 23307, 'name': 'Idrissa Doumbia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 11670, 'name': 'David Ferreiro Quiroga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 24681, 'name': 'Daniel Escriche Romero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 23812, 'name': 'Rafael Mir Vicente'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Huesca,902,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4db81d3-a9cc-4c60-980a-ef75da2c18f4,3,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4e4342a8-ec54-465e-8785-3c961b1a250b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e4342a8-ec54-465e-8785-3c961b1a250b,4,,,3773369,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a4db81d3-a9cc-4c60-980a-ef75da2c18f4'],0,,,,,,,,,,,,,,,,,,Huesca,902,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30835da3-8396-41fc-a923-db612e73e759,2552,,,3773369,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,88,Huesca,902,['61dfece9-3005-47b1-adae-1d017d73473e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61dfece9-3005-47b1-adae-1d017d73473e,2553,,,3773369,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,88,Huesca,902,['30835da3-8396-41fc-a923-db612e73e759'],0,,,,,,,,,,,,,,,,,,Huesca,902,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.720672,,,,,,,,,,,,,e073be3a-11a6-40f9-a4dc-12a51a0525ce,5,,"[61.0, 40.1]",3773369,0,,,,,-2.2794225,,Left Foot,,"[59.2, 38.0]",,Ground Pass,,2.7658634,,,,,Ousmane Dembélé,5477.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['4508566c-275b-4e71-997a-ba261c9de76c'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.140,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.855618,,,,,,,,,,,,,d87bf01d-65e9-429f-897b-523811218c94,8,,"[58.3, 38.6]",3773369,0,,,,,2.3826435,,Left Foot,,"[48.6, 47.8]",,Ground Pass,,13.368994,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Center Forward,2,Barcelona,217,['6c7364d9-f294-4351-a582-e12cf41dd0db'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.940,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.450015,,,,,,,,,,,,,e68295ff-2c9d-4f8b-999b-2b4751233999,11,,"[48.0, 49.8]",3773369,0,,,,,1.3076552,,Right Foot,,"[54.6, 74.3]",,Ground Pass,,25.373411,,,,,Sergino Dest,21881.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['68473bb1-55fd-4af4-aebf-b74461728017'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.569,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.469523,,,,,,,,,,,,,72ba69d2-6932-41f9-84f2-385bbfc1329e,14,,"[55.5, 74.3]",3773369,0,,,,,-2.6376212,,Right Foot,,"[41.9, 66.8]",,Ground Pass,,15.530937,,,,,Óscar Mingueza García,43728.0,,,,,,,1,From Kick Off,Sergino Dest,21881.0,Right Wing Back,2,Barcelona,217,['38d043fa-722f-462e-b8a7-e5e5cc6e70a2'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.116,Pass,,2020/2021
