ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.649919,,,,,,,,,,,1b0a5664-0032-45bf-b432-f99ba9feac2e,18,,"[28.7, 22.8]",68339,0,,,,,1.8021348,,Right Foot,,,,"[23.4, 45.3]",,Ground Pass,,23.115795,,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['49ba4bbe-67b2-401b-b0b5-e7d9ab03a74e'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.337,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.074949,,,,,,,,,,,726f8c9b-2d9d-4ab3-8ce7-02915467d943,21,,"[46.6, 50.6]",68339,0,,,,,-1.6828787,,Right Foot,,,,"[44.0, 27.5]",,Ground Pass,,23.24586,,,,,Thiago Motta,4325.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['e9590af2-96d2-4951-a3a3-2c53645e0add'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.463,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.102051,,,,,,,,,,,75aa9b32-8a5c-4755-8057-e47132af640c,24,,"[45.5, 20.9]",68339,0,,,,,-0.056543436,,Left Foot,,,,"[61.4, 20.0]",,Ground Pass,,15.925451,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Barcelona,217,['35d6a98b-1208-4e38-b751-d319c139ef9d'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.828,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.249512,,,,,,,,,,,71e9ad53-5e62-4aae-9177-2be6d32ee9b6,27,,"[61.4, 20.0]",68339,0,,,,,-2.890265,,Right Foot,,,,"[46.6, 16.2]",,Ground Pass,,15.280052,,,,,Thiago Motta,4325.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['09002aad-9023-4bd8-a90e-13e57f004bc4'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.970,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.521578,,,,,,,,,,,21f0dff8-e90c-4a0c-9769-f1752ffb4482,30,,"[46.6, 16.2]",68339,0,,,,,-0.57734203,,Left Foot,,,,"[68.4, 2.0]",,Low Pass,,26.016918,,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Barcelona,217,['f27f705f-daee-44af-bd44-8a5f750a0e6e'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.231,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.989278,,,,,,,,,,,e97f20bc-230e-4852-8f16-941fb1eaa24e,32,,"[68.0, 2.3]",68339,0,,,,,3.0262532,,Left Foot,,,,"[51.6, 4.2]",,Ground Pass,,16.509695,,,,,Thiago Motta,4325.0,,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['1d43d3d2-b540-46a1-a61a-90e2e2ddd85a'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.753,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.959076,,,,,,,,,,,7bea939b-e99f-4f65-9e7d-ffc8d2d41b5b,35,,"[56.9, 17.3]",68339,0,,,,,1.8543549,,Left Foot,,,,"[47.4, 49.9]",,Ground Pass,,33.956,,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Barcelona,217,['6cc34dc7-f7dd-4029-9e9c-dd8f4b6cecee'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.908,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.41821,,,,,,,,,,,2d20e12b-3880-47d9-a70a-75ac3d3ef152,38,,"[47.0, 52.1]",68339,0,,,,,-0.6484372,,Right Foot,,,,"[101.9, 10.5]",,High Pass,,68.88084,,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,,True,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,"['554a6482-362a-4366-8f61-61267026cae4', '895dd5f7-342e-4d42-bffa-d1d474aa6cdb']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.794,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.4414,,,,,,,,,,,554a6482-362a-4366-8f61-61267026cae4,40,,"[19.1, 70.5]",68339,0,,,,,0.47808704,,Head,,,,"[30.1, 76.2]",,High Pass,,12.389108,,,,,Mario Gutiérrez Cotelo,26061.0,,,,,,Interception,1,From Kick Off,Rubén Martín Pulido,26062.0,Right Back,2,Barcelona,217,"['2d20e12b-3880-47d9-a70a-75ac3d3ef152', '8cb1ac2b-6229-44a0-85bf-990c522e314a']",36,,,,,,,,,,,,,,,,,Getafe,216,00:00:36.212,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.170049,,,,,,,,,,,831517c5-c20e-41c5-97fa-a6e3f805f78c,43,,"[35.4, 76.6]",68339,0,,,,,-0.45903936,,Right Foot,,,,"[52.8, 68.0]",,Low Pass,,19.409277,,,Incomplete,,,,,,,,,,1,From Kick Off,Mario Gutiérrez Cotelo,26061.0,Right Wing,2,Barcelona,217,['93ae13fc-acee-4c50-866a-6242bf2581b2'],37,,,,,,,,,,,,,,,,,Getafe,216,00:00:37.733,Pass,,2005/2006
