ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0c95230-0692-484e-af44-af73b2897712,1,,,,3773631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23522, 'name': 'Emerson Aparecido Leite de Souza Junior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11538, 'name': 'Alejandro Moreno Lopera'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 42282, 'name': 'Paul Edgar Akouokou'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6851, 'name': 'Aitor Ruibal García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 2948, 'name': 'Nabil Fekir'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6695, 'name': 'Juan Miguel Jiménez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 11391, 'name': 'Borja Iglesias Quintas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Betis,218,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3637e881-5297-496e-b1f4-9b5917d5c66f,2,,,,3773631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20340bcb-0dc2-4124-89a8-2b983a3db72a,3,,,,3773631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['641318a0-9193-40f0-9bde-ad8a6a66f162'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,641318a0-9193-40f0-9bde-ad8a6a66f162,4,,,,3773631,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['20340bcb-0dc2-4124-89a8-2b983a3db72a'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,586f3569-eb88-409e-9b78-ee9d4748da7a,2122,,,,3773631,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['ca610b5a-16b1-44b6-b62c-1048b5e8dd14'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca610b5a-16b1-44b6-b62c-1048b5e8dd14,2123,,,,3773631,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['586f3569-eb88-409e-9b78-ee9d4748da7a'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,1.137457,,,,,,,,,,,,,b1fce2b7-19f6-47df-ae5b-301298529811,5,,,"[60.0, 40.0]",3773631,0,,,,3.0451188,,Right Foot,,,,"[56.9, 40.3]",,Ground Pass,,3.1144824,,,,Nabil Fekir,2948.0,,,,,Kick Off,1,From Kick Off,Borja Iglesias Quintas,11391.0,Center Forward,2,Real Betis,218,['7d947ccd-ca7c-4851-a98b-717420a7ca24'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.992,Pass,,2020/2021
,,,,,,,,,,,,,1.100128,,,,,,,,,,,,,a78b383e-18e5-4c41-a145-d45dc3dad32f,7,,,"[56.7, 41.1]",3773631,0,,,,-2.8809903,,Right Foot,,,,"[43.2, 37.5]",,Ground Pass,,13.971757,,,,Paul Edgar Akouokou,42282.0,,,,,,1,From Kick Off,Nabil Fekir,2948.0,Center Attacking Midfield,2,Real Betis,218,['270747b2-5171-4c1e-814f-a0ee71d1220d'],2,,,,,,,,,,,,,,,,,Real Betis,218,00:00:02.130,Pass,,2020/2021
,,,,,,,,,,,,,1.746256,,,,,,,,,,,,,50a24aa4-eaed-4f8e-99ed-96bdd98bff5e,10,,,"[43.5, 37.6]",3773631,0,,,,-2.428648,,Right Foot,,,,"[30.2, 26.1]",,Ground Pass,,17.582378,,,,Víctor Ruíz Torre,6752.0,,,,,,1,From Kick Off,Paul Edgar Akouokou,42282.0,Right Defensive Midfield,2,Real Betis,218,['a12439c7-a156-4f3e-9f2c-8a35d900e45d'],4,,,,,,,,,,,,,,,,,Real Betis,218,00:00:04.345,Pass,,2020/2021
,,,,,,,,,,,,,1.486695,,,,,,,,,,,,,482f3e96-80c6-4f69-97a6-624c10386bb2,13,,,"[30.2, 25.3]",3773631,0,,,,1.6512673,,Left Foot,,,,"[28.7, 43.9]",,Ground Pass,,18.660385,,,,Aïssa Mandi,6648.0,,,,,,1,From Kick Off,Víctor Ruíz Torre,6752.0,Left Center Back,2,Real Betis,218,['3cc8fca5-1968-48b2-8faf-bc5dea2d0ee5'],7,,,,,,,,,,,,,,,,,Real Betis,218,00:00:07.271,Pass,,2020/2021
