50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d237b241-9dc4-4598-aae7-72f94410a487,1502,,"[44.0, 41.8]",68348,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Eduardo Nascimento Costa,26108.0,Right Defensive Midfield,105,Barcelona,217,,5,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:05.918,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,702c8b88-65ba-4e0b-9290-5497d94c0058,1557,,"[32.4, 33.6]",68348,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Eduardo Nascimento Costa,26108.0,Right Defensive Midfield,111,Barcelona,217,['14f0588a-7dec-4d23-981b-b7dc028d19a8'],31,,,,,,,,,,,,,,,,,,Espanyol,214,00:03:31.434,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ecd1b4d2-ac44-4ecb-a2e1-37a1a8421112,1761,,"[11.6, 32.5]",68348,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Daniel Jarque Gonzalez,26110.0,Left Center Back,120,Barcelona,217,['8da2fbc2-68f4-4641-b47f-47fc8d44b613'],51,,,,,,,,,,,,,,,,,,Espanyol,214,00:07:51.946,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e849d60-411b-4d80-a327-fcf312eed13b,1825,,"[84.5, 69.3]",68348,58,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Raúl Tamudo Montero,26109.0,Center Forward,126,Barcelona,217,,24,,,,,,,,,,,,,,,,,,Espanyol,214,00:13:24.556,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,733e4dc0-f4df-4501-8efb-bf04dd5a8bfb,1846,,"[11.7, 50.1]",68348,59,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,128,Espanyol,214,['8da447b0-0406-4b82-916d-80b883a5cbcf'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:14:28.446,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,427547be-92ef-4b60-8dd1-ecd79b590a87,1973,,"[36.8, 60.7]",68348,65,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raúl Tamudo Montero,26109.0,Center Forward,139,Barcelona,217,['08a2aab7-87f5-4cbe-8e90-53aa7082504b'],25,,,,,,,,,,,,,,,,,,Espanyol,214,00:20:25.315,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b21d328-e844-47c9-bf69-c5af1affdbed,2003,,"[18.1, 51.7]",68348,66,,,True,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raúl Tamudo Montero,26109.0,Center Forward,140,Barcelona,217,['bbef492c-8b86-4f4a-a725-b8e598d73ca2'],49,,,,,,,,,,,,,,,,,,Espanyol,214,00:21:49.096,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d351aabd-c794-4d65-8e45-2c68f6acd80d,2114,,"[77.4, 51.2]",68348,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,147,Espanyol,214,['cdfb28bc-30a9-44d6-9fbd-8c18b0ec1458'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:24:11.557,Block,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,71c69238-1121-41e0-b6c0-b46bd8aab177,2331,,"[90.7, 5.0]",68348,76,,,True,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,162,Espanyol,214,['66acf791-1dde-4722-8bbb-6fc36977c08f'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:03.095,Block,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0cbd9da-2b3a-45f0-8ada-9167e256351c,2337,,"[69.5, 23.5]",68348,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,163,Espanyol,214,,10,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:10.971,Block,,2005/2006
