50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aafec714-c5df-40c1-a929-db2676e44eef,1,,,69227,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6571, 'name': 'Roberto Jiménez Gago'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26655, 'name': 'Jirí Jarošík'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 26654, 'name': 'Matteo Contini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25922, 'name': 'Leonardo Daniel Ponzio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26217, 'name': 'Ángel Javier Arizmendi de Lucas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10798, 'name': 'Eliseu Pereira dos Santos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 26656, 'name': 'Humberto Andrés Suazo Pontivo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2df53a36-6c95-4364-a7d5-5c41882de2f6,2,,,69227,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,368be667-ca3e-4580-94fe-832165efdd0f,3,,,69227,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['1d913805-786c-461e-9abd-454348f52ef8'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d913805-786c-461e-9abd-454348f52ef8,4,,,69227,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['368be667-ca3e-4580-94fe-832165efdd0f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e24ba832-954b-4d53-bb4e-9af1b3bd83eb,1743,,,69227,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Real Zaragoza,395,['58bf9703-e1bb-4c7d-a28c-fb53c964fc9f'],0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,58bf9703-e1bb-4c7d-a28c-fb53c964fc9f,1744,,,69227,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Real Zaragoza,395,['e24ba832-954b-4d53-bb4e-9af1b3bd83eb'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,,,,,1.5414,,,,,,,,,,,,,,,9426c6c4-7546-4144-9707-18ed972fc124,5,,"[60.0, 40.0]",69227,0,,,,,1.056345,,Right Foot,,"[61.3, 42.3]",,Ground Pass,,2.641969,,,,Ander Herrera Agüera,3606.0,,,,,,Kick Off,1,From Kick Off,Humberto Andrés Suazo Pontivo,26656.0,Center Forward,2,Real Zaragoza,395,['c38d19e9-1b7d-4448-b4d5-1e57fe3d480d'],1,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.073,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.4711,,,,,,,,,,,,,,,b105ef71-b54d-4b38-acde-33b5ced5ccbf,8,,"[66.3, 38.3]",69227,0,,,,,-0.7906613,,Right Foot,,"[85.2, 19.2]",,Ground Pass,,26.87043,,Incomplete,,Eliseu Pereira dos Santos,10798.0,,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Defensive Midfield,2,Real Zaragoza,395,"['179376fc-351f-4de6-92ca-e04c0ea78d41', '387c307f-e73a-48bf-a02f-da0c8f5cf21f']",3,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:03.965,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.8488,,,,,,,,,,,,,,,875fa1d6-439f-4cf6-876c-6ae2b82d4167,13,,"[36.8, 60.0]",69227,0,,,,,-0.49934673,,Right Foot,,"[42.3, 57.0]",,Ground Pass,,6.264982,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['b7de8e99-bf30-4b0a-9f52-19de3ea1af76', 'eaa19ed1-efcc-4a83-9509-20cb9eddf377']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.862,Pass,True,2009/2010
,,,,,,,,,,,,,,,,2.3044,,,,,,,,,,,,,,,5e9390fb-7934-4d82-b252-1ce046fa28c2,18,,"[42.9, 57.0]",69227,0,,True,,,-2.6295497,,Right Foot,,"[29.2, 49.3]",,Ground Pass,,15.715597,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['9e5d759c-f314-40d1-a71d-e6055d163140'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.119,Pass,,2009/2010
