bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.974199,,,,,,,,,,,,77db9444-12e2-416c-92df-e386d97a142c,17,,"[47.4, 22.5]",9602,0,,,,,0.029991005,,Left Foot,,,,"[57.4, 22.8]",,Ground Pass,,10.004499,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['84705033-7707-4f6a-b368-411de3e944a8'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.182,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.339874,,,,,,,,,,,,c5273e59-59f0-4be6-9150-9134136cdf4d,21,,"[60.4, 19.3]",9602,0,,,,,-1.5535567,,Left Foot,,,,"[60.6, 7.7]",,Ground Pass,,11.601724,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['bda391cd-9926-461e-9562-2b9f817c589c'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.599,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.599436,,,,,,,,,,,,70972c5e-0b03-400e-b40e-428d2ae5463b,23,,"[60.4, 7.7]",9602,0,,,,,3.0716434,,Left Foot,,,,"[44.7, 8.8]",,Ground Pass,,15.738488,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['bab038ee-2cae-408f-8c33-193f277a0af3'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.939,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.947929,,,,,,,,,,,,a8fd83e0-7706-432c-8a51-72e0c1b3faad,26,,"[46.1, 11.0]",9602,0,,,,,1.1894367,,Left Foot,,,,"[54.2, 31.2]",,Ground Pass,,21.763502,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['74591994-7de7-4f9a-90b0-f88fecbef6d3'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.915,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.086699,,,,,,,,,,,,4ba3c625-3728-4c2e-8d8b-3ddf957ddd15,29,,"[55.8, 35.2]",9602,0,,,,,1.3936449,,Right Foot,,,,"[62.8, 74.3]",,Ground Pass,,39.721657,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['eb0f9785-14c5-483c-9bfa-78e8ba894434'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.356,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.776438,,,,,,,,,,,,d906a5eb-7b45-4f1f-b7df-78c06a3d858e,33,,"[66.0, 73.5]",9602,0,,,,,-2.7049656,,Right Foot,,,,"[55.5, 68.6]",,Ground Pass,,11.587062,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['0a64d047-8054-4bb9-bc4e-22c6ce66552b'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.211,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.593847,,,,,,,,,,,,d30b9ae4-ed4b-408d-bbbb-78bc1434b92d,36,,"[55.5, 68.1]",9602,0,,,,,-2.2930813,,Right Foot,,,,"[42.9, 53.8]",,Ground Pass,,19.059118,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['2cae4775-4638-4da0-9d25-3f86680ab4be'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.662,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.754087,,,,,,,,,,,,a35d31ae-b3be-4308-bc0b-9a6b778721c3,39,,"[57.7, 36.8]",9602,0,,,,,-1.6620455,,Right Foot,,,,"[56.3, 21.5]",,Ground Pass,,15.363918,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['48d1175c-1f0a-472c-842e-72d13d984f7c'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.894,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.108807,,,,,,,,,,,,877cbb7e-2e48-4a22-9cd6-d18077674de4,42,,"[55.8, 21.5]",9602,0,,,,,1.0204104,,Left Foot,,,,"[63.9, 34.7]",,Ground Pass,,15.487091,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['ff3341f0-24d8-48f3-bbc5-51c2f2e89416'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.427,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.495883,,,,,,,,,,,,a2430385-e213-4c34-ac42-a1fdad5f9afa,46,,"[64.1, 34.4]",9602,0,,,,,1.5852046,,Left Foot,,,,"[63.6, 69.1]",,Low Pass,,34.7036,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['08427dc3-15bd-4fa2-8a85-b2fd884fe0cd'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.935,Pass,,2017/2018
