50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,3.847959,,,,,,,,,,,e0b7d30d-83f5-4aee-8826-08b3651b84a9,17,,"[29.3, 60.9]",16131,0,,,,0.18544155,,Right Foot,,,,"[93.8, 73.0]",,High Pass,65.625145,Incomplete,,Sergio Enrich Ametller,6700.0,,,,,,1,From Kick Off,Anaitz Arbilla Zabala,6709.0,Right Center Back,2,Eibar,322,"['3d9e13b6-82e4-4e33-83ab-04a307803e94', '5d55c93d-b14f-4b42-beff-817ec9655d9c']",11,,,,,,,,,,,,,,,,,Eibar,322,00:00:11.720,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.734228,,,,,,,,,,,fa4817ec-1885-494f-844a-e1a6f31a5947,24,,"[24.1, 7.1]",16131,0,,,,1.0617255,,Left Foot,,,,"[28.9, 15.7]",,Ground Pass,9.848858,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['b611886a-fb2a-4cdd-8e73-e95ecb09ce22'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:00:18.067,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.068139,,,,,,,,,,,e6d2f6d4-fd65-4975-8ea1-c372a71485f6,28,,"[29.8, 15.9]",16131,0,,,,2.1311562,,Right Foot,,,,"[17.0, 36.3]",,Ground Pass,24.083189,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['273b6c77-849a-4e5a-b486-7737015d8fc5', 'f87dd8d4-ae9e-4484-881f-2330ae63df65']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.144,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.481596,,,,,,,,,,,8308c875-4d01-40da-ae9e-4a7e508ea54a,31,,"[19.4, 42.6]",16131,0,,,,1.4685897,,Right Foot,,,,"[22.2, 69.9]",,Ground Pass,27.443214,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['200916b4-5b90-4660-9373-9d4901407ee1'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.709,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.318913,,,,,,,,,,,c668109e-71a9-46d5-b34f-be14233be86e,34,,"[22.2, 69.9]",16131,0,,,,-1.1568707,,Right Foot,,,,"[29.8, 52.6]",,Ground Pass,18.895767,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['bde4b0ab-c282-4b9d-9bd0-95f995821f46'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.627,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.382263,,,,,,,,,,,36b85e62-af80-4fe9-afbd-3c920d05425d,37,,"[28.2, 51.0]",16131,0,,,,-0.4464819,,Right Foot,,,,"[37.6, 46.5]",,Ground Pass,10.421612,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['d1780530-f214-4a37-b73e-5dad505d7bab'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.515,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.528102,,,,,,,,,,,dc5b9d60-4c6d-4202-aa2b-2dc5ad158fbe,41,,"[31.9, 48.7]",16131,0,,,,-3.0118902,,Right Foot,,,,"[13.5, 46.3]",,Ground Pass,18.555862,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,3,Barcelona,217,"['95bd9968-dd07-421a-ad2d-b585edcaab42', 'bad0a212-bb95-4617-9408-f48f58d48af9']",33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.154,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.323792,,,,,,,,,,,fe682948-4688-4409-aa89-5c9810ee444f,44,,"[13.5, 46.3]",16131,0,,,,-1.0020102,,Right Foot,,,,"[37.6, 8.6]",,High Pass,44.74483,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['3d8f730b-be47-4f5b-be50-1326dd6498f2', 'c446cc26-d53f-442c-81a6-968e76255024']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.048,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.230627,,,,,,,,,,,c446cc26-d53f-442c-81a6-968e76255024,46,,"[82.5, 71.5]",16131,0,,,,-0.53872746,,Head,,,,"[91.2, 66.3]",,Low Pass,10.135581,,,Joan Jordán Moreno,6701.0,,,,,Interception,1,Regular Play,Rubén Peña Jiménez,6710.0,Right Back,3,Barcelona,217,"['001370e8-aca6-4e5c-b9f9-0f8324e08a93', 'fe682948-4688-4409-aa89-5c9810ee444f']",38,,,,,,,,,,,,,,,,,Eibar,322,00:00:38.372,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.185155,,,,,,,,,,,845dab5d-8d1a-4357-9c37-84dcf19aec86,50,,"[90.3, 70.4]",16131,0,,,,0.50607497,,Right Foot,,,,"[98.6, 75.0]",,Ground Pass,9.489468,Incomplete,,Rubén Peña Jiménez,6710.0,,,,,,1,Regular Play,Joan Jordán Moreno,6701.0,Center Attacking Midfield,3,Barcelona,217,"['02c1debd-6e70-4da8-851b-69d5c1818a35', '2222cf81-50b0-4290-8afb-2c0afea203d3', '83209858-f52f-44e4-8b96-b376245108cc']",40,,,,,,,,,,,,,,,,,Eibar,322,00:00:40.894,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.722261,,,,,,,,,,,9c2f4889-6377-41f1-b6ca-ec86ab400d08,54,,"[26.3, 1.9]",16131,0,,,,1.318841,,Left Foot,,,,"[28.9, 12.0]",,Ground Pass,10.429286,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['a1d440b9-5357-4f5b-bdd8-24b15b75a9e5'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.067,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.726629,,,,,,,,,,,710c7603-bac4-4221-8649-0d6f5060ea41,58,,"[29.8, 12.5]",16131,0,,,,1.1693252,,Right Foot,,,,"[34.3, 23.1]",,Ground Pass,11.515641,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['146a3206-2b9a-44a9-a75f-495e83996764', 'd849b645-1fb2-489c-ac10-64a3bd818d53']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.087,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.3691,,,,,,,,,,,34ac6d2f-cf0f-432c-9166-1ef629406351,60,,"[34.3, 23.1]",16131,0,,,,-2.961739,,Right Foot,,,,"[22.2, 20.9]",,Ground Pass,12.298374,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,3,Barcelona,217,['dcd84468-b73d-4ed8-b2d1-c680a7e74c29'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.814,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.488723,,,,,,,,,,,e29ca201-6422-4e3c-b4d0-dafcd4d9dcab,63,,"[22.6, 22.0]",16131,0,,,,1.1814796,,Left Foot,,,,"[35.4, 53.2]",,Ground Pass,33.723583,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['ce4733f6-dbdd-4368-ae2f-367e82af51bb'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.114,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.805332,,,,,,,,,,,7efc9d36-b82c-454e-b01d-d807bebabdfe,66,,"[43.2, 57.5]",16131,0,,,,-1.3162464,,Right Foot,,,,"[56.6, 6.0]",,High Pass,53.214752,,,Jordi Alba Ramos,5211.0,,True,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,['e58823d2-0dd2-443e-9413-bc48c01bc143'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.838,Pass,,2018/2019
