ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.321663,,,,,,,,,,,,,,db407474-7bfb-44fd-b4e5-ae7360a1ac1b,16,,,"[44.7, 27.9]",69154,0,,,,,-1.6188363,,Right Foot,,,,"[43.7, 7.1]",,Ground Pass,,20.824024,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['123fdaf1-465f-4d91-bb0a-8b891ad152c4'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.114,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.404997,,,,,,,,,,,,,,3233febe-3a89-4b6c-a8b3-58de3794183d,19,,,"[43.7, 7.1]",69154,0,,,,,-0.098494485,,Left Foot,,,,"[69.0, 4.6]",,Ground Pass,,25.423218,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Left Back,2,Barcelona,217,['9cc3c678-8109-473d-8a9e-623c613a76fd'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.671,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.8079,,,,,,,,,,,,,,f7c02730-cc69-42c0-bead-3e11e6780943,24,,,"[55.9, 67.9]",69154,0,,,,,0.7853982,,Left Foot,,,,"[62.8, 74.8]",,Ground Pass,,9.758074,,,,Javier Ángel Balboa Osa,26419.0,,,,,Recovery,1,Regular Play,Lionel Sebastián Scaloni,26417.0,Right Midfield,3,Racing Santander,1217,['6d67b5ca-bea0-4243-800f-23f25aa32847'],19,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:19.144,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7131,,,,,,,,,,,,,,51610a25-7485-4a26-bff9-7b06c3de3d28,30,,,"[75.2, 76.9]",69154,0,,,,,-2.295338,,Right Foot,,,,"[62.1, 62.1]",,Ground Pass,,19.764868,,,,Rubén González Rocha,26068.0,,,,,Free Kick,1,From Free Kick,Pablo Pinillos Caro,25889.0,Right Back,4,Racing Santander,1217,['e0044fea-cedc-43fc-8bf3-fef18fb1eebc'],33,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:33.939,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.201,,,,,,,,,,,,,,e9c529c9-13bc-41b2-9dc7-49ed17b35241,33,,,"[64.4, 58.7]",69154,0,,,,,-0.7999744,,Right Foot,,,,"[98.2, 23.9]",,High Pass,,48.51268,,,,Juan José Expósito Ruíz,26066.0,,,,,,1,From Free Kick,Rubén González Rocha,26068.0,Right Center Back,4,Racing Santander,1217,['d8216f62-7cb7-4218-bec4-7661828dcce6'],37,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:37.519,Pass,,2006/2007
,,,,,,,,,,,,,,,,0.8547,,,,,,,,,,,,,,09ba5bee-e4f9-44ad-82aa-607516045986,35,,,"[98.2, 23.9]",69154,0,,,,,2.6144466,,Head,,,,"[91.5, 27.8]",,Low Pass,,7.752419,,,Unknown,Gonzalo Colsa Albendea,26073.0,,,,,,1,From Free Kick,Juan José Expósito Ruíz,26066.0,Left Center Forward,4,Racing Santander,1217,['ee46cb3c-43e1-426c-b883-7b1862ddff05'],39,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:39.855,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.603155,,,,,,,,,,,,,,939f4618-4d4b-4d58-b849-1479b8823a00,39,,,"[29.7, 58.0]",69154,0,,,,,-1.4590684,,Right Foot,,,,"[32.0, 37.5]",,Ground Pass,,20.62862,,,,Carles Puyol i Saforcada,20125.0,,,,,Free Kick,1,From Free Kick,José Edmílson Gomes de Moraes,25910.0,Left Center Back,5,Barcelona,217,['7995c141-9d62-4444-81e4-5cb58c5f5397'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.151,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.276886,,,,,,,,,,,,,,22c66cda-5735-4d47-a307-f35e46d6eef2,42,,,"[43.0, 34.3]",69154,0,,,,,-1.3574277,,Right Foot,,,,"[45.6, 22.3]",,Ground Pass,,12.278437,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['0deeff93-0e26-4681-b859-840f6ac28827'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.717,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.845341,,,,,,,,,,,,,,12754664-53bf-4760-9a64-c4f0fe2787c7,46,,,"[44.4, 26.7]",69154,0,,,,,1.3463595,,Right Foot,,,,"[55.7, 76.2]",,High Pass,,50.77342,,,,Juliano Haus Belletti,25863.0,,True,,,,1,From Free Kick,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,"['3fd2642a-7faa-40d2-8fff-a924055f1917', '7615697a-1a31-42ae-ab82-3b7f8ba968af']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.464,Pass,True,2006/2007
,,,,,,,,,,,,,,,,1.391843,,,,,,,,,,,,,,b8878ece-7bd1-47f5-953f-8b8488a94da0,49,,,"[56.2, 76.4]",69154,1,,,,,-2.938934,,Right Foot,,,,"[41.6, 73.4]",,Ground Pass,,14.905033,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Free Kick,Juliano Haus Belletti,25863.0,Right Back,5,Barcelona,217,['0d071500-8f99-4aff-9372-32d4a7b96cdb'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.368,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.911007,,,,,,,,,,,,,,9b151b96-74ba-4a62-b1d3-3836b991fae8,53,,,"[44.4, 74.1]",69154,1,,,,,-0.8501723,,Right Foot,,,True,"[79.0, 34.7]",,Low Pass,,52.435867,,,,Javier Pedro Saviola Fernández,25962.0,,,,,,1,From Free Kick,José Edmílson Gomes de Moraes,25910.0,Left Center Back,5,Barcelona,217,"['05de8ad7-42fb-45b6-992a-fbd511ee34b0', '8d13c8f9-51f2-4de9-a396-9f89ddcbf42b']",5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.283,Pass,True,2006/2007
