50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.542421,,,,,,,,,,,,,,b76f3fe0-10a2-43bc-b3b5-4afc2f09a87e,17,,"[15.7, 34.5]",9880,0,,,,1.5855012,,Right Foot,,,,"[15.3, 61.7]",,Ground Pass,,27.202942,,,,,Ezequiel Marcelo Garay,6891.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Valencia,207,['467d2a78-f80c-4943-a9bf-116961972e3e'],12,,,,,,,,,,,,,,,,,,Valencia,207,00:00:12.518,Pass,,2017/2018
,,,,,,,,,,,,,,,,4.065848,,,,,,,,,,,,,,72a81744-f231-4405-941d-476ecb40f396,20,,"[17.4, 72.4]",9880,0,,,,-0.22722904,,Right Foot,,,,"[85.3, 56.7]",,High Pass,,69.69146,,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,,1,From Kick Off,Ezequiel Marcelo Garay,6891.0,Right Center Back,2,Valencia,207,"['023826bd-5613-4f5a-82a4-926ebea2106d', '6b9bb5b3-9cb4-4afa-9aa1-a9e1a506ded4']",16,,,,,,,,,,,,,,,,,,Valencia,207,00:00:16.225,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.221624,,,,,,,,,,,,,,023826bd-5613-4f5a-82a4-926ebea2106d,23,,"[34.8, 23.4]",9880,0,,,True,-1.0714496,,,,,,"[36.6, 20.1]",,Low Pass,,3.7589893,,,,,Samuel Yves Umtiti,5492.0,,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['0049b4d5-910d-4bfe-8ee9-97de93ae8b83', '72a81744-f231-4405-941d-476ecb40f396', 'd237f7b1-3183-4c39-915d-c22376297740']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.290,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.394417,,,,,,,,,,,,,,cf5b2fe1-08f5-4972-851d-a6e85c9fc1e3,25,,"[36.6, 20.1]",9880,0,,,,2.5817282,,Left Foot,,,,"[8.2, 37.9]",,Low Pass,,33.51716,,,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['9b69e5bf-bf1d-4e55-8a34-26c3dbfc0922'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.512,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.847192,,,,,,,,,,,,,,6c97edc5-e3e6-4e1e-bd7d-3df58e6d93a9,28,,"[9.6, 38.9]",9880,0,,,,-1.5551726,,Right Foot,,,,"[10.0, 13.3]",,Ground Pass,,25.603125,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,3,Barcelona,217,['f89d2324-f8b1-40ba-aebd-d30220136883'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.404,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.712604,,,,,,,,,,,,,,697e3b43-9edc-42e7-b917-9e82696d7c57,32,,"[10.7, 9.6]",9880,0,,,,-0.88187194,,Left Foot,,,,"[16.3, 2.8]",,Ground Pass,,8.809086,,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['1ee7fd56-46e6-444c-8e14-53a9f3af3b7d', 'e7dafc9e-c411-4c86-b7f4-27c96b7df0cb']",32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.032,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.179829,,,,,,,,,,,,,,3771e62e-81c3-42d9-861a-5c7e5572993f,36,,"[3.8, 2.8]",9880,0,,,,0.14189705,,Left Foot,,,,"[5.9, 3.1]",,Ground Pass,,2.1213202,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['723dc3cd-0ae9-41fd-baa0-a520b93ebe9e', '8f9570cc-795c-4303-8b91-be78ca96ab7f', 'edfeb177-002d-4f3c-915c-b0ff0f36b300']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.486,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.961715,,,,,,,,,,,,,,9caf9efe-0af5-49fe-bf0b-80086f875815,40,,"[2.5, 6.9]",9880,0,,,,-0.31705576,,Left Foot,,,,"[15.3, 2.7]",,Ground Pass,,13.471452,,,,,Andrés Iniesta Luján,5216.0,,,,,,Recovery,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,"['4d4b467f-be9b-4d4e-97cc-585f28cbd5e1', 'b46f9ad1-5034-4e5a-a49d-d4c3421ba5f0']",37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.752,Pass,True,2017/2018
,,,,,,,,,,,,,,,,2.611829,,,,,,,,,,,,,,e8f077a0-b8c8-4f28-a1b1-01fba8052cec,46,,"[14.9, 4.1]",9880,1,,,,0.096992,,Left Foot,,,,"[51.9, 7.7]",,High Pass,,37.17472,,,Unknown,,Luis Alberto Suárez Díaz,5246.0,,,,,,Free Kick,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,4,Barcelona,217,['ae88807a-bce8-466e-b872-e56f18b53b2d'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.487,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.461379,,,,,,,,,,,,,,ea6ae1d3-5f31-4c9e-8089-8e933eb7bb0b,50,,"[50.5, 7.7]",9880,1,True,,,2.2467434,,Left Foot,,,,"[42.4, 17.8]",,Ground Pass,,12.946815,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Free Kick,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,['625fe4f3-564c-4179-82f0-0e6ed9fa24ae'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.801,Pass,,2017/2018
