bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a57472ff-3b0d-4bee-a6a0-7a5069302d22,1,,,16010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5e52a608-d702-4960-9cd1-7cedd9405c77,2,,,16010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6877, 'name': 'Yeray Álvarez López'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,21c05a4a-3400-4fcf-af02-e8d77b6d1fc3,3,,,16010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ddf9479a-db08-472b-b870-4afd50729c81'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ddf9479a-db08-472b-b870-4afd50729c81,4,,,16010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['21c05a4a-3400-4fcf-af02-e8d77b6d1fc3'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d20087f1-a844-4175-b374-ea9319807a4b,1830,,,16010,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Barcelona,217,['d5689e37-09d1-4250-9216-17b81e4b7aee'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d5689e37-09d1-4250-9216-17b81e4b7aee,1831,,,16010,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Barcelona,217,['d20087f1-a844-4175-b374-ea9319807a4b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2018/2019
,,,,,,,,,,,,,,,,0.760069,,,,,,,,,,,6eed84e7-099e-406e-bd99-4adaad546715,5,,"[61.0, 40.1]",16010,0,,True,,,2.988391,,Right Foot,,,,"[47.4, 42.2]",,Ground Pass,,13.761177,,,,,Daniel García Carrillo,6775.0,,,,,Kick Off,1,From Kick Off,Iñaki Williams Arthuer,6393.0,Left Center Forward,2,Athletic Club,215,['317890d7-4199-41d9-9b3e-aa4810f639f5'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.422,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.155344,,,,,,,,,,,9e553a9e-2426-4738-a0b9-b5f39dec0089,7,,"[47.8, 40.8]",16010,0,,,,,-2.2630072,,Right Foot,,,,"[38.1, 29.1]",,Ground Pass,,15.198027,,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Daniel García Carrillo,6775.0,Right Defensive Midfield,2,Athletic Club,215,['293a3231-0c03-48c3-890a-afd55832df95'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.798,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.192612,,,,,,,,,,,03564d1c-4b25-4c4e-a9f5-c69fa65d629d,10,,"[39.0, 16.5]",16010,0,,,,,-0.90908784,,Left Foot,,,,"[47.1, 6.1]",,Ground Pass,,13.182185,,,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Athletic Club,215,['d0efd6f1-1f57-4e3d-95ce-1bad81a9343b'],3,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.971,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.043554,,,,,,,,,,,9f0157a5-2ed1-443d-9502-c228fe4b6bc5,13,,"[44.8, 5.0]",16010,0,,,,,2.4721766,,Left Foot,,,,"[33.3, 14.1]",,Ground Pass,,14.664924,,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Mikel Balenziaga Oruesagasti,6789.0,Left Back,2,Athletic Club,215,['0115ba5b-dbb2-4a26-98b9-b48cf09430e5'],5,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.411,Pass,,2018/2019
