ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.5777,,,,,,,,,,,,,,,,729f1484-8b3b-4a49-860a-e6632443d299,17,,"[41.9, 60.9]",68324,0,,,,0.8106029,,Left Foot,,"[53.5, 73.1]",Ground Pass,,16.834488,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['71d61bda-af35-48e4-aa0d-f2a5cbc9b330'],9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.658,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.9816,,,,,,,,,,,,,,,,7a90318c-2adf-4aa6-8eda-786262c9fe91,21,,"[53.0, 73.7]",68324,0,,,,-1.7607846,,Right Foot,,"[51.0, 63.3]",Ground Pass,,10.590562,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Back,2,Barcelona,217,"['21c37b33-a1fe-4c5d-ae2e-2738d1b4fa63', '22b9a5ff-0b95-4a0d-9707-3d8f75d7467c']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.353,Pass,True,2005/2006
,,,,,,,,,,,,,,,,,3.0241,,,,,,,,,,,,,,,,50280681-99dc-4f51-9b11-d4a17c43d124,23,,"[51.0, 63.3]",68324,0,,,,0.13236597,,Right Foot,,"[86.3, 68.0]",Ground Pass,,35.611515,,,,Henrik Larsson,15743.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['492e9314-c9da-4468-80a0-f24d8c4d1cd0'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.334,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.3968,,,,,,,,,,,,,,,,dacdb9e3-007f-47d7-8386-b39c80d51583,25,,"[86.3, 68.0]",68324,0,,,,-1.152572,,Right Foot,,"[87.5, 65.3]",Ground Pass,,2.9546573,,Incomplete,,,,,,,,,1,From Kick Off,Henrik Larsson,15743.0,Center Forward,2,Barcelona,217,['63b3c165-89c0-498c-9c46-add37cbe05ef'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.358,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.8161,,,,,,,,,,,,,,,,b1dfd1fe-62e6-42bc-ba64-4f93cac0380f,27,,"[34.4, 18.2]",68324,0,,,,-1.5707964,,Left Foot,,"[34.4, 15.7]",Ground Pass,,2.5,,,,Josu Sarriegi Zumárraga,25983.0,,,,,Recovery,1,Regular Play,David Coromina Pararols,25985.0,Left Back,3,Deportivo Alavés,206,['0451e9c9-2a71-43b6-920e-b9d31843bc2a'],18,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:18.835,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.04164,,,,,,,,,,,,,,,,4b9fa3e5-521e-4cab-bb0e-1f2b67d1d579,30,,"[40.4, 17.1]",68324,0,,,,-1.0077885,,Right Foot,,"[48.1, 4.9]",Ground Pass,,14.426711,,,,Anderson Luis de Carvalho,25764.0,,,,,,1,Regular Play,Josu Sarriegi Zumárraga,25983.0,Right Center Back,3,Deportivo Alavés,206,['29b1d0f8-b791-4e14-825f-6ee82caa2e1a'],22,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:22.149,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.351653,,,,,,,,,,,,,,,,8fe41789-4418-4433-abb6-1e1288d768b3,36,,"[60.0, 1.0]",68324,0,,,,0.78876513,,,,"[74.8, 15.9]",Low Pass,,21.00119,,,,John Aloisi,25856.0,,,,,Throw-in,1,From Throw In,David Coromina Pararols,25985.0,Left Back,4,Deportivo Alavés,206,['a8a5b442-2248-4b80-8e50-49b56f1f6f6e'],38,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:38.143,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.1477,,,,,,,,,,,,,,,,14432a3d-d9cf-4016-8696-086e412a527f,43,,"[44.7, 62.3]",68324,0,,,,0.7614028,,Right Foot,,"[57.5, 74.5]",Ground Pass,,17.68276,,,,Ludovic Giuly,25878.0,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,5,Barcelona,217,['2e92dff0-ddcf-43bc-9ff9-a5345ef0e4ab'],42,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.166,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.0059,,,,,,,,,,,,,,,,9ec44afe-439a-483b-ae08-4939fccffb96,46,,"[82.0, 70.3]",68324,0,,,,-1.0854719,,Right Foot,,"[89.7, 55.7]",Ground Pass,,16.50606,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,Ludovic Giuly,25878.0,Right Wing,5,Barcelona,217,['7286e294-c6a7-4ae1-8e53-9ae848d5bae3'],47,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.145,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.1554,,,,,,,,,,,,,,,,e708f07e-5a76-484a-8a0a-ef27e850f4c6,50,,"[90.9, 55.8]",68324,0,,,,-1.1434964,,Right Foot,,"[96.0, 44.6]",Ground Pass,,12.306502,,Incomplete,,Henrik Larsson,15743.0,,,,,,1,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,"['33cde956-6311-44df-8a96-81d04e2edd37', '362cb921-8ef3-43a9-9e40-911880e11c4c', 'dc94182e-320a-4b69-9321-f86b015b208b']",49,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.228,Pass,True,2005/2006
