bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.889279,,,,,,,,,,,65ca1c37-d0eb-4f49-8aba-36c1734c43c2,2732,,"[83.1, 13.0]",303674,60,,,,,1.2984352,,Right Foot,,,,"[94.3, 53.1]",High Pass,,41.63472,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,True,,,,2,Regular Play,Lucas Ariel Ocampos,4345.0,Right Wing,130,Sevilla,213,['168827bd-e6f5-4ae0-9a18-00f4fca49fcf'],6,,,,,,,,,,,,,,,,Sevilla,213,00:15:06.565,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.060648,,,,,,,,,,,fe4caf57-658f-4a28-8b3b-6d345e5f35e2,2735,,"[106.4, 53.1]",303674,60,,,,,-1.2315037,,Left Foot,,,,"[111.2, 39.5]",High Pass,,14.422205,,Incomplete,,,,,,,,,2,Regular Play,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Left Wing,130,Sevilla,213,['f47bee10-2ce7-4b17-808e-816db5db6c15'],11,,,,,,,,,,,,,,,,Sevilla,213,00:15:11.072,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.486342,,,,,,,,,,,aab35c86-56e3-461b-a439-3100ba1ca1de,2739,,"[84.7, 53.8]",303674,60,,,,,1.9841267,,Left Foot,,,,"[79.7, 65.2]",Ground Pass,,12.448293,,,,Jesús Navas González,6821.0,,,,,Recovery,2,Regular Play,Joan Jordán Moreno,6701.0,Right Center Midfield,130,Sevilla,213,['1f0bb299-35ee-4bc0-a22c-e3de69dcb8f0'],16,,,,,,,,,,,,,,,,Sevilla,213,00:15:16.557,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.011456,,,,,,,,,,,2fa736fb-4920-46ac-9a31-69f088c0ecd7,2742,,"[97.0, 57.0]",303674,60,,,,,-1.4726057,7ea97e3e-c07f-4dff-a223-74e7e838ea18,Right Foot,,,,"[100.3, 23.5]",High Pass,,33.662144,,,,Lucas Ariel Ocampos,4345.0,True,,,,,2,Regular Play,Jesús Navas González,6821.0,Right Back,130,Sevilla,213,['65a2b1a4-93ec-4801-83d0-b6fab182058a'],21,,,,,,,,,,,,,,,,Sevilla,213,00:15:21.409,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.515495,,,,,,,,,,,47a1f2cb-0aaf-4515-a7e5-26d202338d12,2748,,"[7.0, 44.1]",303674,60,,,,,-1.731559,,Right Foot,,,,"[6.4, 40.4]",Ground Pass,,3.748333,,,,Marc-André ter Stegen,20055.0,,,,,Goal Kick,2,From Goal Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,131,Barcelona,217,['24bcd601-f32b-461f-87a9-ab10a96ac0aa'],58,,,,,,,,,,,,,,,,Barcelona,217,00:15:58.798,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.59112,,,,,,,,,,,27a7a03f-21fa-4913-bad5-f2bb57747f3d,2751,,"[21.4, 43.6]",303674,61,,,,,0.07677189,,Right Foot,,,,"[77.3, 47.9]",High Pass,,56.06514,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,2,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,131,Barcelona,217,['cd752827-c4db-4278-9cf4-0f32712e1bcf'],11,,,,,,,,,,,,,,,,Barcelona,217,00:16:11.263,Pass,,2019/2020
,,,,,,,,,,,,,,,,,4.251864,,,,,,,,,,,eb215885-e77e-46b5-a6de-9b2f8b7570bd,2755,,"[43.1, 23.7]",303674,61,,,,,0.3331137,,Right Foot,,,,"[95.7, 41.9]",High Pass,,55.65968,,Incomplete,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,Recovery,2,From Goal Kick,Diego Carlos Santos Silva,3366.0,Left Center Back,131,Barcelona,217,"['b0bcf788-2b2f-4798-8ece-ed746ffeea61', 'd4aa7a5f-57ab-457b-8cb5-eab571d230d3']",15,,,,,,,,,,,,,,,,Sevilla,213,00:16:15.330,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.572706,,,,,,,,,,,d4aa7a5f-57ab-457b-8cb5-eab571d230d3,2757,,"[24.4, 38.2]",303674,61,,,,,-0.28958344,,Head,,,,"[48.9, 30.9]",High Pass,,25.564428,,,,Ivan Rakitić,5470.0,,,,,Recovery,2,From Goal Kick,Clément Lenglet,6826.0,Left Center Back,131,Barcelona,217,"['d2a2abc5-3200-4eac-a0c2-7ae1f6c0f4b4', 'eb215885-e77e-46b5-a6de-9b2f8b7570bd']",19,,,,,,,,,,,,,,,,Barcelona,217,00:16:19.581,Pass,,2019/2020
,,,,,,,,,,,,,,,,,2.213809,,,,,,,,,,,29559363-54ba-4f2c-b993-4c7d4fa157b0,2759,,"[48.1, 32.4]",303674,61,,,,,2.8824906,,Head,,,,"[39.8, 34.6]",High Pass,,8.586617,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,2,From Goal Kick,Ivan Rakitić,5470.0,Left Center Midfield,131,Barcelona,217,"['4285ca8b-0f3e-4ae3-8dc5-b2438377a5e7', 'be32d778-c4e7-4dbb-9f34-845d8f7d27a9']",22,,,,,,,,,,,,,,,,Barcelona,217,00:16:22.194,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.086846,,,,,,,,,,,62186334-f212-42fa-b55f-0c320305f452,2764,,"[79.2, 51.6]",303674,61,,,,,1.6471503,,Right Foot,,,,"[77.8, 69.9]",Ground Pass,,18.353474,,,,Jesús Navas González,6821.0,,,,,,2,Regular Play,Luuk de Jong,20033.0,Center Forward,132,Sevilla,213,"['5a0625a1-2ffb-442e-bb29-ed8c1a1ffd2c', 'cc7f21b9-d54d-47ac-8378-70a33ffbe557']",25,,,,,,,,,,,,,,,,Sevilla,213,00:16:25.175,Pass,True,2019/2020
