50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fcfe6c78-84b6-4463-9f2b-460e7b06f2f7,1,,,69314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aafa6afb-7a2b-46da-8431-66a9094252ad,2,,,69314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26737, 'name': 'Pablo Cendrós López'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26653, 'name': 'José Manuel Flores Moreno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 26675, 'name': 'João Victor de Albuquerque Bruno'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 24053, 'name': 'Álvaro Giménez Candela'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Mallorca,1043,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2d82efa5-a06e-4720-9e16-5362a245c12b,3,,,69314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e785faee-69c6-4e09-855c-2aa62befe86d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e785faee-69c6-4e09-855c-2aa62befe86d,4,,,69314,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2d82efa5-a06e-4720-9e16-5362a245c12b'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,943a00eb-79fe-4a5b-8b54-c7f7058c7ff9,1924,,,69314,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Mallorca,1043,['81143047-5694-475d-bd20-11548eeeef98'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,81143047-5694-475d-bd20-11548eeeef98,1925,,,69314,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,86,Mallorca,1043,['943a00eb-79fe-4a5b-8b54-c7f7058c7ff9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,,,0.4821,,,,,,,,,,,,,,636730ab-a23e-4c9b-832e-f06c0641cb63,5,,"[60.0, 40.0]",69314,0,,True,,,1.7798193,,Right Foot,,,,"[59.3, 43.3]",,Ground Pass,,3.3734255,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Barcelona,217,['03c532a0-ed78-4e90-97b3-90fa9cc5d6aa'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.409,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.169142,,,,,,,,,,,,,,5a993f55-083f-4efc-ba55-71187addec4f,7,,"[59.6, 43.4]",69314,0,,,,,-2.9463112,,Right Foot,,,,"[41.4, 39.8]",,Ground Pass,,18.552628,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,['9988c442-245a-46e8-ab45-0586705dd1b6'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.995,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,0.79156,,,,,,,,,,,,,,0ffee2d3-a2aa-4bd2-a74f-d30ed84c69a7,10,,"[41.4, 39.8]",69314,0,,,,,1.3429393,,Right Foot,,,,"[44.6, 53.6]",,Ground Pass,,14.166157,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,2,Barcelona,217,['95f966f8-e190-4315-8e3a-9bcff6205341'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.244,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,1.484383,,,,,,,,,,,,,,d00bb7cb-3af0-48b4-9e1e-600cbc615b79,13,,"[53.2, 64.0]",69314,0,,,,,2.0344439,,Right Foot,,,,"[48.9, 72.6]",,Ground Pass,,9.615092,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,2,Barcelona,217,['b403603a-e488-42a6-9d15-83521c047ab6'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.362,Pass,,2011/2012
