50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.797773,,,,,,,,,,,,,,,b28e1da5-75e9-4e38-b8bc-ab0070c9e2b6,1116,,"[49.1, 65.4]",266741,29,,,,,2.2876,,Right Foot,,,,"[43.0, 72.4]",,Ground Pass,,9.284934,,,,,Iván López Mendoza,8801.0,,,,,,1,Regular Play,Papa Kouly Diop,6867.0,Left Defensive Midfield,60,Levante UD,221,['132210f9-cb0f-4b00-9181-f99993c74ed3'],41,,,,,,,,,,,,,,,,,Levante UD,221,00:29:41.656,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.257638,,,,,,,,,,,,,,,595b536d-5ddb-4747-9b0d-a92927da0560,1119,,"[43.0, 72.4]",266741,29,,,,,-1.8417432,,Right Foot,,,,"[39.0, 58.0]",,Ground Pass,,14.945233,,,,,David Navarro Pedrós,26012.0,,,,,,1,Regular Play,Iván López Mendoza,8801.0,Right Back,60,Levante UD,221,['3b4b64ca-27c3-43a7-b037-809fd462ce6d'],42,,,,,,,,,,,,,,,,,Levante UD,221,00:29:42.489,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.8432,,,,,,,,,,,,,,,706d5fcc-a25e-4055-b8ba-09aaf5f5e65b,1122,,"[44.0, 57.6]",266741,29,,,,,-0.19846967,,Right Foot,,,,"[61.9, 54.0]",,Ground Pass,,18.258423,,,Incomplete,,David Barral Torres,26248.0,,,,,,1,Regular Play,David Navarro Pedrós,26012.0,Right Center Back,60,Levante UD,221,"['afb08143-0355-4590-8e76-20c5fbb5d86d', 'eb14205e-dacc-4bb4-9d11-5c9eb5864de6']",46,,,,,,,,,,,,,,,,,Levante UD,221,00:29:46.163,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.202,,,,,,,,,,,,,,,7b986b87-af0f-4969-a374-9a5f0005194c,1125,,"[61.8, 37.7]",266741,29,,,,,-0.9618387,,Left Foot,,,,"[67.1, 30.1]",,Ground Pass,,9.265528,,,,,Xavier Hernández Creus,20131.0,,,,,Recovery,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,61,Barcelona,217,['621d671a-050f-45ec-9985-e7b010130d38'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:29:47.743,Pass,,2014/2015
,,,,,,,,,,,,,,,,0.7499,,,,,,,,,,,,,,,cb4a2037-d803-4877-9b16-f20d20a78600,1129,,"[66.7, 31.9]",266741,29,,,,,2.328804,,Right Foot,,,,"[59.6, 39.4]",,Ground Pass,,10.327633,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,61,Barcelona,217,['2085bb65-d95b-42d3-8fd7-d8c21085a67c'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:29:49.358,Pass,,2014/2015
,,,,,,,,,,,,,,,,2.7524,,,,,,,,,,,,,,,38e86559-0774-40f8-8acd-f93061899993,1131,,"[59.6, 39.4]",266741,29,,,,,-0.17497322,,Right Foot,,,,"[97.5, 32.7]",,High Pass,,38.48766,,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,61,Barcelona,217,"['a78492df-18a1-4a06-ac76-72251487ad0a', 'c8a2b71d-f7d2-4f0c-8f00-2f836785273d']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:29:50.108,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.554,,,,,,,,,,,,,,,36b2c533-e512-457b-b9f8-38a414de5afc,1134,,"[20.0, 77.7]",266741,29,,,,,-0.14581093,,Right Foot,,,,"[48.6, 73.5]",,Ground Pass,,28.906746,,,,,Jordi Xumetra Feliu,27123.0,,,,,Recovery,1,From Counter,Iván López Mendoza,8801.0,Right Back,62,Levante UD,221,['ed38fb2f-eefe-4530-a969-53c1258955ef'],57,,,,,,,,,,,,,,,,,Levante UD,221,00:29:57.146,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.184546,,,,,,,,,,,,,,,9c7d2cff-a6ce-4586-b4c8-db58428666b0,1141,,"[58.9, 72.2]",266741,30,,,,,-0.5128891,,Right Foot,,,,"[77.9, 61.5]",,Ground Pass,,21.805733,,,Pass Offside,,David Barral Torres,26248.0,,,,,Recovery,1,From Counter,Kalu Uche,26495.0,Left Center Forward,62,Levante UD,221,['f9e7bcc1-23ec-45f8-b477-33d524ddee86'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:30:01.808,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.83511,,,,,,,,,,,,,,,0b957f7a-a3a8-4bea-bc7a-9afabd78eb45,1143,,"[41.4, 13.2]",266741,30,,True,,,0.25125998,,Right Foot,,,,"[60.1, 18.0]",,Ground Pass,,19.306217,,,,,Sergio Busquets i Burgos,5203.0,,,,,Free Kick,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,63,Barcelona,217,['60519c4d-72c3-4b64-a38f-94b71d624f89'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:30:20.197,Pass,,2014/2015
,,,,,,,,,,,,,,,,1.3901,,,,,,,,,,,,,,,c75a0284-4758-4d02-89d9-c2345a3d260a,1150,,"[58.6, 23.4]",266741,30,,,,,1.455431,,Right Foot,,,,"[61.3, 46.7]",,Ground Pass,,23.455915,,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,63,Barcelona,217,['32eb2a48-9b25-40b3-b0f4-b0ac9b702dac'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:30:25.268,Pass,,2014/2015
