50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,2.245155,,,,,,,,,,,,,,22ca43bc-a1c3-4fcb-b880-6295906b5b27,17,,"[24.6, 35.1]",69251,0,,,,,0.67319536,,Right Foot,,,"[64.1, 66.6]",,High Pass,,50.522274,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['26b64331-ee13-4154-94c6-58d1955a4605', '972ecce2-c870-4ba2-9454-c99810d29b93']",7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.792,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.5338,,,,,,,,,,,,,,30671cdb-0e97-4ff4-82d6-1a062b5a1970,21,,"[65.1, 66.8]",69251,0,,,,,-2.0630705,,Right Foot,,,"[55.5, 48.9]",,Ground Pass,,20.31182,,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['156a1bc8-9f86-40d3-80f7-59a70f09fd48', 'e9517503-b682-4aa4-9408-ab33560ee03c', 'f202b7d1-b05b-4262-8d60-55d4cf76ec25']",10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.132,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.6725,,,,,,,,,,,,,,f202b7d1-b05b-4262-8d60-55d4cf76ec25,23,,"[65.5, 32.1]",69251,0,,,,,-2.4890113,,Left Foot,,,"[51.5, 21.4]",,Ground Pass,,17.620726,,,,,Alexis Ruano Delgado,6614.0,,,,,Recovery,1,Regular Play,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,3,Valencia,207,"['30671cdb-0e97-4ff4-82d6-1a062b5a1970', 'f126854e-c10e-496d-be81-50897510081b']",11,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:11.666,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.8741,,,,,,,,,,,,,,812fa11f-3575-47c8-941a-313869a6dd72,26,,"[51.3, 21.5]",69251,0,,,,,1.4000611,,Right Foot,,,"[52.3, 27.3]",,Ground Pass,,5.885576,,,,,Carlos Marchena López,20127.0,,,,,,1,Regular Play,Alexis Ruano Delgado,6614.0,Left Back,3,Valencia,207,['8c1f16ef-62c3-4e07-8a1e-12ff640011ac'],13,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:13.378,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.6229,,,,,,,,,,,,,,c324cf20-bcd1-4e1b-ad38-81c6f5fb0ee8,29,,"[52.3, 27.3]",69251,0,,,,,3.068552,,Right Foot,,,"[23.6, 29.4]",,Ground Pass,,28.776726,,,,,Hedwiges Maduro,26396.0,,,,,,1,Regular Play,Carlos Marchena López,20127.0,Left Center Midfield,3,Valencia,207,['f304e725-4092-4cdd-bfa2-87cebd5f3c8a'],14,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:14.292,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.1371,,,,,,,,,,,,,,4675ddbc-4227-4412-966b-d2c8aa455ce6,33,,"[22.4, 30.6]",69251,0,,,,,2.5691328,,Right Foot,,,"[8.9, 39.3]",,Ground Pass,,16.06051,,,,,César Sánchez Domínguez,25917.0,,,,,,1,Regular Play,Hedwiges Maduro,26396.0,Left Center Back,3,Valencia,207,"['a2798cd3-ad9f-464e-b2ae-3816e22dcb9f', 'ba56f68f-fed2-45b3-bc95-225a289d1be7']",16,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:16.987,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.2276,,,,,,,,,,,,,,3bebb3d2-f228-4356-844f-82103036cd49,36,,"[8.9, 39.3]",69251,0,,,,,0.63047254,,Right Foot,,,"[33.7, 57.4]",,Low Pass,,30.702606,,,Incomplete,,,,,,,,,1,Regular Play,César Sánchez Domínguez,25917.0,Goalkeeper,3,Valencia,207,['77614682-fb86-4cc4-b72e-549fc31f37da'],18,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:18.164,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.9072,,,,,,,,,,,,,,d8705109-c676-453f-9845-4948c2935980,38,,"[32.5, 80.0]",69251,0,,True,,,-1.3920033,,,,,"[34.0, 71.7]",,Low Pass,,8.434453,,,,,Raúl Albiol i Tortajada,7030.0,,,,,Throw-in,1,From Throw In,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,4,Valencia,207,['3461f083-5361-44d4-b6bd-78f8c1895db4'],48,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:48.608,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.953143,,,,,,,,,,,,,,2a788d9e-a8ac-4533-86be-0ed5a3d68a75,40,,"[34.0, 71.4]",69251,0,,True,,,-0.67783374,,Right Foot,,,"[69.4, 42.9]",,High Pass,,45.44678,,,Incomplete,,,,,,,,,1,From Throw In,Raúl Albiol i Tortajada,7030.0,Right Center Back,4,Valencia,207,['9dae347e-59db-47e2-ae67-01543a8036dc'],51,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:51.280,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.302293,,,,,,,,,,,,,,ab946427-1dc8-46ad-825c-6fe5105950f5,46,,"[86.4, 35.1]",69251,0,,,,,-0.54370534,,Left Foot,,,"[99.8, 27.0]",,Ground Pass,,15.657906,,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Valencia,207,"['38cbc39d-bdd8-4075-a957-447c1664ec91', 'fa7bc270-5073-4847-818e-fe6057424e99']",57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.947,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.416864,,,,,,,,,,,,,,6ccb0228-07e4-4dff-ae89-25ab29782fb6,53,,"[12.0, 59.1]",69251,1,,,,,0.6769644,,Right Foot,,,"[33.9, 76.7]",,Low Pass,,28.09573,,,,,Pablo Hernández Domínguez,4711.0,,,,,,1,From Throw In,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,4,Valencia,207,['20a79c55-f996-4301-b164-2259ac0763ad'],3,,,,,,,,,,,,,,,,,,,Valencia,207,00:01:03.452,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.020358,,,,,,,,,,,,,,fadfb626-f621-462a-8d3b-02d83e758e59,62,,"[71.2, 16.8]",69251,1,,,,,-2.7649522,,Left Foot,,,"[57.8, 11.5]",,Ground Pass,,14.410066,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,5,Barcelona,217,"['04dae668-e44c-48d7-8472-f2d3c90624ec', '3299c028-6af8-4cbf-8444-692c2c836501']",9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.224,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.646661,,,,,,,,,,,,,,660aecc1-42df-4fb0-8506-050fe4a38e1d,66,,"[59.6, 12.3]",69251,1,,,,,1.9497759,,Right Foot,,,"[50.6, 34.9]",,Ground Pass,,24.326118,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,"['687ec5b7-bdcc-4178-a340-02a531016b0f', 'cd0cf6d1-5532-4981-a5fb-4ec180ada041']",10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.444,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.99509,,,,,,,,,,,,,,176fb145-7c59-457d-92a0-87f2e1337a32,69,,"[51.6, 34.9]",69251,1,,,,,1.6508255,,Left Foot,,,"[48.4, 74.8]",,Ground Pass,,40.028114,,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,5,Barcelona,217,['f4b3d076-59a8-48e3-9e83-db15b3ce635f'],13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.492,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.09314,,,,,,,,,,,,,,99ba93c5-36de-4101-b318-eb634d187895,72,,"[48.4, 74.8]",69251,1,,,,,-1.5385494,,Right Foot,,,"[49.0, 56.2]",,Ground Pass,,18.609674,,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['58ea62b3-1682-4228-bc5c-33b1709a787e'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.651,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.655116,,,,,,,,,,,,,,be7c372e-0610-4bfc-bc47-0965e58358e8,76,,"[50.4, 60.2]",69251,1,,,,,0.49011555,,Right Foot,,,"[83.2, 77.7]",,Ground Pass,,37.17647,,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,5,Barcelona,217,['19a57c5d-d6a1-4951-ad4b-6208f2a97ebd'],19,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.550,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.8936,,,,,,,,,,,,,,186d24f3-541b-4eb7-984b-21ea49fcb5f7,79,,"[91.4, 69.0]",69251,1,,,,,-2.0596488,,Right Foot,,,"[86.4, 59.6]",,Ground Pass,,10.647065,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['b178933c-3a4f-4c1a-8ccb-d5a89791aa85'],25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.601,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.6636,,,,,,,,,,,,,,63d8fbf3-4543-4379-9d9d-b20c7fb05be9,83,,"[86.6, 59.8]",69251,1,,,,,-2.063282,,No Touch,,,"[84.4, 55.7]",,Ground Pass,,4.652956,,True,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,5,Barcelona,217,"['14629071-49c3-4a60-baee-7450db8f7470', 'b47c3132-06c9-4030-bde5-bca155e7a095', 'f3d46033-8e97-46cf-905b-a639936d5d9d']",26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.655,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,1.3941,,,,,,,,,,,,,,0f97daa5-de79-4e3b-bb23-c1fdae4000d7,88,,"[15.6, 5.3]",69251,1,,,,,0.059689965,,Left Foot,,,"[40.7, 6.8]",,High Pass,,25.144781,,,Incomplete,,,,,,,,,1,Regular Play,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,5,Barcelona,217,['5eb4d4e2-a838-41d5-8f48-276b9ac255c0'],33,,,,,,,,,,,,,,,,,,,Valencia,207,00:01:33.001,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.525369,,,,,,,,,,,,,,28ffa8e6-0aa7-4f12-9fe5-54e73bb9846e,93,,"[80.3, 74.2]",69251,1,,,,,-3.0810606,,Right Foot,,,"[57.2, 72.8]",,Low Pass,,23.142385,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,"['511ebfd8-ad67-478c-8a62-c478fbce3687', '9f6b72f6-ef25-46d3-8f2d-be4c149ae1bf', 'c37ce479-73d1-46b2-b157-3c28c633e3c3']",36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.390,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,2.550295,,,,,,,,,,,,,,f566feeb-a29f-4f5a-ab25-48f1f60f2ea8,96,,"[51.4, 72.5]",69251,1,,,,,-2.5893743,,Right Foot,,,"[21.7, 54.2]",,Ground Pass,,34.88524,,,,,Víctor Valdés Arribas,20176.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,5,Barcelona,217,['501e87f0-e3f8-49c2-a5ed-a2685879724f'],41,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.105,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.059668,,,,,,,,,,,,,,dc1294e5-979b-4f00-bc77-73d629c97520,99,,"[21.7, 54.2]",69251,1,,,,,-1.496987,,Right Foot,,,"[23.8, 25.8]",,Ground Pass,,28.477535,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['e5d17dac-a38c-44de-a06e-5f3eedd7d76e'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.960,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.604494,,,,,,,,,,,,,,63e8ac28-ab81-4106-b7c2-91132c22aa56,102,,"[25.8, 35.6]",69251,1,,,,,1.2330258,,Right Foot,,,"[41.5, 80.3]",,High Pass,,47.377,,,Out,,Daniel Alves da Silva,4324.0,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,5,Barcelona,217,['5562e4b5-33a6-4643-b446-372fbaac669b'],51,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.989,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.6663,,,,,,,,,,,,,,bf6a7c08-d4a8-4edf-b6f6-64113f7ac684,104,,"[73.8, 1.0]",69251,2,,,,,0.9031307,,,,,"[77.9, 6.2]",,Low Pass,,6.6219335,,,,,David Josué Jiménez Silva,3064.0,,,,,Throw-in,1,From Throw In,Alexis Ruano Delgado,6614.0,Left Back,6,Valencia,207,['a29e8cc9-115e-40cb-a4c7-2de9941af638'],7,,,,,,,,,,,,,,,,,,,Valencia,207,00:02:07.531,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.1642,,,,,,,,,,,,,,9ff4c3b5-1f52-441e-be95-b86c0fb8ffd8,107,,"[77.9, 6.2]",69251,2,,,,,-2.4213197,,Left Foot,,,"[73.0, 1.9]",,Low Pass,,6.519202,,,,,Alexis Ruano Delgado,6614.0,,,,,,1,From Throw In,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,6,Valencia,207,['ebdc1db4-4fc6-4cef-8232-fea80b027fe4'],8,,,,,,,,,,,,,,,,,,,Valencia,207,00:02:08.237,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.2772,,,,,,,,,,,,,,ed51eb84-23e4-419f-b6cc-610550414767,110,,"[73.0, 1.9]",69251,2,,,,,0.39479113,,Right Foot,,,"[76.6, 3.4]",,Ground Pass,,3.9,,,Incomplete,,Juan Manuel Mata García,3294.0,,,,,,1,From Throw In,Alexis Ruano Delgado,6614.0,Left Back,6,Valencia,207,"['4dd32680-6585-4b3e-8589-e4c6f095609b', '9fa9f62f-1067-442a-ad2d-642d6b60f8ba']",9,,,,,,,,,,,,,,,,,,,Valencia,207,00:02:09.481,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.375156,,,,,,,,,,,,,,5c65eeac-4b10-4947-bd3b-4fbc0835a25f,113,,"[76.7, 1.0]",69251,2,,,,,0.06807646,,,,,"[94.3, 2.2]",,Low Pass,,17.640862,,,Incomplete,,Pablo Hernández Domínguez,4711.0,,,,,Throw-in,1,From Throw In,Alexis Ruano Delgado,6614.0,Left Back,7,Valencia,207,"['209b8c6e-343b-470b-8f9c-39e8c7825ba6', 'b92a45d7-7644-433f-a71b-a9673e972138']",13,,,,,,,,,,,,,,,,,,,Valencia,207,00:02:13.695,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.87033,,,,,,,,,,,,,,e6d6c545-2c13-4fbb-8c77-2696d1e14650,117,,"[26.0, 79.1]",69251,2,,,,,0.0,,Right Foot,,,"[35.9, 79.1]",,Ground Pass,,9.9,,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,8,Barcelona,217,['ef100d19-4ca9-4836-9b0a-8ff18b4cd18d'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:16.162,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.177932,,,,,,,,,,,,,,bb0070e7-58c9-4ff7-ba5c-e7de1577bcf6,120,,"[34.4, 77.1]",69251,2,,,,,-2.1466043,,Right Foot,,,"[18.3, 52.3]",,Ground Pass,,29.567719,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,8,Barcelona,217,['2d78fcba-26f8-4ce0-993f-4b4db1817d81'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.787,Pass,,2008/2009
