50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.674558,,,,,,,,,,,68c02a89-4081-47b3-bc0e-2082cb682e45,19,,"[42.0, 9.0]",16120,0,,,,2.6779451,,Left Foot,,,,"[24.0, 18.0]",,Ground Pass,,20.12461,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['1e5f7a5e-f911-4840-8453-2cfc6203af4a'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.297,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.030469,,,,,,,,,,,9d0eb18f-48be-4ba8-b96c-fb4f8fb3aed3,22,,"[24.0, 22.0]",16120,0,,,,1.9379702,,Left Foot,,,,"[19.0, 35.0]",,Ground Pass,,13.928389,,,Ivan Rakitić,5470.0,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['36e5c671-2af9-48e4-a73d-f55a1089eb2f'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.416,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.576868,,,,,,,,,,,0c795e65-062f-461d-94b9-1b3d53d18fe8,26,,"[17.0, 28.0]",16120,0,,,,-1.7033478,,Right Foot,,,,"[15.0, 13.0]",,Ground Pass,,15.132746,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Center Defensive Midfield,2,Barcelona,217,['cdcae99c-367b-4126-aaf6-16f41a2ca9e3'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.919,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.0749,,,,,,,,,,,8eb59ea9-8fb0-4b3c-8d95-19238d1ac7d4,32,,"[12.0, 1.0]",16120,0,,,,0.5191461,,,,,,"[19.0, 5.0]",,Low Pass,,8.062258,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['2e7dcf78-0349-4886-b330-7575f4523170'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.587,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,0.916979,,,,,,,,,,,2cc27947-0812-4792-af7e-ee21b3408442,34,,"[20.0, 5.0]",16120,0,,,,2.7610862,,Right Foot,,,,"[10.0, 9.0]",,Ground Pass,,10.770329,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,3,Barcelona,217,['5a333b3a-296a-4e0c-9020-066f48ee9a76'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.662,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.5517,,,,,,,,,,,d73e1d4d-4f94-4747-9ccf-78606ec6cd9f,38,,"[8.0, 10.0]",16120,0,,,,0.3290497,,Right Foot,,,,"[49.0, 24.0]",,High Pass,,43.32436,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['953d905e-0a60-46d7-8ddb-a1ed7286ba7f'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.262,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.6414,,,,,,,,,,,60637f4c-6174-4111-9ac2-7351198bd6d7,43,,"[66.0, 41.0]",16120,0,,,,-2.4980915,,Head,,,,"[54.0, 32.0]",,Low Pass,,15.0,,,Vitorino Gabriel Pacheco Antunes,6619.0,,,,,,Recovery,1,From Throw In,Djené Dakonam Ortega,6634.0,Right Center Back,3,Barcelona,217,['0adf154d-ff1c-4e43-8aae-65cfbcb73b85'],36,,,,,,,,,,,,,,,,,,Getafe,216,00:00:36.398,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,3.8317,,,,,,,,,,,82a3975d-2803-46e0-a176-650f5e703e50,46,,"[54.0, 32.0]",16120,0,,,,0.10379234,,Left Foot,,,,"[102.0, 37.0]",,High Pass,,48.259712,Incomplete,,Jaime Mata Arnaiz,11550.0,,,,,,,1,From Throw In,Vitorino Gabriel Pacheco Antunes,6619.0,Left Back,3,Barcelona,217,"['34018a26-45d9-4113-b4d1-3a21c895f31b', 'd15b35df-716b-44fe-9fe7-ece8d8ec49c4']",38,,,,,,,,,,,,,,,,,,Getafe,216,00:00:38.119,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.0447,,,,,,,,,,,34018a26-45d9-4113-b4d1-3a21c895f31b,48,,"[19.0, 44.0]",16120,0,,,,-1.5707964,,Head,,,,"[19.0, 26.0]",,High Pass,,18.0,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,"['82a3975d-2803-46e0-a176-650f5e703e50', '989c8ad9-c0b1-432e-986d-da0df0623753']",41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.951,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.1328,,,,,,,,,,,62fe8054-e118-401e-b649-9b6cbb184d7e,51,,"[19.0, 26.0]",16120,0,,,,-0.35877067,,Head,,,,"[27.0, 23.0]",,Low Pass,,8.5440035,Incomplete,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['3636d080-dacb-45e2-bd4f-9a2f60e56751', '7bcec246-dc27-42fb-99a5-0913ef84d8de']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.995,Pass,,2018/2019
