bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2699a293-5f6c-4e6b-b450-a6821ae21621,1,,,69172,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15743, 'name': 'Henrik Larsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,05586cf0-5271-4b9b-a2cc-525c1077da67,2,,,69172,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26484, 'name': 'Antonio Baltasar Doblas Santana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26486, 'name': 'Oscar López Hernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 26453, 'name': 'Juan Alberto Andreu Alvarado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 20519, 'name': 'Juan Gutiérrez Moreno'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26069, 'name': 'Luis Fernández Gutiérrez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25893, 'name': 'Alberto Rivera Pizarro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26464, 'name': 'Arturo García Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26456, 'name': 'Luís Eduardo Schmidt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 25254, 'name': 'Diego Tardelli Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26485, 'name': 'Daniel Martín Alexandre'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 6}]}",Real Betis,218,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec676535-69da-4976-b3dd-3ab6eb69e9ac,3,,,69172,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['76e90a1d-7bd5-4872-8fda-57327d7cca02'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,76e90a1d-7bd5-4872-8fda-57327d7cca02,4,,,69172,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ec676535-69da-4976-b3dd-3ab6eb69e9ac'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f018450-1c39-4757-a290-7ec31b003cec,1595,,,69172,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Real Betis,218,['b4fb0b8d-f81c-4258-80a1-8bb3ab162f0b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b4fb0b8d-f81c-4258-80a1-8bb3ab162f0b,1596,,,69172,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Real Betis,218,['2f018450-1c39-4757-a290-7ec31b003cec'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.5068,,,,,,,,,,,,,08eb2f2c-5220-422a-bd0c-f8926c082a9a,5,,"[60.0, 40.0]",69172,0,,,,1.3473197,,Right Foot,,,"[60.5, 42.2]",,Ground Pass,,2.2561028,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Right Wing,2,Barcelona,217,['eeb710b4-ea25-4f0f-8571-a1282a204d88'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.546,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.299,,,,,,,,,,,,,f25ece7b-98c6-4610-b8aa-f8699204dc30,8,,"[59.7, 40.1]",69172,0,,,,-3.0573766,,Right Foot,,,"[44.3, 38.8]",,Ground Pass,,15.454773,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['2dbc9144-8076-41f1-a98a-a18da4125a07'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.117,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.896069,,,,,,,,,,,,,09e5fdc7-be94-4917-895c-53e5e1e2fa1c,11,,"[44.3, 38.8]",69172,0,,,,-1.6023175,,Right Foot,,,"[43.6, 16.6]",,Ground Pass,,22.211033,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['20dd65d7-8233-4ae1-b478-406a6cbe4b29'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.496,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.792171,,,,,,,,,,,,,fd3be97f-f043-4b08-a548-c2b59d0201ae,14,,"[43.6, 16.4]",69172,0,,,,2.6801333,,Left Foot,,,"[25.3, 25.5]",,Ground Pass,,20.43771,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['4da5bb9f-8077-41a8-90dd-226b2b5fc021'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.488,Pass,,2005/2006
