ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.5155,,,,,,,,,,,,,a13c3e97-b91a-43dd-a32c-da943e452d93,17,,"[23.1, 21.4]",69262,0,,,,-0.516743,,Left Foot,,,"[59.0, 1.0]",,High Pass,,41.291283,,Out,,,,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Left Center Back,2,Real Madrid,220,,7,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.988,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.457475,,,,,,,,,,,,,bd837dc2-60b6-4532-9143-7beeae7ffaab,18,,"[66.0, 80.0]",69262,0,True,,,-0.43984258,,,,,"[76.2, 75.2]",,Low Pass,,11.272977,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['283197e9-e9c0-49b0-8942-a49650f2e89d'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.348,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.765527,,,,,,,,,,,,,ca2a4e60-0200-40a1-9d96-9eca0d380cba,20,,"[75.0, 72.0]",69262,0,,,,2.6779451,,Right Foot,,,"[65.2, 76.9]",,Ground Pass,,10.956733,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['c14ea17e-28df-4e3a-af83-429abcc313a1'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.146,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.039373,,,,,,,,,,,,,3c4c8a2c-4f3b-463b-866c-8ca940834f2f,24,,"[62.5, 76.0]",69262,0,,,,-3.01975,,Right Foot,,,"[28.2, 71.8]",,Ground Pass,,34.556187,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['5d7a8023-d1a7-46c6-87ec-a0219bd3c9d4', 'db8baa96-148c-46dc-ac92-8baa7452d0c6']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.153,Pass,True,2009/2010
,,,,,,,,,,,,,,,,1.88037,,,,,,,,,,,,,1a7eb064-c4a7-4f23-843e-5bc259e1f559,27,,"[22.9, 63.5]",69262,0,,,,-2.3772883,,Right Foot,,,"[10.8, 51.9]",,Ground Pass,,16.76216,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,3,Barcelona,217,['56a6b717-a588-44e9-bbfb-55776254c055'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.327,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.345216,,,,,,,,,,,,,bd61d36b-b7c5-4eb1-b755-eb2d7acdf1dc,30,,"[13.2, 49.3]",69262,0,,,,-1.3229573,,Right Foot,,,"[23.6, 8.2]",,Ground Pass,,42.3954,,,,Eric-Sylvain Bilal Abidal,20177.0,,True,,,,1,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['94cdc6fe-3e90-4fc6-88b5-17c1ecec308f'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.461,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.669977,,,,,,,,,,,,,ddc8a876-b37d-46b2-9077-e7054b26c1a2,33,,"[63.5, 26.5]",69262,0,,,,0.06472428,,Left Foot,,,"[74.3, 27.2]",,Ground Pass,,10.822661,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['1e0197d2-8f8b-4efd-92bc-efffdc7d1191'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.255,Pass,,2009/2010
,,,,,,,,,,,,,,,,4.0457,,,,,,,,,,,,,3ac2e440-0b1e-41be-bd23-984c0cd1f0ee,40,,"[51.0, 59.9]",69262,0,,,,0.50638473,,Right Foot,,,"[86.7, 79.7]",,Ground Pass,,40.823154,,Out,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Throw In,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,3,Barcelona,217,['9789be24-3858-40a4-a3d7-97ed3485e67b'],35,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:35.171,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.790247,,,,,,,,,,,,,c0bf7fdc-a29a-4097-98e8-f7b63ee25596,42,,"[35.4, 1.0]",69262,0,,,,1.6490675,,,,,"[34.6, 11.2]",,Low Pass,,10.231324,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['bb4b83c2-37e1-4b10-8aea-ce8fc57bdf43'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.095,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.775781,,,,,,,,,,,,,4a1c7e0b-2155-4f25-bb67-adeee10994c9,45,,"[34.3, 11.8]",69262,0,,,,-1.4102844,,Right Foot,,,"[36.0, 1.3]",,Ground Pass,,10.636729,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['50434a80-5bea-480d-95d2-0d590e580008'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.966,Pass,,2009/2010
