bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0b1d2b0-a39b-4ebb-ae00-193263704e9f,1,,,3773466,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 40890, 'name': 'Iván Villar Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16555, 'name': 'Joseph Aidoo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 24730, 'name': 'Lucas René Olaza Catrofe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 35000, 'name': 'José Manuel Fontán Mondragón'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 29}, {'player': {'id': 5523, 'name': 'Renato Fabrizio Tapia Cortijo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 47447, 'name': 'Gabriel Veiga Novas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6803, 'name': 'Emre Mor'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eb5c3a04-1d28-4383-bc54-16a51963e104,2,,,3773466,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1a6c2d40-9323-482e-a619-4ccc4b3bab45,3,,,3773466,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['35368b23-bff5-4f05-85a1-85ddcd0ca4e4'],0,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35368b23-bff5-4f05-85a1-85ddcd0ca4e4,4,,,3773466,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['1a6c2d40-9323-482e-a619-4ccc4b3bab45'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f21eed89-19fc-4530-a657-85539e3579d4,2046,,,3773466,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Barcelona,217,['dce89bb0-b424-4394-b82f-c4cbc0468830'],0,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dce89bb0-b424-4394-b82f-c4cbc0468830,2047,,,3773466,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Barcelona,217,['f21eed89-19fc-4530-a657-85539e3579d4'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,1.252293,,,,,,,,,,,,52ca311f-1d4b-47ee-b50f-75e684721c14,5,,"[61.0, 40.1]",3773466,0,,,,2.9426467,,Left Foot,,,,"[48.6, 42.6]",,Ground Pass,,12.649506,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['03ad9f9d-2733-4ee6-a959-95df060f9f0f'],1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.344,Pass,,2020/2021
,,,,,,,,,,,,,,2.023917,,,,,,,,,,,,2aeecf17-5ef2-4e73-b84c-a03521688155,8,,"[48.6, 42.6]",3773466,0,,,,1.5273454,,Right Foot,,,,"[50.0, 74.8]",,Ground Pass,,32.23042,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,['3ca181e2-d041-4ca1-b159-ef87a655fbf4'],3,,,,,,,,,,,,,,,Barcelona,217,00:00:03.256,Pass,,2020/2021
,,,,,,,,,,,,,,1.536482,,,,,,,,,,,,e2242810-9b90-47f3-bd2e-ef9fb50cfa88,11,,"[57.6, 75.9]",3773466,0,,,,-2.3592157,,Right Foot,,,,"[41.0, 59.4]",,Ground Pass,,23.405342,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['c3893cf1-5c1b-41d1-8a52-09436a8c8bf0'],7,,,,,,,,,,,,,,,Barcelona,217,00:00:07.814,Pass,,2020/2021
,,,,,,,,,,,,,,0.87494,,,,,,,,,,,,ced638e4-1d63-460f-b8fc-abdcdfb7edca,14,,"[41.6, 59.4]",3773466,0,,,,-1.5751631,,Right Foot,,,,"[41.5, 36.5]",,Ground Pass,,22.900219,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['d1d27712-130e-4ace-9e26-da9b29d87674'],11,,,,,,,,,,,,,,,Barcelona,217,00:00:11.055,Pass,,2020/2021
,,,,,,,,,,,,,,1.106219,,,,,,,,,,,,e5a31d41-77e7-4e75-a377-ee52caba7a3d,17,,"[42.6, 34.5]",3773466,0,,,,-1.0999025,,Left Foot,,,,"[48.2, 23.5]",,Ground Pass,,12.343419,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['0a0acd26-6979-4480-8c46-652aab29e473'],12,,,,,,,,,,,,,,,Barcelona,217,00:00:12.730,Pass,,2020/2021
,,,,,,,,,,,,,,1.532252,,,,,,,,,,,,600f78f8-0d51-4b59-a50b-6da7c8c7698a,20,,"[47.8, 24.2]",3773466,0,,,,2.0801866,,Left Foot,,,,"[41.6, 35.3]",,Ground Pass,,12.714166,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['87d2e944-cac2-455d-bd21-f1bf11629fde'],14,,,,,,,,,,,,,,,Barcelona,217,00:00:14.478,Pass,,2020/2021
,,,,,,,,,,,,,,1.407685,,,,,,,,,,,,f4664a6e-e48e-4dbf-abfc-47ff354eabb2,23,,"[44.6, 34.0]",3773466,0,,,,-1.1204813,,Left Foot,,,,"[51.9, 18.9]",,Ground Pass,,16.772001,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['59d921f0-22a0-407b-90c0-2326dc5b662a'],18,,,,,,,,,,,,,,,Barcelona,217,00:00:18.262,Pass,,2020/2021
,,,,,,,,,,,,,,2.697921,,,,,,,,,,,,209b121f-17a1-4f1a-b3c0-86496c92ea91,26,,"[56.8, 19.2]",3773466,0,,,,0.27917993,,Left Foot,,,,"[101.8, 32.1]",,High Pass,,46.8125,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['9adc77f0-c6a1-49b2-b617-9088613d1248', '9f9320f8-7e0d-4589-95ee-66405fead40e']",20,,,,,,,,,,,,,,,Barcelona,217,00:00:20.892,Pass,,2020/2021
,,,,,,,,,,,,,,1.260634,,,,,,,,,,,,375891d6-bd44-481c-aacb-f4b01fd87874,32,,"[99.3, 24.5]",3773466,0,,,,-2.5748634,,Left Foot,,,,"[92.7, 20.3]",,Ground Pass,,7.823043,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['2452c1b7-5ec3-42a9-92cf-f2675e518196'],26,,,,,,,,,,,,,,,Barcelona,217,00:00:26.746,Pass,,2020/2021
,,,,,,,,,,,,,,1.151677,,,,,,,,,,,,5a948c61-e417-4587-bd8c-74a254efc50a,35,,"[91.9, 20.3]",3773466,0,,,,2.13488,,Right Foot,,,,"[85.7, 30.1]",,Ground Pass,,11.596551,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,['63605bf4-d5b2-4afe-b28d-9ac3d67c60f6'],28,,,,,,,,,,,,,,,Barcelona,217,00:00:28.498,Pass,,2020/2021
,,,,,,,,,,,,,,1.10707,,,,,,,,,,,,283f0e84-653c-4df3-971f-1d0086a3333e,40,,"[86.4, 28.7]",3773466,0,,,,-1.660913,,Right Foot,,,,"[84.9, 12.1]",,Ground Pass,,16.667633,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,"['70bc6107-f08c-4b91-bec2-bcc0ad328065', 'd04d50ea-22c4-4dec-bd58-03375d44cf5f']",30,,,,,,,,,,,,,,,Barcelona,217,00:00:30.212,Pass,True,2020/2021
,,,,,,,,,,,,,,0.996759,,,,,,,,,,,,f8d6ae27-0379-4dc0-a1d3-dc285259e615,43,,"[92.1, 7.7]",3773466,0,,,,2.3284237,,Left Foot,,,,"[85.1, 15.1]",,Ground Pass,,10.186265,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['bac2932c-9d31-4762-9697-7a26265fabcd'],33,,,,,,,,,,,,,,,Barcelona,217,00:00:33.477,Pass,,2020/2021
,,,,,,,,,,,,,,0.72604,,,,,,,,,,,,f86d989e-85c3-409b-896b-9a45bdc8985e,46,,"[85.3, 15.3]",3773466,0,,,,0.9048271,,Right Foot,,,,"[90.8, 22.3]",,Ground Pass,,8.902246,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,['1e304776-a78b-4465-88ed-718a544d99ff'],35,,,,,,,,,,,,,,,Barcelona,217,00:00:35.072,Pass,,2020/2021
,,,,,,,,,,,,,,0.870632,,,,,,,,,,,,0386726a-8f5f-4bd5-99ce-cf5dce3f21c0,49,,"[91.3, 22.3]",3773466,0,,,,-1.4723501,,Left Foot,,,,"[92.9, 6.1]",,Ground Pass,,16.27882,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['bddddca7-c118-4e16-af8e-ffa0d58d600a'],35,,,,,,,,,,,,,,,Barcelona,217,00:00:35.838,Pass,,2020/2021
,,,,,,,,,,,,,,1.130358,,,,,,,,,,,,2bf7b98b-ebfa-4e79-bd6a-8a26e1275967,52,,"[93.1, 7.5]",3773466,0,,,,3.051946,,Left Foot,,,,"[84.2, 8.3]",,Ground Pass,,8.935883,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['8bb6c39c-8be8-4c8c-9ec3-7d0267334bf2'],38,,,,,,,,,,,,,,,Barcelona,217,00:00:38.916,Pass,,2020/2021
,,,,,,,,,,,,,,0.707318,,,,,,,,,,,,d9837bce-8f29-4590-9bb2-9fb64fcea9a1,55,,"[80.5, 9.9]",3773466,0,,,,1.6445752,,Right Foot,,,,"[78.8, 32.9]",,Low Pass,,23.06274,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Center Midfield,2,Barcelona,217,['24aa97a7-ea73-4a2c-ba39-34f328a385f3'],40,,,,,,,,,,,,,,,Barcelona,217,00:00:40.928,Pass,,2020/2021
,,,,,,,,,,,,,,2.786486,,,,,,,,,,,,99f352e3-1a9e-4fe6-b318-a626b8541007,58,,"[78.8, 32.9]",3773466,0,,,,3.1346962,,Right Foot,,,,"[49.8, 33.1]",,Low Pass,,29.00069,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Center Midfield,2,Barcelona,217,['7af10c73-7852-4140-810e-ee76848d2411'],41,,,,,,,,,,,,,,,Barcelona,217,00:00:41.729,Pass,,2020/2021
