50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.502109,,,,,,,,,,,d7f2ef77-b8f6-4781-bb2b-6f3add48c0b1,18,,"[27.9, 31.1]",9870,0,,,,,0.81595635,,Right Foot,,,,"[39.0, 42.9]",,Ground Pass,,16.200308,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['6b75e8f2-42d3-4204-8e97-9284a9f3a7bc'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.053,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.283943,,,,,,,,,,,d42666ed-5118-464c-833f-befc06916282,21,,"[47.9, 44.0]",9870,0,,,,,-1.2398436,,Right Foot,,,,"[54.6, 24.5]",,Ground Pass,,20.618923,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Defensive Midfield,3,Barcelona,217,['32ef9d28-8711-4a44-8052-6b56a1fe9b7b'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.111,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.337904,,,,,,,,,,,54d9f441-16a7-4e18-b262-f95f1abed457,24,,"[54.6, 22.7]",9870,0,,,,,-0.23837084,,Left Foot,,,,"[65.3, 20.1]",,Ground Pass,,11.011357,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['73224008-7429-4d66-bb0f-f359748377c8'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.199,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.079731,,,,,,,,,,,8269fe89-7738-46ea-aa71-498dfbe32ec8,26,,"[64.3, 19.9]",9870,0,,,,,-2.5029576,,Left Foot,,,,"[57.7, 15.0]",,Ground Pass,,8.220098,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,3,Barcelona,217,['499101e9-317b-4577-9fbe-cb300d268667'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.537,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.728987,,,,,,,,,,,a62cc185-b517-4083-9525-23aa8104139b,29,,"[56.6, 11.1]",9870,0,,,,,-1.4631065,,Right Foot,,,,"[57.4, 3.7]",,Ground Pass,,7.4431176,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['daf92067-f90e-4803-a45b-26fc2a54d6c2'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.017,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.986612,,,,,,,,,,,beabda07-66e5-4f6f-8f03-f52ac42ffd90,32,,"[57.4, 3.7]",9870,0,,,,,2.0790339,,Right Foot,,,,"[49.1, 18.6]",,Ground Pass,,17.05579,,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Back,3,Barcelona,217,['cef8d1f8-ea1c-41b4-a89a-c39bec3be39f'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.083,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.550584,,,,,,,,,,,5b2ac54d-e975-4d7e-901a-7c686dfec4b6,36,,"[46.9, 22.2]",9870,0,,,,,1.5791761,,Left Foot,,,,"[46.6, 58.0]",,Ground Pass,,35.801258,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,"['04b7be6c-9ebe-4812-9c02-6eef75763993', '2201f46b-9769-4e47-9abc-abd35db451e4']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.212,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.462864,,,,,,,,,,,af23a746-ca2d-4b97-aa57-d14bee1359c2,39,,"[55.1, 58.0]",9870,0,,,,,-1.5235343,,Right Foot,,,,"[55.8, 43.2]",,Ground Pass,,14.816545,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['dfa2ec3e-e974-47d9-afcb-13f877a674c9'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.717,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.723125,,,,,,,,,,,a503a80c-3869-4596-9eb6-c3979c036b2a,42,,"[56.7, 45.3]",9870,0,,,,,1.888884,,Right Foot,,,,"[51.3, 61.7]",,Ground Pass,,17.266151,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Defensive Midfield,3,Barcelona,217,['9c3bafb8-3be9-4559-8948-3f1973415176'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.580,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.536689,,,,,,,,,,,692bb597-5ab3-4da1-b990-205cbc8efb80,45,,"[53.3, 61.1]",9870,0,,,,,-1.6751775,,Right Foot,,,,"[50.0, 29.6]",,Ground Pass,,31.672386,,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['8a7b10c4-9ccd-4a96-8206-c03dd469de9f'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.503,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.367691,,,,,,,,,,,fe9b5fd6-701e-4901-b34a-2ac6ce4a12f9,48,,"[50.0, 29.6]",9870,0,,,,,-1.1324598,,Left Foot,,,,"[62.0, 4.0]",,Ground Pass,,28.272955,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['ef85593c-2b17-4cb9-ac33-53c7b31e8861'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.240,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.037787,,,,,,,,,,,b349ed01-3cc0-476d-9be7-ef20bd91f875,51,,"[62.7, 4.2]",9870,0,,,,,1.5402714,,Left Foot,,,,"[63.1, 17.3]",,Ground Pass,,13.106106,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Back,3,Barcelona,217,['d7fcfd11-134d-402c-b8d7-5957805a83d8'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.992,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.226256,,,,,,,,,,,f22035ce-6697-42a5-9543-62d18d91894e,54,,"[63.1, 14.7]",9870,0,,,,,-1.8441516,,Left Foot,,,,"[60.1, 4.0]",,Ground Pass,,11.112605,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['57e633a7-4f70-40c8-8fb8-8b40ec461d56'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.111,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.72827,,,,,,,,,,,2e9f68cf-081c-4aa4-8257-b596f230579e,57,,"[56.0, 3.8]",9870,0,,,,,2.1130407,,Left Foot,,,,"[46.3, 19.9]",,Ground Pass,,18.796276,,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Back,3,Barcelona,217,['f307c511-79ac-4bc0-a39e-d605bc1bb01d'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.322,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.526838,,,,,,,,,,,0cd4bd15-99ca-4914-acae-931de23737bd,60,,"[46.9, 19.9]",9870,0,,,,,1.5363272,,Left Foot,,,,"[48.2, 57.6]",,Ground Pass,,37.72241,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['d411faab-c65f-4800-8662-5832d4ce21f3'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.250,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.120722,,,,,,,,,,,e495f2b6-052f-4a98-a37e-09afcfd1987b,63,,"[55.6, 47.7]",9870,0,,,,,-1.6614562,,Right Foot,,,,"[53.6, 25.7]",,Ground Pass,,22.090721,,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['3365b49e-1836-497b-915e-ad5867244797'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.038,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.129644,,,,,,,,,,,c497d279-4414-4677-ab01-e572e40b5ea0,66,,"[57.1, 19.7]",9870,0,,,,,-0.7181423,,Left Foot,,,,"[67.4, 10.7]",,Ground Pass,,13.678084,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,3,Barcelona,217,['31928175-8eb2-480f-9763-3e006a1b5698'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.759,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.26798,,,,,,,,,,,9e1d65ab-cc27-41a1-a96d-b48607b6ce6d,70,,"[68.9, 9.6]",9870,0,,,,,2.1880834,,Right Foot,,,,"[53.0, 32.0]",,Ground Pass,,27.469437,,,,,Ivan Rakitić,5470.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['485d3aba-a0bf-43db-a0b5-f5c4f5252a9f'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.888,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.879184,,,,,,,,,,,e7286a96-43e2-4571-94b6-5fdbdf301179,73,,"[57.3, 38.3]",9870,1,,,,,-1.1158822,,Right Foot,,,,"[66.3, 19.9]",,Ground Pass,,20.483164,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Defensive Midfield,3,Barcelona,217,['44581a13-d4c0-49a0-8cac-6df8502b60e9'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.691,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.583951,,,,,,,,,,,bfe0c0be-0c56-4e22-9007-64d3215c0562,76,,"[70.4, 18.8]",9870,1,,,,,-0.12676753,,Right Foot,,,,"[80.6, 17.5]",,Ground Pass,,10.28251,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['432da02d-6588-4289-80d8-301f0381f9bf'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.770,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.773491,,,,,,,,,,,817a0839-d993-4689-9b2b-99dc7bb2e9e6,79,,"[79.3, 15.5]",9870,1,,,,,-2.459822,,Right Foot,,,,"[72.4, 9.9]",,Ground Pass,,8.886507,,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,3,Barcelona,217,['79413431-c579-4d8a-8788-d87df9340110'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.559,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.921957,,,,,,,,,,,69fcb7fe-691e-4fa5-8ce2-4c875c0f7508,82,,"[72.8, 9.9]",9870,1,,,,,-0.5971767,,Right Foot,,,,"[85.3, 1.4]",,Ground Pass,,15.116217,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Defensive Midfield,3,Barcelona,217,['382f0933-5038-4684-b31d-c9aaa6e4497f'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.673,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.360976,,,,,,,,,,,36629a0d-cb6b-494f-b256-a7053f8299f3,85,,"[84.5, 3.5]",9870,1,,,,,3.1415927,,Right Foot,,,,"[70.2, 3.5]",,Ground Pass,,14.3,,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Back,3,Barcelona,217,['6df17be4-61f2-4e99-bb87-1a83afa557aa'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.732,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.688672,,,,,,,,,,,8f830816-23ee-4f55-b2b7-0fda862b749f,89,,"[65.3, 12.8]",9870,1,,,,,1.6780752,,Right Foot,,,,"[61.8, 45.3]",,Ground Pass,,32.68792,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,3,Barcelona,217,['0ee4b1cc-8f3c-47a7-88c2-cb4c81bff314'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.621,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.124929,,,,,,,,,,,0e25941b-1da9-4108-9b6c-027065c0fd72,92,,"[62.7, 55.3]",9870,1,,,,,1.1496762,,Right Foot,,,,"[71.3, 74.5]",,Ground Pass,,21.038061,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['0b4a48b9-6a4d-4cb8-9c10-961f21d47135'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.308,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.552775,,,,,,,,,,,0a4fb88e-10ea-4420-bfd9-2775dd34aab4,95,,"[72.6, 74.9]",9870,1,,,,,0.025635408,,Right Foot,,,,"[80.4, 75.1]",,Ground Pass,,7.8025637,,,,,Ousmane Dembélé,5477.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,3,Barcelona,217,['76364bd8-bf3c-4cd1-8b10-ecdb5fa358c7'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.288,Pass,,2017/2018
