ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.8879,,,,,,,,,,,,,02fdf6f8-dfda-472b-bb30-edaaf9496062,3240,,"[61.5, 55.2]",266230,75,,,,,0.057628427,,Head,,,,"[71.9, 55.8]",,High Pass,10.417294,,,,Juan Domínguez Lamas,24234.0,,,,,,Recovery,2,Regular Play,Alejandro Bergantiños García,23806.0,Right Defensive Midfield,137,RC Deportivo La Coruña,219,"['b7467d0f-1815-4480-84f6-aab922a13248', 'e49f35e7-abbf-4685-849a-3994fa56d5af']",52,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:30:52.474,Pass,,2014/2015
,,,,,,,,,,,,,,,1.7422,,,,,,,,,,,,,b6ca1ec5-de4b-40fc-9826-d16d9c124a21,3242,,"[71.9, 55.8]",266230,75,,,,,2.4516885,,Head,,,,"[57.6, 67.6]",,Low Pass,18.539957,,,,Juan Francisco Moreno Fuertes,6738.0,,,,,,,2,Regular Play,Juan Domínguez Lamas,24234.0,Center Attacking Midfield,137,RC Deportivo La Coruña,219,['cabc2688-06a6-40ca-a79f-e5360bfb1157'],53,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:30:53.362,Pass,,2014/2015
,,,,,,,,,,,,,,,1.737417,,,,,,,,,,,,,2488cc44-e4fb-4326-8b75-989be3d9a769,3246,,"[50.2, 65.6]",266230,75,,,,,-1.8760195,,Left Foot,,,,"[43.3, 43.7]",,Ground Pass,22.961271,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,,2,Regular Play,Juan Francisco Moreno Fuertes,6738.0,Right Back,137,RC Deportivo La Coruña,219,['8c26841a-6f60-419b-8d5f-65bc7efbdb3a'],56,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:30:56.191,Pass,,2014/2015
,,,,,,,,,,,,,,,2.634518,,,,,,,,,,,,,ca245f11-7bcc-49e7-a6df-98ab6e560d2c,3250,,"[40.9, 42.9]",266230,75,,,,,3.0691125,,Right Foot,,,,"[10.6, 45.1]",,Ground Pass,30.379763,,,,Fabricio Martín Agosto Ramírez,10277.0,,,,,,,2,Regular Play,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,137,RC Deportivo La Coruña,219,"['8c476cf5-a42d-45a9-a981-412338e362bf', 'ca19558f-ea4a-491d-8eeb-0c56a614bc3a']",57,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:30:57.969,Pass,True,2014/2015
,,,,,,,,,,,,,,,3.9095,,,,,,,,,,,,,89c24791-beba-4954-ba3c-348e3f27ff30,3254,,"[12.9, 44.9]",266230,76,,,,,-0.01545472,,Right Foot,,,,"[77.6, 43.9]",,High Pass,64.707726,,Incomplete,,,,,,,,,,2,Regular Play,Fabricio Martín Agosto Ramírez,10277.0,Goalkeeper,137,RC Deportivo La Coruña,219,"['4dc58167-7799-4dda-9c6e-b8acb12e538a', '6cd8cd3d-1995-4082-b576-5beaae1287fd']",0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:31:00.643,Pass,True,2014/2015
,,,,,,,,,,,,,,,2.5895,,,,,,,,,,,,,6cd8cd3d-1995-4082-b576-5beaae1287fd,3255,,"[42.5, 36.2]",266230,76,,,,,0.8020633,,Head,,,,"[54.3, 48.4]",,High Pass,16.97292,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,2,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,138,Barcelona,217,"['39ebdd94-d020-48f8-a282-c592c3a230ab', '89c24791-beba-4954-ba3c-348e3f27ff30']",4,,,,,,,,,,,,,,,,Barcelona,217,00:31:04.553,Pass,,2014/2015
,,,,,,,,,,,,,,,0.9885,,,,,,,,,,,,,aae349c1-7966-41a8-9165-4354562d9015,3257,,"[54.3, 48.4]",266230,76,,,,,-0.5456551,,Other,,,,"[59.9, 45.0]",,Low Pass,6.551336,,,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,138,Barcelona,217,['d6fec594-78f0-45e9-99d4-a6fed6510dc7'],7,,,,,,,,,,,,,,,,Barcelona,217,00:31:07.142,Pass,,2014/2015
,,,,,,,,,,,,,,,0.689,,,,,,,,,,,,,5fa88cbf-1f9b-4b15-a6cc-ec4b9c74c577,3262,,"[54.5, 32.9]",266230,76,,,,,-0.5933502,,Head,,,,"[58.8, 30.0]",,High Pass,5.186521,,Incomplete,,,,,,,,,Recovery,2,Regular Play,Alejandro Bergantiños García,23806.0,Right Defensive Midfield,138,Barcelona,217,['b104b4bf-fae1-4b8b-acf4-bd99d2b10de9'],9,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:31:09.613,Pass,,2014/2015
,,,,,,,,,,,,,,,1.1843,,,,,,,,,,,,,b104b4bf-fae1-4b8b-acf4-bd99d2b10de9,3263,,"[61.3, 50.1]",266230,76,,,,,-1.0832012,,Head,,,,"[64.8, 43.5]",,High Pass,7.470609,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Recovery,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,138,Barcelona,217,"['5a572964-48b8-403b-9ada-727470e57c7d', '5fa88cbf-1f9b-4b15-a6cc-ec4b9c74c577']",10,,,,,,,,,,,,,,,,Barcelona,217,00:31:10.302,Pass,,2014/2015
,,,,,,,,,,,,,,,0.8324,,,,,,,,,,,,,1a151755-0a26-4355-8c8b-7b1e0b8ff720,3267,,"[64.3, 44.9]",266230,76,,,,,-2.0888648,,Left Foot,,,,"[58.6, 34.9]",,Ground Pass,11.51043,,,,Javier Alejandro Mascherano,5506.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,138,Barcelona,217,"['ca7fa426-2567-4978-84c3-4e508ab00d83', 'e7698b6d-d827-45d9-aaba-23cf0c665924']",12,,,,,,,,,,,,,,,,Barcelona,217,00:31:12.636,Pass,True,2014/2015
