50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,2.3736,,,,,,,,,,,,,,,dcd4aa5d-56a0-4280-9e9c-6cd6b0cf4dd7,3719,,,"[26.0, 38.2]",267596,87,,,,,0.07751428,,Right Foot,,,"[36.3, 39.0]",,Ground Pass,,10.331021,,,,,Samuel Yves Umtiti,5492.0,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,169,Barcelona,217,['f29b63ff-89ed-4b52-90ec-8a4763947b95'],26,,,,,,,,,,,,,,,,Barcelona,217,00:42:26.696,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0279,,,,,,,,,,,,,,,28ac81e9-ece2-44e6-b49d-7978b2f8f16f,3721,,,"[36.3, 39.0]",267596,87,,,,,0.88546443,,Left Foot,,,"[47.5, 52.7]",,Ground Pass,,17.69548,,,,,Andrés Iniesta Luján,5216.0,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Right Center Back,169,Barcelona,217,['126de0e2-66ef-4c90-b371-1d2cd8653f25'],29,,,,,,,,,,,,,,,,Barcelona,217,00:42:29.069,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.604741,,,,,,,,,,,,,,,5f2f8a34-952e-437e-a85b-e9241a5d6c9e,3724,,,"[48.4, 45.0]",267596,87,,,,,-1.2864115,,Right Foot,,,"[56.0, 19.0]",,Ground Pass,,27.088005,,,,,Ivan Rakitić,5470.0,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,169,Barcelona,217,['cbb9d8c4-0d4e-4d17-9b9d-178b64a2c1e8'],32,,,,,,,,,,,,,,,,Barcelona,217,00:42:32.140,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.1154,,,,,,,,,,,,,,,06eb57bb-1bbb-43e5-9432-884f49fbcc54,3728,,,"[96.8, 15.5]",267596,87,,,,,1.237552,,Left Foot,,,"[97.7, 18.1]",,Ground Pass,,2.7513633,,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,169,Barcelona,217,"['779ebf9f-4d6d-4d24-9ca1-6dc7dffe9edb', '7cab7b5c-ae93-49d0-8e98-ba85aeba38d0']",40,,,,,,,,,,,,,,,,Barcelona,217,00:42:40.372,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.0885,,,,,,,,,,,,,,,c25b8729-e02c-46c0-857d-b3e05d245f2f,3731,,,"[99.9, 14.5]",267596,87,,,,,-2.5252957,,Right Foot,,,"[97.5, 12.8]",,Ground Pass,,2.9410882,,,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,2,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,169,Barcelona,217,['11c25f9d-bdc1-4ef5-8985-4409ee78ceb6'],41,,,,,,,,,,,,,,,,Barcelona,217,00:42:41.738,Pass,,2016/2017
,,,,,,,,,,,,,,,,0.7201,,,,,,,,,,,,,,,f6836e03-9037-4909-bd3b-d220b15f8932,3739,,,"[9.2, 70.8]",267596,87,,,,,-2.0763774,,Right Foot,,,"[6.1, 65.2]",,Ground Pass,,6.400781,,,,,Roberto Román Triguero,6914.0,,,,,,,2,Regular Play,Nabil El Zhar,6608.0,Right Midfield,169,Barcelona,217,"['5f715c29-e8c3-43c0-bc5d-d04786dcf114', 'a59a4925-46f0-4f93-979d-5a0917ce8ba0']",50,,,,,,,,,,,,,,,,Leganés,205,00:42:50.293,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.851438,,,,,,,,,,,,,,,a66a17e6-a6ce-4869-9f5c-7105b86f23a0,3742,,,"[6.1, 65.6]",267596,87,,,,,0.49464542,,Right Foot,,,"[31.5, 79.3]",,High Pass,,28.85914,,,Out,,,,,,,,,,2,Regular Play,Roberto Román Triguero,6914.0,Right Back,169,Barcelona,217,['81473471-39ba-42f3-af7e-11104d3d8d00'],51,,,,,,,,,,,,,,,,Leganés,205,00:42:51.013,Pass,True,2016/2017
,,,,,,,,,,,,,,,,1.3661,,,,,,,,,,,,,,,6d5f45d9-8577-452a-9da8-7f638fcd0aef,3743,,,"[91.7, 0.1]",267596,87,,,,,0.36902362,,,,,"[109.8, 7.1]",,Low Pass,,19.406443,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,170,Barcelona,217,['342270a2-2514-4452-af42-7de03a3bd654'],58,,,,,,,,,,,,,,,,Barcelona,217,00:42:58.381,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.315,,,,,,,,,,,,,,,8031449f-03fb-4be1-b71d-b3bbd0ee7204,3754,,,"[61.0, 40.1]",267596,90,,,,,-3.033176,,Right Foot,,,"[46.3, 38.5]",,Ground Pass,,14.7868185,,,,,Alberto Martín Romo García Adámez,24704.0,,,,,,Kick Off,2,From Kick Off,Miguel Ángel Guerrero Martín,6602.0,Center Forward,172,Leganés,205,['1e6466c4-5cc7-4a1e-93eb-ccb2c6e5c5a8'],8,,,,,,,,,,,,,,,,Leganés,205,00:45:08.126,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5379,,,,,,,,,,,,,,,fa104ef7-5eee-4ffa-a1c1-cc6a50ecd6ea,3757,,,"[46.3, 38.5]",267596,90,,,,,-1.5056711,,Right Foot,,,"[48.1, 10.9]",,Ground Pass,,27.658634,,,,,Diego Rico Salguero,6895.0,,,,,,,2,From Kick Off,Alberto Martín Romo García Adámez,24704.0,Center Defensive Midfield,172,Leganés,205,['fa71ac1c-c57f-44fb-858b-b457687b03ee'],10,,,,,,,,,,,,,,,,Leganés,205,00:45:10.144,Pass,,2016/2017
