bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,6cfc4e9c-a1cf-4f3d-806e-c01c5a5fe050,1733,,"[111.6, 58.2]",70286,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sofiane Feghouli,18724.0,Right Wing,83,Valencia,207,"['2950423f-6bfb-4f67-9af4-3e147cb1d86f', '50e94317-78cc-4997-a54c-9adfda5f4053']",13,,,,,,,,,,,,,,,,,,Valencia,207,00:38:13.995,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,b0e63f2a-9d6e-4932-9314-2a294dd76c5d,1907,,"[43.1, 7.9]",70286,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Andrés Guardado Hernández,5563.0,Left Wing,87,Valencia,207,['ec70e578-9172-48db-8242-d2d4d99863bc'],35,,,,,,,,,,,,,,,,,,Valencia,207,00:41:35.623,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,,,,eae55ac9-b4c4-43cf-9253-829184e2ffb3,1943,,"[90.7, 60.9]",70286,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,90,Barcelona,217,['8d1d1d05-b721-4782-af0e-f83f075c9d84'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:30.394,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,6d058b5e-eff6-4230-affe-bfb5373f1afd,1967,,"[100.1, 15.1]",70286,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,90,Barcelona,217,['ad3c9e16-ab4d-47b5-a57f-b2b4406209dd'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:47.361,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,daa700a6-81f1-4e6c-b9c6-f1f0be7c73f0,1987,,"[102.0, 21.2]",70286,43,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Soldado Rillo,26009.0,Center Forward,91,Valencia,207,['cf560671-0aa2-4e68-8b9b-4a68deb6f593'],5,,,,,,,,,,,,,,,,,,Valencia,207,00:43:05.590,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,a565a710-e7b8-4293-a511-24df5f476344,2080,,"[35.4, 11.5]",70286,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,94,Barcelona,217,['e623d1da-7bb9-46bf-835e-53af28d24a18'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:24.945,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,6db79c6d-8b82-42ae-b900-b37363a4bb90,2158,,"[49.5, 11.6]",70286,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alberto Facundo Costa,26728.0,Right Center Midfield,99,Valencia,207,['ba839f14-66b4-4b5d-8869-0b53dbf301cf'],40,,,,,,,,,,,,,,,,,,Valencia,207,00:00:40.527,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,True,,,0.0,,,,,,,,,,,,,e7b9c15b-bc20-4a0e-8c72-7c7d94d9c98c,2173,,"[97.6, 72.8]",70286,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Roberto Soldado Rillo,26009.0,Center Forward,99,Valencia,207,['e5207255-5569-4060-9400-4f85f12eca79'],55,,,,,,,,,,,,,,,,,,Valencia,207,00:00:55.358,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,,,,80d542bd-715f-46b6-9320-cb9fe630a92c,2205,,"[93.0, 47.0]",70286,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sofiane Feghouli,18724.0,Right Wing,99,Valencia,207,['fe226f7b-4f75-4c8c-8347-48adb0f9d6ad'],11,,,,,,,,,,,,,,,,,,Valencia,207,00:01:11.423,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,31f8aa34-a7c6-4e72-9e7a-363af9f0a44f,2222,,"[114.8, 70.5]",70286,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Roberto Soldado Rillo,26009.0,Center Forward,100,Valencia,207,['b4c14b4e-3e1c-41fe-95bf-5acc4f37ab5f'],41,,,,,,,,,,,,,,,,,,Valencia,207,00:01:41.082,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,f71d951e-8e26-4279-bd8f-fed6307d178d,2240,,"[84.7, 25.4]",70286,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jonas Gonçalves Oliveira,17083.0,Center Attacking Midfield,102,Valencia,207,['f5cf7a9f-3247-45d0-9145-372ab7524bb7'],49,,,,,,,,,,,,,,,,,,Valencia,207,00:02:49.487,Dribble,True,2012/2013
,,,,,,,,,,,,,True,Complete,,,,0.0,,,,,,,,,,,,,6dc3865f-f480-4486-a5f8-b35ac4813836,2263,,"[71.5, 62.7]",70286,48,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,103,Barcelona,217,"['265bfc91-b0b0-4aa7-9412-fed7e8a7cb4f', 'fed3029d-85db-4204-821d-0f0ba27d1bf2']",2,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:02.172,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,aa1d3b45-d05d-4096-abe4-599a9f98ca21,2345,,"[60.0, 50.6]",70286,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,105,Barcelona,217,['9c7d18fe-c757-44e9-9739-d049cdf03f4b'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:04:42.734,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,54567038-e04c-4099-b524-0108b0579838,2535,,"[93.5, 35.7]",70286,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,110,Barcelona,217,['32c170a7-b186-4a0e-87c4-e629eb5e8d62'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:39.750,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,2a78564a-f1da-40f7-8269-ae6996669b73,2549,,"[116.4, 64.8]",70286,53,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,110,Barcelona,217,['af836fa6-de38-44cb-bfd3-06456f0b9228'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:51.941,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,4b2689ee-b74c-44ed-9983-d41d0dd689b9,2767,,"[98.8, 6.7]",70286,58,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,115,Barcelona,217,['24d45b07-410b-4de9-bf4e-430c55417fb1'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:08.077,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,c5388df2-a3d5-4d71-8255-a815863f94e9,2807,,"[85.1, 48.7]",70286,58,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,122,Barcelona,217,['7a24bbec-7127-4742-9bc4-e025a2ab37ae'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:13:41.467,Dribble,True,2012/2013
,,,,,,,,,,,,,True,Incomplete,,,,0.0,,,,,,,,,,,,,2bd16b88-42b0-4e4d-ba09-360543f19983,2895,,"[30.8, 3.5]",70286,62,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,129,Barcelona,217,['91ced7e6-719a-4986-be0a-456fef1a7c8f'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:17:58.090,Dribble,True,2012/2013
,,,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,,ed5a52ef-cf49-4966-abed-16db435a7f05,2919,,"[57.7, 9.2]",70286,63,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,130,Barcelona,217,['700cb8db-4be2-4783-9aa1-127ec69f92a4'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:18:41.577,Dribble,True,2012/2013
,,,,,,,,,,,,,True,Complete,,,,0.0,,,,,,,,,,,,,bc313d3a-26b4-4529-8bdf-e0e358507d7a,3071,,"[23.6, 78.8]",70286,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,135,Barcelona,217,['43fcc749-7693-4ac8-89a8-2c4368337290'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:49.580,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,befe01c8-4771-426e-9ea2-86416043673c,3095,,"[118.3, 12.6]",70286,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,135,Barcelona,217,['ae8a1a86-ebb3-4dc5-9a7d-2e8398d22539'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:24.521,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,c4e75849-15ff-4a66-ba0b-d6ecb881e72e,3130,,"[109.6, 18.6]",70286,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,135,Barcelona,217,['2ab1e01a-9324-4e92-9dab-2a9b7fc8c55a'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:54.258,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,87666160-a634-4279-99a6-65e8e76f26a4,3218,,"[33.6, 37.6]",70286,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,139,Barcelona,217,['c33f66db-17f5-4039-b362-e27bcf5ba30c'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:24:50.512,Dribble,True,2012/2013
,,,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,c8559dc6-dbd9-45c5-8284-ffa7310492cc,3236,,"[103.1, 28.1]",70286,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,139,Barcelona,217,"['34a024c3-95bd-4304-b1e8-c401182652e1', 'b4df3c22-cc31-40af-a3f5-821efa34dc9e']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:25:04.185,Dribble,True,2012/2013
