bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,525545be-a008-436a-8c76-1693dcceb62b,1,,,265958,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,065b8683-3de0-4892-98be-a3d7d345aebb,2,,,265958,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b18f42fd-5d44-42fe-872a-363b21b72d5c,3,,,265958,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1edce6be-b439-4443-80b8-7b88704390d3'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1edce6be-b439-4443-80b8-7b88704390d3,4,,,265958,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b18f42fd-5d44-42fe-872a-363b21b72d5c'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,24863d57-c86c-4d3e-8620-ce41dcd528c9,1650,,,265958,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,88,Barcelona,217,['d81c1145-75fd-4196-a11a-f9b38aec8127'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d81c1145-75fd-4196-a11a-f9b38aec8127,1651,,,265958,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,88,Barcelona,217,['24863d57-c86c-4d3e-8620-ce41dcd528c9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,3.041801,,,,,,,,,,,,0920bfd2-9b48-4ad2-bb40-3e33cce80eb7,5,,"[61.0, 40.1]",265958,0,,,,2.6518161,,Left Foot,,"[32.3, 55.4]",,Ground Pass,,32.52353,,,,Enzo Pablo Roco Roco,16456.0,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['5d4e234a-7339-449b-bf77-cfa9ec9c3e96'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.103,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.8189,,,,,,,,,,,,2685f523-8bbc-4e08-ba77-96d35c9dee8b,8,,"[32.4, 55.6]",265958,0,,,,0.51778185,,Right Foot,,"[64.0, 73.6]",,High Pass,,36.36702,,Incomplete,,,,,,,,,1,From Kick Off,Enzo Pablo Roco Roco,16456.0,Right Center Back,2,Espanyol,214,['70d99f17-b61e-47e3-b3a4-1da7c6495f84'],3,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.264,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.8064,,,,,,,,,,,,70d99f17-b61e-47e3-b3a4-1da7c6495f84,9,,"[56.1, 6.5]",265958,0,,,,-2.9915102,,Right Foot,,"[35.6, 3.4]",,Low Pass,,20.733065,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,3,Barcelona,217,"['2685f523-8bbc-4e08-ba77-96d35c9dee8b', '63b5095b-2a54-4b3e-8c7a-5ec40dff08e3']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.083,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.017953,,,,,,,,,,,,b9de5aac-9cd4-4b4f-9ece-726f84aad60d,12,,"[32.9, 5.9]",265958,0,,,,2.770333,,Left Foot,,"[19.8, 11.0]",,Ground Pass,,14.057738,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['12398ac6-67e7-4cc5-a358-5851925c8d5f'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.814,Pass,,2015/2016
