50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37f4b10e-3d0c-4b6b-be84-6c4b8e63b711,1,,,,68358,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26168, 'name': 'Iago Bouzón Amodeo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 26174, 'name': 'Enrique Álvarez San Juan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15656, 'name': 'Roberto Luis Gaspar de Deus Severo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 26172, 'name': 'Hipólito Fernández Serrano'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 26171, 'name': 'Carlos Jorge Neto Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 26077, 'name': 'Antonio Jesús Vázquez Muñoz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26169, 'name': 'Javier Camuñas Gallego'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 26078, 'name': 'Aitor Tornavaca Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 25426, 'name': 'Marco Gastón Ruben Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26083, 'name': 'Florent Sinama-Pongolle'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Recreativo Huelva,1220,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d4dc06e-0daa-4e41-9087-2e072f1f0ea7,2,,,,68358,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 25949, 'name': 'Santiago Ezquerro Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42b0eb71-7edd-4ae4-926b-ed4886f21021,3,,,,68358,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,['b2c381fe-ec12-4f01-a42c-61a0af2f5fc0'],0,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2c381fe-ec12-4f01-a42c-61a0af2f5fc0,4,,,,68358,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,['42b0eb71-7edd-4ae4-926b-ed4886f21021'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d85a091-ce29-4a16-bad7-9582a9d7efc2,1712,,,,68358,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,110,Barcelona,217,['7f640010-b7f4-4d8e-9aa1-abea4222065c'],0,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7f640010-b7f4-4d8e-9aa1-abea4222065c,1713,,,,68358,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,110,Barcelona,217,['6d85a091-ce29-4a16-bad7-9582a9d7efc2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.140631,,,,,,,,,,,,,3922e933-4819-4134-a128-04e07d01946b,5,,,"[60.0, 40.0]",68358,0,,,,,-2.7776136,,Right Foot,,,"[53.7, 37.6]",,Ground Pass,,6.7416615,,,,Marco Gastón Ruben Rodríguez,25426.0,,,,,Kick Off,1,From Kick Off,Florent Sinama-Pongolle,26083.0,Center Forward,2,Recreativo Huelva,1220,['1280bce6-8875-48fc-a2a3-415fa31412db'],1,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:01.190,Pass,,2007/2008
,,,,,,,,,,,,,,1.325141,,,,,,,,,,,,,aa8e079b-a144-4eb4-902e-94a908a03bee,8,,,"[59.4, 38.4]",68358,0,,,,,-3.0021527,,Right Foot,,,"[53.7, 37.6]",,Ground Pass,,5.7558665,,,,Antonio Jesús Vázquez Muñoz,26077.0,,,,,,1,From Kick Off,Marco Gastón Ruben Rodríguez,25426.0,Center Attacking Midfield,2,Recreativo Huelva,1220,['21c5bda2-f6b5-4e59-94c5-c25ddf520895'],1,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:01.371,Pass,,2007/2008
,,,,,,,,,,,,,,1.586431,,,,,,,,,,,,,1c9ab501-8cde-4098-8829-215eba38ff6b,11,,,"[56.6, 37.1]",68358,0,,,,,-2.0899425,,Right Foot,,,"[43.4, 14.0]",,Ground Pass,,26.60545,,,,Hipólito Fernández Serrano,26172.0,,,,,,1,From Kick Off,Antonio Jesús Vázquez Muñoz,26077.0,Left Defensive Midfield,2,Recreativo Huelva,1220,['cae466b5-c2d2-4dfb-a9c8-21033abe448c'],3,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:03.625,Pass,,2007/2008
,,,,,,,,,,,,,,2.772893,,,,,,,,,,,,,36182297-93a8-46a5-b611-7dfc2a6feeb4,14,,,"[43.2, 14.2]",68358,0,,,,,2.059041,,Left Foot,,,"[28.7, 41.5]",,Ground Pass,,30.91181,,,,Roberto Luis Gaspar de Deus Severo,15656.0,,,,,,1,From Kick Off,Hipólito Fernández Serrano,26172.0,Left Back,2,Recreativo Huelva,1220,['1feb7bf9-9ebf-4988-b4c2-d5e6604eb066'],5,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:05.649,Pass,,2007/2008
,,,,,,,,,,,,,,1.548657,,,,,,,,,,,,,4f17ccc4-7b43-49ab-b1d0-945bfd7472d2,17,,,"[24.1, 43.4]",68358,0,,,,,1.2806697,,Right Foot,,,"[34.4, 77.9]",,Ground Pass,,36.004723,,,,Iago Bouzón Amodeo,26168.0,,,,,,1,From Kick Off,Roberto Luis Gaspar de Deus Severo,15656.0,Left Center Back,2,Recreativo Huelva,1220,['7c1764f2-06c8-4874-bbe5-2a1449567784'],8,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:08.678,Pass,,2007/2008
,,,,,,,,,,,,,,1.1416,,,,,,,,,,,,,b36c9eb9-8e0a-4140-b1f9-dd9df3f35f3c,21,,,"[88.1, 0.1]",68358,0,,,,,2.0968628,,,,,"[80.9, 12.5]",,Low Pass,,14.338758,,,,Eiður Smári Guðjohnsen,11270.0,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['7d5bfc47-a876-4f89-91ea-ba8099ee7a5f'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.123,Pass,,2007/2008
,,,,,,,,,,,,,,0.998134,,,,,,,,,,,,,8fafa872-156d-4894-86d1-2c5b8011f1a0,24,,,"[80.7, 12.7]",68358,0,,,,,-0.14110151,,Left Foot,,,"[98.3, 10.2]",,Ground Pass,,17.77667,,Incomplete,,Santiago Ezquerro Marín,25949.0,,,,,,1,From Throw In,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,3,Barcelona,217,"['7271d21c-e869-4939-b0ab-61139323f65a', 'c5406ed4-a1af-4b6b-9e92-879e3c4e69d7']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.396,Pass,,2007/2008
,,,,,,,,,,,,,,1.495495,,,,,,,,,,,,,2088bdfa-bc1a-49be-ac15-e63998447908,29,,,"[29.3, 75.0]",68358,0,,,,,-0.059305374,,Right Foot,,,"[61.3, 73.1]",,High Pass,,32.05636,,Incomplete,,Florent Sinama-Pongolle,26083.0,,,,,,1,Regular Play,Iago Bouzón Amodeo,26168.0,Right Back,4,Recreativo Huelva,1220,"['02b365ae-dece-440b-b028-979f4f257638', 'c1920a21-3259-4eb5-a65f-6909f718061e', 'f3ea12e2-f074-409d-8226-34d48c0475ef']",23,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:23.753,Pass,True,2007/2008
