ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,0.0,,,,,,,,,,,,,cc3ef847-9478-4848-83c0-4d3715bf1479,1,,,,69267,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Xerez,1219,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26397, 'name': 'Renan Brito Soares'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26615, 'name': 'Francisco Jesús Pérez Malia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 26610, 'name': 'Leandro Andrés Gioda'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26612, 'name': 'José Manuel Casado Bizcocho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26616, 'name': 'Sidi Yaya Keita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 26608, 'name': 'Carlos Calvo Sobrado'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 26617, 'name': 'Mario Bermejo Castanedo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Xerez,1219,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef362763-ec9a-4c35-acbb-c489057b6119,2,,,,69267,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Xerez,1219,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18608, 'name': 'Dmytro Chygrynskiy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2009/2010
,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f544984-5b86-42d0-bd7c-f3f0f1be4bfa,3,,,,69267,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Xerez,1219,['3f728e0b-d02f-469e-84dc-fdf675a74301'],0,,,,,,,,,,,,,,,,Xerez,1219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,0.0,,,,,,,,,,,,,3f728e0b-d02f-469e-84dc-fdf675a74301,4,,,,69267,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Xerez,1219,['1f544984-5b86-42d0-bd7c-f3f0f1be4bfa'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb10c28b-59a5-4cb4-bcb0-8105c24e346f,1571,,,,69267,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,116,Barcelona,217,['58e42086-ab1d-4e4b-87e0-ad0f531a5856'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,0.0,,,,,,,,,,,,,58e42086-ab1d-4e4b-87e0-ad0f531a5856,1572,,,,69267,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,116,Barcelona,217,['cb10c28b-59a5-4cb4-bcb0-8105c24e346f'],0,,,,,,,,,,,,,,,,Xerez,1219,00:00:00.000,Half Start,,2009/2010
,,,,,,,,,,,,0.886982,,,,,,,,,,,,,6125306c-0d83-483a-8de6-1793ea1f6f4c,5,,,"[60.0, 40.0]",69267,0,,,,,-0.8960554,,Right Foot,,,,"[60.8, 39.0]",,Ground Pass,,1.2806249,,,Thierry Henry,15516.0,,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Left Wing,2,Barcelona,217,['9dc6299d-9344-4331-bea1-c728ec4e855c'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.077,Pass,,2009/2010
,,,,,,,,,,,,0.58766,,,,,,,,,,,,,98f6e1ac-26b0-4482-ae4c-d92bfc0ffcf7,8,,,"[24.2, 69.1]",69267,0,,,,,-0.7557657,,Right Foot,,,,"[57.2, 38.0]",,Ground Pass,,45.34545,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,From Kick Off,Thierry Henry,15516.0,Center Forward,2,Barcelona,217,['4d473146-00df-405a-b673-ef6834b1fe52'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.082,Pass,,2009/2010
,,,,,,,,,,,,1.4839,,,,,,,,,,,,,1fe3804b-b6a7-43f3-a5ab-47eb1fd08c06,11,,,"[57.2, 38.0]",69267,0,,,,,3.0298157,,Right Foot,,,,"[47.4, 39.1]",,Ground Pass,,9.861542,,,Seydou Kéita,20169.0,,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,2,Barcelona,217,['f7d4c101-ea85-4612-83bc-141a0cb3c120'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.749,Pass,,2009/2010
,,,,,,,,,,,,1.391191,,,,,,,,,,,,,3f56eb45-b1e9-41b1-9a42-5395037ac716,14,,,"[51.5, 15.0]",69267,0,,,,,-1.7044486,,Left Foot,,,,"[49.9, 3.1]",,Ground Pass,,12.007081,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Left Center Midfield,2,Barcelona,217,['95643ae3-ffb7-4c42-8452-84e11152885f'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.913,Pass,,2009/2010
