50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.315458,,,,,,,,,,,,,7d61633d-331d-46a3-9da1-1c678d38c4d4,16,,,"[48.3, 29.7]",70259,0,,,,,2.0344439,,Right Foot,,,"[41.3, 43.7]",,Ground Pass,,15.652476,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['0ba6cab1-4985-4700-b721-0ef2d48343f8'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.098,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.15594,,,,,,,,,,,,,28e23876-f82b-4909-b53f-cac06765c5f0,19,,,"[54.3, 42.7]",70259,0,,,,,-1.7502605,,Right Foot,,,"[50.2, 20.1]",,Ground Pass,,22.968891,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['ed1daa89-61af-4537-822b-93fb654dc298'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.199,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.409613,,,,,,,,,,,,,4a82db28-7161-4a2b-81cf-fb9e1e533a4e,22,,,"[65.3, 24.1]",70259,0,,,,,1.9948777,,Right Foot,,,"[54.6, 47.8]",,Ground Pass,,26.003462,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['7ad249bb-daf4-4a0c-8e7b-cbffdf884847'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.155,Pass,,2012/2013
,,,,,,,,,,,,,,,,,0.858394,,,,,,,,,,,,,fd35bae9-206a-48df-a0b3-2fb910fa770e,25,,,"[54.3, 51.6]",70259,0,,,,,0.8179953,,Right Foot,,,"[63.2, 61.1]",,Ground Pass,,13.01768,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['16cbfa07-1d7a-416c-b863-4a5335eb0aad'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.589,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.001659,,,,,,,,,,,,,10616915-1c9a-4399-9d67-4fa01fed52e4,28,,,"[63.2, 61.1]",70259,0,,,,,-2.4479606,,Left Foot,,,"[54.3, 53.7]",,Ground Pass,,11.574541,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['c7c520dd-4aef-4a57-927f-44de7ba7064f'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.666,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.263109,,,,,,,,,,,,,d3d092a7-d402-4234-b000-0eb4169009df,31,,,"[50.5, 49.6]",70259,0,,,,,-1.3162193,,Right Foot,,,"[57.5, 22.7]",,Ground Pass,,27.795862,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['dc5143dc-811e-4565-aceb-b6fa82e6ff48'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.162,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.182588,,,,,,,,,,,,,9896a5be-026b-40df-92b1-ec5873cb0a4b,35,,,"[62.9, 27.8]",70259,0,,,,,1.5124434,,Right Foot,,,"[64.6, 56.9]",,Ground Pass,,29.149614,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,"['03a2a4f9-ad26-4384-ac6a-3a0acef4dada', 'e93dfc69-b292-415f-be98-6a1e13703309']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.821,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,1.762673,,,,,,,,,,,,,448a2f52-c527-484e-9efd-630a47a01a1e,38,,,"[55.0, 58.9]",70259,0,,,,,-1.8578787,,Left Foot,,,"[51.9, 48.4]",,Ground Pass,,10.948059,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['45571ba1-e079-40fe-94a2-5f95a0b31dd2'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.184,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.647485,,,,,,,,,,,,,49e0f39c-fd72-40dd-81f8-949fab2d8527,41,,,"[54.7, 44.1]",70259,0,,,,,-1.4636387,,Right Foot,,,"[57.4, 19.0]",,Ground Pass,,25.2448,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['fd1fd006-3660-4bab-a333-607c11552e5e'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.972,Pass,,2012/2013
,,,,,,,,,,,,,,,,,1.340471,,,,,,,,,,,,,d9a1379c-5ba5-436d-b64a-6fbdd1bb9680,44,,,"[72.8, 17.6]",70259,0,,,,,-1.3404746,,Right Foot,,,"[76.2, 3.1]",,Ground Pass,,14.893287,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['da8be0d3-50bc-4df1-9d80-333e34de54dc'],41,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.782,Pass,,2012/2013
