50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,3.914,,,,,,,,,,,4d72b4bc-83ed-44e7-b1e9-eba9b5063a45,1221,,"[7.0, 44.1]",69166,32,,,,,-0.17716223,,Right Foot,,,"[75.7, 31.8]",,High Pass,,69.792404,Incomplete,,Hugo Mariano Pavone,26466.0,,,,,Goal Kick,1,From Goal Kick,Juan Gutiérrez Moreno,20519.0,Right Center Back,62,Real Betis,218,"['4f39e988-50be-4c06-872d-0438dcecf157', 'ed2b658e-33e4-4831-b655-624717ea5464']",10,,,,,,,,,,,,,,,,,Real Betis,218,00:32:10.245,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.4716,,,,,,,,,,,8906935e-8e9d-4a4e-a153-c3e9bfb9af73,1228,,"[78.8, 4.7]",69166,32,,,,,2.7133286,,Right Foot,,,"[69.6, 8.9]",,Ground Pass,,10.113358,,,Marko Babić,26469.0,,,,,,1,From Goal Kick,Mark Dennis González Hoffmann,25908.0,Left Wing,62,Real Betis,218,['fc69b4ec-199e-4f05-9a4d-8135253e84ef'],19,,,,,,,,,,,,,,,,,Real Betis,218,00:32:19.561,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.129491,,,,,,,,,,,870fd59b-2bc1-4dd3-ac7a-f0de5bfff5c3,1238,,"[32.3, 64.5]",69166,32,,,,,-2.924094,,Right Foot,,,"[14.2, 60.5]",,Ground Pass,,18.53672,,,Lilian Thuram,15071.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,63,Barcelona,217,['51d09d20-687c-4ba0-a2ca-df5d1ffbd68a'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:32:25.168,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.272137,,,,,,,,,,,5b0495c1-89a5-4fc7-8ea6-6d4ccd41efdd,1243,,"[12.5, 57.9]",69166,32,,,,,-1.983796,,Right Foot,,,"[4.7, 40.1]",,Ground Pass,,19.43399,,,Víctor Valdés Arribas,20176.0,,,,,,1,Regular Play,Lilian Thuram,15071.0,Right Center Back,63,Barcelona,217,"['0323895e-1a3b-4b57-b3fe-7e24fc9b21a8', 'ac37176a-1cfa-4a46-9671-f75263774268']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:32:32.649,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,1.568795,,,,,,,,,,,c02a32e7-7fed-4355-b9f4-27311e3c85d3,1246,,"[4.7, 40.1]",69166,32,,,,,-1.0966228,,Right Foot,,,"[14.4, 21.2]",,Ground Pass,,21.243822,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,63,Barcelona,217,"['0323895e-1a3b-4b57-b3fe-7e24fc9b21a8', '6f8cf003-0e3b-44ed-a6d2-255df7c91a3e']",34,,,,,,,,,,,,,,,,,Barcelona,217,00:32:34.161,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,2.00411,,,,,,,,,,,92bc6576-3446-4216-bd95-fcb486845ae8,1249,,"[14.4, 21.2]",69166,32,,,,,0.7332068,,Left Foot,,,"[42.6, 46.6]",,High Pass,,37.952602,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,63,Barcelona,217,['afe691e8-d72d-4291-9b61-d4adffabd967'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:32:38.447,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.8595,,,,,,,,,,,d63506e5-a310-456c-a6f2-bd31c5343169,1253,,"[47.4, 42.4]",69166,32,,,,,-0.73145485,,Right Foot,,,"[71.8, 20.5]",,Ground Pass,,32.786736,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,63,Barcelona,217,"['0c109721-0c19-46e0-9d19-2fb6640efe08', 'ccc79966-bff9-4038-a908-9125bc69045e']",42,,,,,,,,,,,,,,,,,Barcelona,217,00:32:42.347,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,2.1925,,,,,,,,,,,e73206c6-97db-4360-9f4d-6946fc4d0dc3,1259,,"[80.6, 21.6]",69166,32,,,,,0.5917762,7393f6ae-0204-4610-a3eb-3d61293023dc,Left Foot,,,"[105.0, 38.0]",True,Ground Pass,,29.39932,,,Thierry Henry,15516.0,,,Through Ball,True,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,63,Barcelona,217,['3ff084e7-0bbb-4b8d-ad68-fc7a9d7f4fd8'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:32:47.059,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.593029,,,,,,,,,,,8e7d4b17-7558-4d48-a9b4-4c8aac983dbd,1263,,"[61.0, 40.1]",69166,33,,True,,,-2.3996453,,Right Foot,,,"[58.6, 37.9]",,Ground Pass,,3.255764,,,Alberto Rivera Pizarro,25893.0,,,,,Kick Off,1,From Kick Off,Hugo Mariano Pavone,26466.0,Center Forward,64,Real Betis,218,['efccc137-32e8-47df-857b-55c1ec84fded'],55,,,,,,,,,,,,,,,,,Real Betis,218,00:33:55.696,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.083091,,,,,,,,,,,588ef7aa-3e95-45d6-8737-ae99ec1dec1d,1265,,"[58.2, 40.0]",69166,33,,,,,-2.7142193,,Right Foot,,,"[48.1, 35.4]",,Ground Pass,,11.098198,,,Leandro Daniel Somoza,26467.0,,,,,,1,From Kick Off,Alberto Rivera Pizarro,25893.0,Center Attacking Midfield,64,Real Betis,218,['9337c70d-3292-4911-b763-66b6abaec9fc'],57,,,,,,,,,,,,,,,,,Real Betis,218,00:33:57.720,Pass,,2007/2008
