50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.1159,,,,,,,,,,,,,d059d60e-af66-464f-9ef8-fa63ba0c414c,18,,"[48.8, 17.8]",266477,0,,,,,-0.952062,,Left Foot,,,,"[57.7, 5.3]",,Ground Pass,,15.344706,,,Incomplete,,Roberto Soriano,6759.0,,,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Left Center Midfield,2,Villarreal,222,"['3d83a5b1-9971-4aff-8495-6fa0595c611f', '9d535816-cabd-4943-99a9-2908a2b23018', 'a09652aa-d707-43ae-b93b-6909d785ff60']",9,,,,,,,,,,,,,,,,Villarreal,222,00:00:09.420,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.7283,,,,,,,,,,,,,3b09e9a1-91d1-4dce-8ef3-1be4f7fa3d75,21,,"[54.8, 0.1]",266477,0,,,,,0.24396856,,,,,,"[78.1, 5.9]",,High Pass,,24.01104,,,Incomplete,,Alexandre Rodrigues da Silva,25351.0,,,,,,Throw-in,1,From Throw In,Jaume Vicent Costa Jordá,6828.0,Left Back,3,Villarreal,222,"['4490160d-9986-4437-af01-2bc11fd3edb3', '53a7d30c-250f-49e6-8d0d-b3d1eb382925']",21,,,,,,,,,,,,,,,,Villarreal,222,00:00:21.097,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.6383,,,,,,,,,,,,,4490160d-9986-4437-af01-2bc11fd3edb3,23,,"[42.0, 74.2]",266477,0,,,,,-0.48803303,,Head,,,,"[50.1, 69.9]",,High Pass,,9.170606,,,Incomplete,,André Filipe Tavares Gomes,10802.0,,,,,,Recovery,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Villarreal,222,"['3b09e9a1-91d1-4dce-8ef3-1be4f7fa3d75', 'b8074497-46d0-4e4b-a901-4c037d2bda9a', 'f0ec7873-97a3-47d4-86d9-acb132d4cf70']",22,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.825,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.201,,,,,,,,,,,,,f0ec7873-97a3-47d4-86d9-acb132d4cf70,25,,"[70.0, 10.2]",266477,0,,,,,1.0402384,,Head,,,,"[78.8, 25.2]",,High Pass,,17.390802,,,Incomplete,,Nicola Sansone,6859.0,,,,,,Recovery,1,From Throw In,Bruno Soriano Llido,22819.0,Left Center Midfield,3,Villarreal,222,"['01a53ef3-97b8-49cf-a2cc-3a735465d5c3', '4490160d-9986-4437-af01-2bc11fd3edb3', '4c9eee96-3a23-4c78-93e3-d5b7f2798f31']",24,,,,,,,,,,,,,,,,Villarreal,222,00:00:24.463,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.8256,,,,,,,,,,,,,01a53ef3-97b8-49cf-a2cc-3a735465d5c3,28,,"[41.3, 54.9]",266477,0,,,,True,0.96431535,,,,,,"[49.0, 66.0]",,High Pass,,13.509256,,,,,André Filipe Tavares Gomes,10802.0,,,,,,Recovery,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,"['1856a786-33d9-4b65-b74e-1e636f9880cf', 'b833d616-c32b-4dbe-a9c9-94ca5c154fb4', 'f0ec7873-97a3-47d4-86d9-acb132d4cf70']",25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.664,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.907899,,,,,,,,,,,,,322838d4-6e30-408e-97eb-1ea37e7f6644,31,,"[50.4, 66.6]",266477,0,,,,True,0.0,,,,,,"[60.1, 66.6]",,High Pass,,9.7,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Right Center Midfield,4,Barcelona,217,"['235b6f9e-7ffe-48eb-aa3f-bcd2c3585f75', 'a92fb899-172f-4aa8-a72e-3d261cdd1063']",28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.490,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.0677,,,,,,,,,,,,,9aaf9ddb-af70-4296-ad18-203b24b11b96,34,,"[59.2, 67.9]",266477,0,,,,,-2.0874915,,Head,,,,"[54.2, 59.1]",,High Pass,,10.121264,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,"['8a712986-8548-4a84-9839-a51fc4134880', 'b9a9a04c-ab55-4e1e-98a2-4f05bdd217d6']",29,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.402,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,4.8441,,,,,,,,,,,,,6dd9a5f0-342b-44df-b8d3-3fa807af79b0,36,,"[54.1, 58.9]",266477,0,,,,,-1.5345219,,Right Foot,,,,"[55.9, 9.3]",,High Pass,,49.632652,,,,,Lucas Digne,6849.0,,,True,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['2408fc72-e845-4c3c-a16b-98d1ea4c40e9'],30,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.470,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.6447,,,,,,,,,,,,,23f8829e-0b6c-4f73-bcd6-8b49356125a0,39,,"[55.6, 6.8]",266477,0,,,,,0.9425612,,Head,,,,"[63.3, 17.4]",,High Pass,,13.101526,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Lucas Digne,6849.0,Left Back,4,Barcelona,217,"['c1159325-8e67-4a74-9d6a-cdad7693b23d', 'e904f707-6abc-489f-962d-d5641b7ce461']",35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.314,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.4519,,,,,,,,,,,,,f04ddf29-673b-4e6a-8e5f-f9d32d61de5b,41,,"[63.3, 17.4]",266477,0,,,,,1.237552,,Head,,,,"[66.9, 27.8]",,Low Pass,,11.005453,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['155db7a4-0df0-406b-8444-c76947275a61'],36,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.958,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.5819,,,,,,,,,,,,,1fc3d3f8-c6fa-4160-be68-600b5f7b2745,44,,"[67.2, 27.9]",266477,0,,,,,-2.8833404,,Right Foot,,,,"[61.9, 26.5]",,Low Pass,,5.481788,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,4,Barcelona,217,['dbe28fea-5e0e-45d1-9976-b309c019c495'],38,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.410,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.8754,,,,,,,,,,,,,13e5c61d-2153-4fd6-9992-4eea937e80e1,47,,"[61.9, 26.5]",266477,0,,,,,-0.80667156,,Right Foot,,,,"[64.2, 24.1]",,Low Pass,,3.3241541,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,['110c7d02-54ac-449e-b782-9ba5dc76e655'],39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.072,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.642,,,,,,,,,,,,,24b3406b-56d0-4995-bc33-c8bdcecc2d7d,49,,"[64.2, 26.1]",266477,0,,,,,-1.1615504,,Right Foot,,,,"[67.8, 17.8]",,Low Pass,,9.047099,,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,4,Barcelona,217,"['0297c116-22ae-4f10-bbba-cb64a9bb6fd4', '6c0b5900-9d22-4cf1-8bdc-4af889a72ad6']",39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.948,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.473757,,,,,,,,,,,,,6c0b5900-9d22-4cf1-8bdc-4af889a72ad6,51,,"[52.3, 62.3]",266477,0,,,,,2.7849724,,Head,,,,"[47.2, 64.2]",,Low Pass,,5.4424257,,,,,Mario Gaspar Pérez Martínez,6772.0,,,,,,Recovery,1,Regular Play,Jonathan dos Santos Ramírez,6357.0,Right Midfield,5,Villarreal,222,"['24b3406b-56d0-4995-bc33-c8bdcecc2d7d', 'dd8ddcc3-8ad0-4c7b-accc-0952edcc3171']",40,,,,,,,,,,,,,,,,Villarreal,222,00:00:40.590,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.9721,,,,,,,,,,,,,e8a009dc-e8f2-44ac-a93a-ef3a92e219ec,54,,"[42.9, 59.1]",266477,0,,,,,-2.981783,,Right Foot,,,,"[12.5, 54.2]",,Ground Pass,,30.79237,,,,,Sergio Asenjo Andrés,6755.0,,,,,,,1,Regular Play,Mario Gaspar Pérez Martínez,6772.0,Right Back,5,Villarreal,222,['b5ed82b8-aaa6-4a7e-8773-708ca6750450'],42,,,,,,,,,,,,,,,,Villarreal,222,00:00:42.513,Pass,,2016/2017
,,,,,,,,,,,,,,,,,4.1557,,,,,,,,,,,,,7563c0e0-928c-40a8-bfdd-f3f53d4ce211,57,,"[12.5, 54.2]",266477,0,,,,,0.10190146,,Right Foot,,,,"[79.0, 61.0]",,High Pass,,66.84676,,,,,Alexandre Rodrigues da Silva,25351.0,,,,,,,1,Regular Play,Sergio Asenjo Andrés,6755.0,Goalkeeper,5,Villarreal,222,['a57fe883-7cb5-4316-afed-babb47ac03ac'],45,,,,,,,,,,,,,,,,Villarreal,222,00:00:45.525,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.8832,,,,,,,,,,,,,7e929620-bcfb-47d7-a184-797ac1a5cf8b,62,,"[26.5, 24.8]",266477,0,,,,,-1.3306253,,Right Foot,,,,"[28.9, 15.0]",,Low Pass,,10.089599,,,,,Lucas Digne,6849.0,,,,,,Recovery,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,"['29bcb110-445f-4888-b717-f3c845153b9e', 'ff6c5895-b6ab-44bc-b420-3c5579beb3ce']",51,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.541,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.9581,,,,,,,,,,,,,3689b5ef-369d-4def-baf4-ec99f3c46c7c,65,,"[21.7, 16.9]",266477,0,,,,,2.5863652,,Left Foot,,,,"[3.0, 28.5]",,Ground Pass,,22.005682,,,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Lucas Digne,6849.0,Left Back,6,Barcelona,217,"['33cf01c1-1b86-46b4-89b6-296d9beb5c5c', '92112c5b-52c9-4b8b-aad9-89df42d578e0']",53,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.424,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,3.9579,,,,,,,,,,,,,0baf0d82-f979-49a8-98cd-549847381225,68,,"[5.0, 27.8]",266477,0,,,,,-0.74969906,,Left Foot,,,,"[34.0, 0.8]",,High Pass,,39.623226,,,Out,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,6,Barcelona,217,['214c69f7-f2ec-4ee5-8202-0dc97b5c646d'],55,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.382,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.2736,,,,,,,,,,,,,79369772-63ef-41e0-a13d-902f0b1694f4,70,,"[87.9, 80.0]",266477,1,,,,,-1.0954534,,,,,,"[94.9, 66.4]",,Low Pass,,15.295751,,,,,Alexandre Rodrigues da Silva,25351.0,,,,,,Throw-in,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,7,Villarreal,222,['d679ffb5-7814-4ce8-8963-46fd5920b114'],8,,,,,,,,,,,,,,,,Villarreal,222,00:01:08.001,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.069024,,,,,,,,,,,,,fa77d5db-40b2-477a-a2df-3af4542c6bc0,80,,"[120.0, 80.0]",266477,1,,,,,-2.7621129,,Right Foot,,,,"[103.2, 73.3]",,Ground Pass,,18.086735,,,,,Jonathan dos Santos Ramírez,6357.0,,,,,,Corner,1,From Corner,Manuel Trigueros Muñoz,6771.0,Right Center Midfield,8,Villarreal,222,['e45a4864-6e5a-4523-b49a-dd44e2208a6f'],39,,,,,,,,,,,,,,,,Villarreal,222,00:01:39.010,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.2677,,,,,,,,,,,,,c1a73cde-a505-4d05-9afc-4e4492bf6f80,83,,"[103.8, 72.7]",266477,1,,,,,-1.4485421,,Right Foot,True,,,"[107.4, 43.4]",,High Pass,,29.520332,,,Incomplete,,,,,,,,,,1,From Corner,Jonathan dos Santos Ramírez,6357.0,Right Midfield,8,Villarreal,222,['e6605546-2d9e-467a-9147-25543db55bd8'],42,,,,,,,,,,,,,,,,Villarreal,222,00:01:42.697,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.9017,,,,,,,,,,,,,376ebf41-5cbc-47a7-970a-6f794c6cd60c,86,,"[83.9, 48.5]",266477,1,,,,True,0.96850896,,,,,,"[91.6, 59.7]",,High Pass,,13.591541,,,,,Jonathan dos Santos Ramírez,6357.0,,,,,,Recovery,1,From Corner,Roberto Soriano,6759.0,Left Midfield,8,Villarreal,222,"['75ad33cc-6a01-4e48-b250-6c3c7587fafc', 'a393c0e6-7d22-4fb4-a902-87d499cba1c8']",46,,,,,,,,,,,,,,,,Villarreal,222,00:01:46.398,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.517507,,,,,,,,,,,,,0314adc7-d5a5-4507-9208-ebe05112b871,88,,"[91.2, 59.9]",266477,1,,,,,1.6769531,,Head,,,,"[89.9, 72.1]",,Low Pass,,12.269067,,,,,Manuel Trigueros Muñoz,6771.0,,,,,,,1,From Corner,Jonathan dos Santos Ramírez,6357.0,Right Midfield,8,Villarreal,222,['79052680-375a-48a1-b8b5-b190c8d20699'],48,,,,,,,,,,,,,,,,Villarreal,222,00:01:48.379,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.074057,,,,,,,,,,,,,e41695c8-d24a-40c6-9638-85546a0f7424,91,,"[91.0, 73.9]",266477,1,,,,,-0.68627656,,Left Foot,,,,"[110.9, 57.6]",,High Pass,,25.72353,,,,,Jonathan dos Santos Ramírez,6357.0,,,,Through Ball,True,,1,From Corner,Manuel Trigueros Muñoz,6771.0,Right Center Midfield,8,Villarreal,222,['9f195697-6d5c-4683-a73b-a38f6008e63d'],50,,,,,,,,,,,,,,,,Villarreal,222,00:01:50.436,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.802,,,,,,,,,,,,,faad1fd1-678b-4af4-91a3-87c825d378fb,96,,"[6.0, 36.0]",266477,2,,True,,,-0.595918,,Right Foot,,,,"[14.7, 30.1]",,Ground Pass,,10.511898,,,,,Javier Alejandro Mascherano,5506.0,,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,9,Barcelona,217,['7e88d013-e129-423c-b393-b691333f6252'],12,,,,,,,,,,,,,,,,Barcelona,217,00:02:12.304,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.3795,,,,,,,,,,,,,559758fb-29f0-40b4-8907-816f22598178,98,,"[15.0, 33.6]",266477,2,,True,,,-3.0388627,,Right Foot,,,,"[5.3, 32.6]",,Ground Pass,,9.7514105,,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,9,Barcelona,217,['ba8d64a7-c011-4922-b977-e931601c8fd6'],13,,,,,,,,,,,,,,,,Barcelona,217,00:02:13.216,Pass,,2016/2017
,,,,,,,,,,,,,,,,,3.1249,,,,,,,,,,,,,43402eb6-04f3-4c6c-8eaa-34bff4df37c1,101,,"[4.7, 31.2]",266477,2,,,,,-0.26485002,,Left Foot,,,,"[53.0, 18.1]",,High Pass,,50.04498,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,9,Barcelona,217,"['423cb5cf-a588-4f93-af8a-744b7d4078ba', 'c7337afd-5d3e-4821-a669-842affddd46b']",14,,,,,,,,,,,,,,,,Barcelona,217,00:02:14.595,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.446543,,,,,,,,,,,,,98e60379-60c4-486f-ba71-85dfa4e3bdf3,108,,"[68.7, 51.4]",266477,2,,,,,0.05352027,,Left Foot,,,,"[79.9, 52.0]",,Ground Pass,,11.21606,,,Incomplete,,Manuel Trigueros Muñoz,6771.0,,,,,,,1,From Goal Kick,Bruno Soriano Llido,22819.0,Left Center Midfield,9,Barcelona,217,"['178bcd80-5c0b-439f-b2a8-1419e17650e2', 'e01d2337-bd76-4184-9057-4c448826f536']",20,,,,,,,,,,,,,,,,Villarreal,222,00:02:20.574,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.4136,,,,,,,,,,,,,d7c2c19e-1dbf-47ae-a005-3442578c769c,112,,"[45.6, 25.9]",266477,2,,,,,1.1517925,,Right Foot,,,,"[56.2, 49.7]",,Ground Pass,,26.053791,,,,,André Filipe Tavares Gomes,10802.0,,,,,,,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,9,Barcelona,217,['31e3c65d-0b1b-4fe8-b425-7dcadc0249f9'],23,,,,,,,,,,,,,,,,Barcelona,217,00:02:23.669,Pass,,2016/2017
