ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.589137,,,,,,,,,,,,,,2ab706d3-0911-40ba-b91d-98b11faf4aa3,16,,"[24.5, 28.9]",69222,0,,,,,-0.13298965,,Left Foot,,,,"[54.4, 24.9]",,High Pass,,30.166372,,Incomplete,,,,,,,,,,1,From Kick Off,Andrés Lamas Bervejillo,26644.0,Left Center Back,2,Recreativo Huelva,1220,['904078cd-3683-4340-9215-985c4a2fc33c'],12,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:12.785,Pass,,2008/2009
,,,,,,,,,,,,,,,1.839976,,,,,,,,,,,,,,c52a8e2a-0faa-47a9-ab07-a7f1b5a1d8c8,20,,"[68.2, 57.5]",69222,0,,,,,-2.0050406,,Right Foot,,,,"[65.0, 50.6]",,High Pass,,7.605919,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,3,Barcelona,217,"['48b0cd0e-867b-485e-b41a-9299945d2ba9', 'c7e7e403-adb8-4ab1-8f41-2cfc6a6aed4e']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.210,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.5525,,,,,,,,,,,,,,e8eadac5-54a2-4cf3-b484-6006e1909e5c,23,,"[64.6, 52.5]",69222,0,,,,,0.8960554,,Other,,,,"[67.4, 56.0]",,Low Pass,,4.482187,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['60d98bbb-c8b3-47fe-bc87-61f24ae7a82a', 'c8e50edd-0259-4d41-a269-297c16543103']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.209,Pass,,2008/2009
,,,,,,,,,,,,,,,0.8236,,,,,,,,,,,,,,4b702fc2-0c79-42e3-b7ae-c216daaf628a,27,,"[62.5, 74.3]",69222,0,,,,,0.09065989,,Right Foot,,,,"[72.4, 75.2]",,Ground Pass,,9.9408245,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['bc040427-a200-4df5-817e-85f44ddf04d5'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.923,Pass,,2008/2009
,,,,,,,,,,,,,,,0.567831,,,,,,,,,,,,,,3226f7c3-f906-4d36-aaca-e14609185109,31,,"[73.3, 74.7]",69222,0,,,,,2.082027,,Right Foot,,,,"[71.0, 78.8]",,Ground Pass,,4.7010636,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['1024cfc3-c837-4b31-b006-237e5c169177', 'bf0a0b19-d83b-466d-ae74-faea092ca555']",21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.786,Pass,True,2008/2009
,,,,,,,,,,,,,,,0.787744,,,,,,,,,,,,,,f00a00c0-e04c-4672-adcf-641c25cf0421,39,,"[42.0, 12.8]",69222,0,,,,,2.223643,,Right Foot,,,,"[35.5, 21.3]",,Ground Pass,,10.700467,,,,Javier Fuego Martínez,6751.0,,,,,,,1,Regular Play,Javier Camuñas Gallego,26169.0,Left Midfield,4,Recreativo Huelva,1220,"['5ad53b4f-edb2-4076-8736-9019ac8b58a8', 'b527bd72-5c8e-4557-b9d3-45d7f1330492']",26,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:26.965,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.3301,,,,,,,,,,,,,,51aebd40-ca51-46ad-98f7-d86a86717e02,42,,"[37.1, 20.9]",69222,0,,,,,-2.0872793,,Right Foot,,,,"[32.5, 12.8]",,Ground Pass,,9.315042,,,,Andrés Lamas Bervejillo,26644.0,,,,,,,1,Regular Play,Javier Fuego Martínez,6751.0,Left Defensive Midfield,4,Recreativo Huelva,1220,"['5ad53b4f-edb2-4076-8736-9019ac8b58a8', '9025cc94-ed1a-4c3d-9ace-1fc38aafdf81']",27,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:27.905,Pass,True,2008/2009
,,,,,,,,,,,,,,,0.621892,,,,,,,,,,,,,,aaacf260-d0ca-489d-bc87-bd10be5930ce,45,,"[32.2, 17.1]",69222,0,,,,,0.096253365,,Right Foot,,,,"[46.7, 18.5]",,Ground Pass,,14.56743,,Incomplete,,Javier Camuñas Gallego,26169.0,,,,,,,1,Regular Play,Andrés Lamas Bervejillo,26644.0,Left Center Back,4,Recreativo Huelva,1220,"['4456bb76-59ac-4ab0-9cdb-37169fa38f97', '4f001626-4d18-4ce4-a4c4-8912975fd6ba']",29,,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:29.315,Pass,,2008/2009
,,,,,,,,,,,,,,,2.108685,,,,,,,,,,,,,,6b7d39ac-2a6d-4b21-8e93-eb417094f860,49,,"[74.3, 62.9]",69222,0,,,,,-2.1447048,,Right Foot,,,,"[54.0, 31.5]",,Ground Pass,,37.390507,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['6a916984-4a84-48b2-9f1c-be773222e933'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.535,Pass,,2008/2009
,,,,,,,,,,,,,,,1.984965,,,,,,,,,,,,,,b22e56af-29a0-411a-ae34-f27e62817e47,52,,"[58.2, 30.0]",69222,0,,,,,-0.82695836,,Left Foot,,,,"[82.4, 3.7]",,Ground Pass,,35.739754,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,5,Barcelona,217,['790567ed-d252-4cc4-9daa-6c49321a700f'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.568,Pass,,2008/2009
