50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,"[86.6, 68.4]",,,,,,,,,,,,1.845577,,,,,,,,,,,,,bbbcb603-73df-4b65-9e84-be0adf129439,2613,,,"[65.3, 73.3]",3825637,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Munir El Haddadi Mohamed,6616.0,Right Wing,170,Barcelona,217,"['0fce75a7-b5ad-4807-91ca-029851a4984d', '884b24bb-0dd3-4fdf-b410-2cbb783c85a8']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:26:56.173,Carry,,2015/2016
,,,,,,"[56.5, 66.6]",,,,,,,,,,,,1.754971,,,,,,,,,,,,,be09bac5-c831-475b-a780-1d1fd66be87b,2621,,,"[56.6, 66.7]",3825637,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Gontán Gallardo,6742.0,Right Wing,171,Eibar,322,"['7547da68-6ede-4ad2-a574-1323d4e7ce74', 'afa83a80-99f8-46b9-a564-af7739aab2cb', 'b0257c9c-86c8-4b89-975b-d5425430e1e0']",7,,,,,,,,,,,,,,,,,Eibar,322,00:27:07.127,Carry,True,2015/2016
,,,,,,"[52.0, 62.9]",,,,,,,,,,,,0.894349,,,,,,,,,,,,,724ed84a-5615-4c42-9886-25d7ade1b482,2624,,,"[52.0, 62.9]",3825637,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gonzalo Escalante,6712.0,Right Defensive Midfield,171,Eibar,322,"['140ae76d-2b9a-431c-b16c-51b7c9fb1d68', 'bc66e655-af63-4a31-8ace-c7c3a3c2f8be']",9,,,,,,,,,,,,,,,,,Eibar,322,00:27:09.596,Carry,,2015/2016
,,,,,,"[58.9, 73.7]",,,,,,,,,,,,1.216424,,,,,,,,,,,,,ba5375fe-7eae-4658-8626-e6d1bd53bca5,2627,,,"[62.0, 75.3]",3825637,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Gontán Gallardo,6742.0,Right Wing,171,Eibar,322,"['8bb97d68-87d7-4bf7-8c25-d6bdbb1cad79', '8f223726-7259-410e-8cee-e0bcebb14d0b', 'a7368488-9025-4410-a98d-d2e5679b0a18']",11,,,,,,,,,,,,,,,,,Eibar,322,00:27:11.219,Carry,True,2015/2016
,,,,,,"[79.4, 77.4]",,,,,,,,,,,,0.563788,,,,,,,,,,,,,ec2ef7df-787d-491f-b5ad-4da8bacedafa,2633,,,"[79.2, 74.2]",3825637,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Enrich Ametller,6700.0,Center Attacking Midfield,171,Eibar,322,"['79c738da-d04f-483b-9556-023c89bd0fe6', 'bcb1d849-a5ed-4571-9fc3-8c81cd14008b', 'f84b1e94-9603-42a6-a4ca-5e9cb255891b']",15,,,,,,,,,,,,,,,,,Eibar,322,00:27:15.014,Carry,True,2015/2016
,,,,,,"[79.2, 43.2]",,,,,,,,,,,,0.518547,,,,,,,,,,,,,1f469cbd-f347-42da-8574-fb29fb9e4d32,2657,,,"[79.3, 44.0]",3825637,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Borja González Tomás,6566.0,Center Forward,174,Eibar,322,"['5222c9fb-4dc5-4ac3-bc6f-63224381c200', '86f9de4f-ae4c-4e7d-a4eb-dddb7c55e86d', 'ac1bd02a-7e95-4876-808a-fda7d00639cb']",31,,,,,,,,,,,,,,,,,Eibar,322,00:28:31.501,Carry,True,2015/2016
,,,,,,"[110.5, 69.8]",,,,,,,,,,,,1.643253,,,,,,,,,,,,,08de6166-13e9-4cea-abae-edcb5fb1c569,2661,,,"[105.9, 71.7]",3825637,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Sergio Gontán Gallardo,6742.0,Right Wing,174,Eibar,322,"['65ac3f38-3f63-476f-a60d-a5a86683ddc3', '9816e493-9414-4415-b5a9-e1744da380e2', 'b04f8dbe-5396-467d-b4e4-15a41e5ca80c']",35,,,,,,,,,,,,,,,,,Eibar,322,00:28:35.409,Carry,True,2015/2016
,,,,,,"[94.6, 46.2]",,,,,,,,,,,,3.715158,,,,,,,,,,,,,09fb7b79-a706-4177-a2b7-a49ffd85b0fa,2677,,,"[78.4, 31.8]",3825637,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,175,Barcelona,217,"['6162cc56-0bdc-4d41-a614-2c728279cf42', '8d31f102-bfa8-4941-878f-6178f7dbd548', 'd680dc13-ad20-46c3-92e7-a546c2653905']",53,,,,,,,,,,,,,,,,,Barcelona,217,00:28:53.467,Carry,True,2015/2016
,,,,,,"[90.8, 46.7]",,,,,,,,,,,,5.014357,,,,,,,,,,,,,af1968d5-5a87-4ea1-92fe-e35a9c1f2c2a,2697,,,"[63.2, 72.9]",3825637,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Munir El Haddadi Mohamed,6616.0,Right Wing,179,Barcelona,217,"['77013713-61e1-455c-8573-338975bf1db8', '8a6275f7-99b0-4b56-aa0f-c3604c932bc3', 'fb5f22de-2a87-4f6f-af90-18d455b59d76']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:31:01.691,Carry,True,2015/2016
,,,,,,"[31.2, 61.1]",,,,,,,,,,,,3.652386,,,,,,,,,,,,,109bb2a9-e4b9-4af7-9e34-067452a24858,2703,,,"[27.4, 43.7]",3825637,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eddy Silvestre Pascual İsrafilov,23799.0,Left Defensive Midfield,180,Eibar,322,"['45fa2bdb-fa40-443a-a432-f072e226c843', '4d056bc3-f6e8-41af-b9c5-02b561a0459c', 'f3003fbc-7a96-4ef5-964d-16a2efe43f81']",7,,,,,,,,,,,,,,,,,Eibar,322,00:31:07.639,Carry,True,2015/2016
