50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,2.4988,,,,,,,,,,,,,8dbde764-f567-4d7e-9991-d1a17fb68086,17,,,"[50.5, 21.5]",69230,0,,,,,-0.32175055,,Left Foot,,,"[78.1, 12.3]",,High Pass,,29.092955,,,Incomplete,Thierry Henry,15516.0,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,3,Barcelona,217,"['087d4902-b371-43b7-b6b4-5bba8839408d', 'ad5e780b-0621-40ce-aaf0-ccfe8c6dffbf']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.848,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.2033,,,,,,,,,,,,,ad5e780b-0621-40ce-aaf0-ccfe8c6dffbf,19,,,"[42.9, 68.7]",69230,0,,,,,0.21593484,,Head,,,"[58.4, 72.1]",,High Pass,,15.868523,,,Incomplete,Juan Francisco Torres Belén,6375.0,,,,,,Recovery,1,Regular Play,Sergio Fernández González,25969.0,Right Center Back,3,Barcelona,217,"['62bd3364-ac73-42e5-8577-49f741bbe7be', '8dbde764-f567-4d7e-9991-d1a17fb68086', 'b03a18df-efec-491b-b39d-9a6df4f61919']",9,,,,,,,,,,,,,,,,,Osasuna,422,00:00:09.347,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.2043,,,,,,,,,,,,,b03a18df-efec-491b-b39d-9a6df4f61919,21,,,"[62.6, 8.9]",69230,0,,,,,0.08063287,,Other,,,"[72.5, 9.7]",,Low Pass,,9.932271,,,,Thierry Henry,15516.0,,,,,,Recovery,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,3,Barcelona,217,"['05379c18-4d5b-4e7b-ac3b-038be630f2f5', 'ad5e780b-0621-40ce-aaf0-ccfe8c6dffbf']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.550,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.126394,,,,,,,,,,,,,c390b359-3166-4990-b95e-be9a6fef8539,24,,,"[72.5, 9.7]",69230,0,,,,,2.5023153,,Right Foot,,,"[57.3, 21.0]",,Ground Pass,,18.940168,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,3,Barcelona,217,['ba75134f-c77b-4434-8d60-ac6b1efa3fbb'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.821,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.0003,,,,,,,,,,,,,46851210-06d9-4be6-8069-635ff91e2009,28,,,"[57.0, 16.9]",69230,0,,,,,-2.1156602,,Right Foot,,,"[51.0, 7.0]",,Ground Pass,,11.576269,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['839f58d9-ab26-4336-809c-11fca4fafcd9', 'c7706235-64b1-4d0b-baec-7b716b6d1b24']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.538,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,2.609065,,,,,,,,,,,,,ab883e3a-4943-4e56-b5be-3833ad9ef391,30,,,"[50.5, 7.7]",69230,0,,,,,1.9760687,,Left Foot,,,"[36.9, 39.4]",,High Pass,,34.4942,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,3,Barcelona,217,['9934a998-493c-4682-ab35-e5d1cc744067'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.538,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.726321,,,,,,,,,,,,,559a2097-5d51-4e36-94ff-56c2345303e1,33,,,"[41.3, 42.1]",69230,0,,,,,-1.725465,,Right Foot,,,"[38.4, 23.5]",,Ground Pass,,18.824718,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['05f3b77c-66e4-40b0-8257-693f6c64ce6b'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.961,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.260058,,,,,,,,,,,,,ef08855c-30d8-48f1-a3c8-a6774cf0a494,36,,,"[39.3, 25.9]",69230,0,,,,,1.5572836,,Right Foot,,,"[39.8, 62.9]",,Ground Pass,,37.00338,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,3,Barcelona,217,['afeed21b-2c1f-40f0-b8ad-b3e8d05cd437'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.914,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.6034,,,,,,,,,,,,,0237bdf9-bfcf-4f52-89b1-ea169c11a6ad,39,,,"[52.2, 64.1]",69230,0,,,,,-0.5989583,,Right Foot,,,"[75.2, 48.4]",,Ground Pass,,27.847622,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['817dd9ee-7a4f-4a23-be35-0030837c6cd5'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.021,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.1535,,,,,,,,,,,,,92a8cf78-9a09-48c7-ae83-5cd7ee9ebc89,41,,,"[75.2, 48.4]",69230,0,,,,,-2.7191203,,Right Foot,,,"[64.3, 43.5]",,Ground Pass,,11.950732,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,3,Barcelona,217,['5ca9a67b-89c8-431d-8655-a18676a935eb'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.624,Pass,,2008/2009
