50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,1.186,,,,,,,,,,,c38ee71f-a01d-4721-836d-a832fa038534,2635,,"[22.4, 55.8]",69252,60,,,,,3.0023134,,Right Foot,,,,"[11.7, 57.3]",Ground Pass,,10.804628,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,135,Barcelona,217,"['954189c4-d4e5-4646-a6ed-6282939c4a89', 'c68cf656-d3ea-4c8d-813d-0787b78c71d4']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:15:31.687,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,2.244,,,,,,,,,,,8799b732-5a9b-4bd4-915a-9d7b1b3b1857,2638,,"[13.8, 63.6]",69252,60,,,,,0.2863044,,Right Foot,,,,"[56.6, 76.2]",Low Pass,,44.616142,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,135,Barcelona,217,['ee5e507c-5a24-4dd0-a6d8-26e510523f96'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:15:34.599,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,187d6028-cf9c-4b3b-a572-99fc0f715d0a,2646,,"[75.6, 64.9]",69252,60,,,,,-0.90922487,,Left Foot,,,,"[85.8, 51.8]",Ground Pass,,16.60271,,,,Daniel Alves da Silva,4324.0,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,135,Barcelona,217,"['a5d05f02-255e-42aa-b24a-e95844723ca9', 'bd440d9c-a745-4da0-ad3f-bbbc4e78b946']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:15:43.027,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,1.22461,,,,,,,,,,,eb6026a4-036e-4208-8dbb-8e9586f55076,2650,,"[85.0, 53.1]",69252,60,,,,,-1.6054145,,Right Foot,,,,"[84.2, 30.0]",Ground Pass,,23.113848,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,135,Barcelona,217,['7345dcc3-d0bd-41ca-9f71-0283795e3a5c'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:15:45.055,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.575001,,,,,,,,,,,3dc3f27f-86c0-4a47-9a8f-8ec4e8fd4d13,2653,,"[86.1, 29.6]",69252,60,,,,,-0.42889678,,Right Foot,,,,"[106.0, 20.5]",Ground Pass,,21.881956,,,,Seydou Kéita,20169.0,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,135,Barcelona,217,['0ac6c77e-8dee-47d6-beb2-f65e509e7132'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:15:47.288,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.1506,,,,,,,,,,,4f3a2547-e64a-4b3b-8478-702daec27993,2656,,"[107.5, 19.1]",69252,60,,,,,1.507986,,Left Foot,True,,,"[108.5, 35.0]",Ground Pass,,15.931416,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,135,Barcelona,217,"['67c3d1a0-7c70-4750-99ec-c1291fca3ec4', 'aeb10cf9-c8b7-4b77-b3a8-773486dcf3d7']",49,,,,,,,,,,,,,,,,,Barcelona,217,00:15:49.771,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.8363,,,,,,,,,,,9cbe07fb-086e-470e-8dab-cd300c3751be,2659,,"[90.1, 1.0]",69252,60,,,,,2.7672591,,,,,,"[78.9, 5.4]",Low Pass,,12.033287,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,Throw-in,2,From Throw In,Seydou Kéita,20169.0,Right Center Midfield,136,Barcelona,217,['c8ba4557-7177-4123-9a35-6c3c5e9b5335'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:15:58.383,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,0.9491,,,,,,,,,,,fa9ff7a9-b30c-4bc9-a0d8-6cdd64968b6f,2663,,"[77.2, 5.8]",69252,61,,,,,-0.38633722,,Left Foot,,,,"[89.0, 1.0]",Ground Pass,,12.738916,,,,Seydou Kéita,20169.0,,,,,,,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,136,Barcelona,217,"['179f2568-d7ed-4480-838c-8b18bdc1b861', '9c68da0e-4057-4206-9365-cd255586acd4']",0,,,,,,,,,,,,,,,,,Barcelona,217,00:16:00.323,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,5e321bc5-eb2f-44d2-be79-e155ec2b6225,2666,,"[92.6, 4.3]",69252,61,,,,,2.1613874,,Left Foot,,,,"[74.7, 31.0]",Low Pass,,32.144985,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,2,From Throw In,Seydou Kéita,20169.0,Right Center Midfield,136,Barcelona,217,['f3719b3a-5898-4fbf-84e2-d33cf05bc5b6'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:16:02.729,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,1.9154,,,,,,,,,,,aebad2bf-4f0c-4436-9534-61f80874de89,2670,,"[75.3, 30.0]",69252,61,,,,,1.6245905,,Right Foot,,,,"[73.9, 56.0]",Ground Pass,,26.037664,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,2,From Throw In,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,136,Barcelona,217,"['266acaee-6e50-4fc8-9710-9505c7708723', 'd91d42e0-ed29-4305-a128-01541ecc4b3d']",5,,,,,,,,,,,,,,,,,Barcelona,217,00:16:05.363,Pass,True,2009/2010
,,,,,,,,,,,,,,,,,,,,0.878,,,,,,,,,,,1a2f166e-6f3e-4424-bca7-e285f0968d7a,2673,,"[81.6, 54.8]",69252,61,,,,,-1.2299839,,Right Foot,,,,"[87.7, 37.6]",Ground Pass,,18.249657,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,136,Barcelona,217,['d38904e2-c426-4847-86fd-a379d0c0a2ad'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:16:09.567,Pass,,2009/2010
,,,,,,,,,,,,,,,,,,,,0.7467,,,,,,,,,,,7a02589d-0f4c-4ef4-9f76-b1460cc8d079,2676,,"[88.6, 37.3]",69252,61,,,,,-2.0749624,7a6364c5-7eef-4abe-8787-d22a5dc4fab6,Right Foot,,,,"[85.4, 31.5]",Ground Pass,,6.624198,,,,Lionel Andrés Messi Cuccittini,5503.0,True,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,136,Barcelona,217,['ccf6349a-66e1-4b6c-9a72-393450de723d'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:16:10.445,Pass,,2009/2010
