50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.864775,,,,,,,,,,,,,,99e2f5f6-54b4-48c2-a365-5936e2e14bb2,622,,,"[83.7, 51.2]",68366,12,,,,,0.70519674,,Left Foot,,,,"[112.6, 75.8]",,Ground Pass,,37.952206,,,,,Daniel González Güiza,20132.0,,,,,,,1,From Throw In,Juan Fernando Arango Sáenz,25995.0,Right Midfield,41,Mallorca,1043,['f207845b-755f-4a47-874d-1d6db827bbea'],17,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:17.873,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.744045,,,,,,,,,,,,,,614a76e6-9c8f-4355-9497-bde3b98a1983,625,,,"[112.9, 75.7]",68366,12,,,,,-1.6192658,,Right Foot,True,,,"[111.6, 48.9]",,High Pass,,26.83151,,,Incomplete,,Pierre Achille Webó Kouamo,25876.0,,,,,,,1,From Throw In,Daniel González Güiza,20132.0,Left Center Forward,41,Mallorca,1043,"['d046be2c-c5c4-488f-a502-ca8a44b5b147', 'f7d78374-8534-4097-bea2-b4b087bba161']",21,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:21.049,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.779184,,,,,,,,,,,,,,efa98b7d-7913-4e25-a225-e8edf338ff0d,629,,,"[21.7, 19.3]",68366,12,,,,,-2.2896264,,Right Foot,,,,"[14.7, 11.3]",,Ground Pass,,10.630146,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,Recovery,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,42,Barcelona,217,['4256f3ef-0ab7-4700-8198-5d1b2ca2a471'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:23.908,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.234994,,,,,,,,,,,,,,46733539-af30-412e-9747-4bec4cd2afa0,633,,,"[13.2, 12.0]",68366,12,,,,,0.14387529,,Right Foot,,,,"[41.5, 16.1]",,High Pass,,28.595453,,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,42,Barcelona,217,['5b2a8742-796a-48a8-aed9-2bd60c7336e3'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:24.823,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.648179,,,,,,,,,,,,,,cc1403fe-ae68-402b-8204-5fe2c4e9c6ff,637,,,"[40.0, 16.4]",68366,12,,,,,2.4082308,,Right Foot,,,,"[29.9, 25.5]",,Low Pass,,13.5948515,,,,,Anderson Luís de Souza,19757.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,42,Barcelona,217,"['3c278f37-0405-4024-9ebe-913b9a258581', '41368351-fe55-43a4-b2e2-85877c880d34']",27,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:27.469,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,,,1.376416,,,,,,,,,,,,,,a2504ca1-e14a-4348-9dca-c1d0aedc4c8e,640,,,"[32.0, 24.0]",68366,12,,,,,1.1730022,,Right Foot,,,,"[44.9, 54.7]",,Ground Pass,,33.30015,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Anderson Luís de Souza,19757.0,Left Center Midfield,42,Barcelona,217,['5bb439ae-56b9-406b-9533-d1ed1b11232f'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:29.480,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.07701,,,,,,,,,,,,,,92bfd4fb-6bf5-4edc-8111-e4489911fd54,643,,,"[50.6, 51.4]",68366,12,,,,,1.0058023,,Left Foot,,,,"[64.8, 73.8]",,Ground Pass,,26.521688,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Right Center Midfield,42,Barcelona,217,['33937e15-7408-4a54-ba4f-aa1a8fafea72'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:32.440,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.215741,,,,,,,,,,,,,,9289e2ab-fe68-4bfc-8cb5-228bc6f3dd63,653,,,"[82.9, 52.3]",68366,12,,,,,-0.14736149,,Left Foot,,,,"[95.7, 50.4]",,Ground Pass,,12.940248,True,,Incomplete,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,42,Barcelona,217,"['82f3e196-16e5-4b8f-b526-46f6d9b3176b', 'a6024fb3-7500-42dd-b688-395fff4d7ac1']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:12:40.816,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.962144,,,,,,,,,,,,,,68275b34-e8ff-4411-bb81-9bcc2598f54f,658,,,"[42.1, 17.1]",68366,12,,,,,3.0457335,,Right Foot,,,,"[31.7, 18.1]",,Ground Pass,,10.447967,,,,,Fernando Navarro i Corbacho,6913.0,,,,,,,1,Regular Play,Fernando Varela Ramos,26201.0,Left Midfield,43,Mallorca,1043,['33e79a5f-ffef-489d-8e5d-5a912904ee4d'],44,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:44.568,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.409892,,,,,,,,,,,,,,11206f33-af4c-4a87-ae1a-47c1f21d6603,661,,,"[38.7, 10.9]",68366,12,,,,,0.32918537,,Left Foot,,,,"[70.9, 21.9]",,Ground Pass,,34.027046,,,,,Pierre Achille Webó Kouamo,25876.0,,,,,,,1,Regular Play,Fernando Navarro i Corbacho,6913.0,Left Back,43,Mallorca,1043,['f120eb51-ce8b-4c21-8b6c-6cbcd43e1ede'],48,,,,,,,,,,,,,,,,,,Mallorca,1043,00:12:48.735,Pass,,2007/2008
