bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.0862,,,,,,,,,,,,,3959bcb8-7ed5-43f0-9166-2a925109d412,16,,"[12.4, 73.9]",70262,0,,,,,2.6201582,,Right Foot,,,"[7.7, 76.6]",,Ground Pass,,5.420332,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['74c9980f-d16e-4a53-a59a-11c29e7c7892', 'afc4ad7f-8934-4291-bf09-fbf1ab6a6937']",22,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.741,Pass,,2012/2013
,,,,,,,,,,,,,,,0.917123,,,,,,,,,,,,,afc4ad7f-8934-4291-bf09-fbf1ab6a6937,18,,"[113.3, 4.4]",70262,0,,,,,-2.9899871,,Right Foot,,,"[106.1, 3.3]",,Ground Pass,,7.283543,,,Roland Conde Lamah,16718.0,,,,,Recovery,1,Regular Play,Joseba Llorente Etxarri,26191.0,Center Forward,4,Osasuna,422,"['3959bcb8-7ed5-43f0-9166-2a925109d412', '4902b4b7-4fe0-4e25-ae7d-68dae64a29e3']",23,,,,,,,,,,,,,,,,Osasuna,422,00:00:23.827,Pass,,2012/2013
,,,,,,,,,,,,,,,0.9219,,,,,,,,,,,,,72daed3b-bfb5-4657-9d89-8fbed8f0fa84,21,,"[106.9, 3.1]",70262,0,,,,,1.6376421,819e784a-e1c9-40c2-9337-ad90bfcaaee3,Left Foot,,,"[105.3, 27.0]",,Ground Pass,,23.953497,,,Álvaro Cejudo Carmona,26723.0,True,,,,,1,Regular Play,Roland Conde Lamah,16718.0,Left Wing,4,Osasuna,422,['02f70689-4c65-4a18-9918-c6ba08bb2141'],25,,,,,,,,,,,,,,,,Osasuna,422,00:00:25.449,Pass,,2012/2013
,,,,,,,,,,,,,,,0.858,,,,,,,,,,,,,5be092d3-25ec-456a-9446-4e02529a1d21,29,,"[120.0, 1.0]",70262,0,,,,,1.7577755,,Right Foot,,,"[113.7, 34.3]",,High Pass,True,33.890705,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Álvaro Cejudo Carmona,26723.0,Right Wing,5,Osasuna,422,['9c8b781a-37e6-45e1-a75b-60daedab6f85'],54,,,,,,,,,,,,,,,,Osasuna,422,00:00:54.152,Pass,,2012/2013
,,,,,,,,,,,,,,,1.1227,,,,,,,,,,,,,604535b2-2db7-4738-a7fc-4f54ad5b9c3e,36,,"[116.9, 65.0]",70262,1,,,,,-1.8743068,,Right Foot,True,,"[111.2, 46.8]",,High Pass,,19.071707,,,Joseba Llorente Etxarri,26191.0,,,,,,1,From Corner,Raoul Cédric Loé,27089.0,Left Defensive Midfield,5,Osasuna,422,"['3990c1c4-5404-4e4c-8678-fe30e57d9218', 'a50e6ea3-f1a7-4c10-b228-e58e37bce841']",2,,,,,,,,,,,,,,,,Osasuna,422,00:01:02.774,Pass,True,2012/2013
,,,,,,,,,,,,,,,0.5095,,,,,,,,,,,,,2429aa06-c99b-477b-bcf8-8a579b1dfc15,38,,"[110.3, 46.5]",70262,1,,,,,-1.4288993,,Head,,,"[111.2, 40.2]",,Low Pass,,6.363961,,,Sisinio González Martínez,26189.0,,,,,,1,From Corner,Joseba Llorente Etxarri,26191.0,Center Forward,5,Osasuna,422,['51d74d5e-ccf7-4536-84b4-d278f4b95dd0'],3,,,,,,,,,,,,,,,,Osasuna,422,00:01:03.983,Pass,,2012/2013
,,,,,,,,,,,,,,,1.534892,,,,,,,,,,,,,200fcb39-3ba7-49d5-8c49-e47a5e139211,44,,"[15.7, 49.1]",70262,1,,,,,-0.19440454,,Right Foot,,,"[35.0, 45.3]",,High Pass,,19.670536,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,6,Barcelona,217,['1581e63a-9d21-41b0-8ef5-8f361e79c289'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.102,Pass,,2012/2013
,,,,,,,,,,,,,,,0.88126,,,,,,,,,,,,,eef2b35a-ada8-4d62-af25-08025cced596,47,,"[35.4, 46.1]",70262,1,,,,,-0.66596925,,Right Foot,,,"[42.4, 40.6]",,Low Pass,,8.902246,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,6,Barcelona,217,['5c511769-d4ce-450b-994a-3a5e77aaf202'],7,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.769,Pass,,2012/2013
,,,,,,,,,,,,,,,0.1469,,,,,,,,,,,,,3095e917-1938-48c1-b76d-6b1ee271d1d5,51,,"[72.8, 49.3]",70262,1,,,,,-0.59619915,,Right Foot,,,"[75.6, 47.4]",,High Pass,,3.3837848,Incomplete,,,,,,,,Recovery,1,Regular Play,Marc Bertrán Vilanova,26807.0,Right Back,6,Barcelona,217,['fd7c06af-f9d8-4eae-9bc4-272ee797e396'],9,,,,,,,,,,,,,,,,Osasuna,422,00:01:09.947,Pass,,2012/2013
,,,,,,,,,,,,,,,1.8343,,,,,,,,,,,,,ff561c74-9769-444f-8fe7-9ed501050c7e,54,,"[64.8, 36.8]",70262,1,,,,,1.9573027,,Right Foot,,,"[57.8, 54.0]",,High Pass,,18.569868,,,Marc Bertrán Vilanova,26807.0,,,,,Recovery,1,Regular Play,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,6,Barcelona,217,"['65751cd1-4536-460e-9057-f3954b44367c', '95aaa8ce-cd62-48a1-9b14-5d3b0f4502a5']",11,,,,,,,,,,,,,,,,Osasuna,422,00:01:11.856,Pass,True,2012/2013
,,,,,,,,,,,,,,,2.3061,,,,,,,,,,,,,dcd15602-6a41-4ce8-9918-08830140b358,57,,"[57.4, 52.9]",70262,1,,,,,0.28906772,,Left Foot,,,"[84.3, 60.9]",,High Pass,,28.06439,Incomplete,,,,,,,,,1,Regular Play,Marc Bertrán Vilanova,26807.0,Right Back,6,Barcelona,217,['8a415098-4c94-446d-95e6-27d5677b1e2e'],13,,,,,,,,,,,,,,,,Osasuna,422,00:01:13.745,Pass,,2012/2013
,,,,,,,,,,,,,,,1.137325,,,,,,,,,,,,,8a415098-4c94-446d-95e6-27d5677b1e2e,58,,"[36.7, 20.1]",70262,1,,,,,0.09966865,,Left Foot,,,"[50.7, 21.5]",,High Pass,,14.069826,,,Francesc Fàbregas i Soler,3478.0,,,,,Recovery,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,"['6c87ebcd-6d2f-4a22-a26d-b43c49b84d32', 'dcd15602-6a41-4ce8-9918-08830140b358']",16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.051,Pass,,2012/2013
