bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69ba7419-e6ce-4c1a-ad98-278af712104f,1,,,69268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,434f217e-5728-4a96-b189-ba6902219ff8,2,,,69268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7034, 'name': 'Mateo Pablo Musacchio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26721, 'name': 'Joan Oriol i Gràcia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 20127, 'name': 'Carlos Marchena López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 26698, 'name': 'Nilmar Honorato da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Villarreal,222,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4897b8a-eba2-43a6-b3dc-3a1ca77c7fbb,3,,,69268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5b5fe51f-18e8-4674-a5f3-21713dd345c8'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b5fe51f-18e8-4674-a5f3-21713dd345c8,4,,,69268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d4897b8a-eba2-43a6-b3dc-3a1ca77c7fbb'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6906f384-8f03-46c7-bef8-bf96c2b27c26,1975,,,69268,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,109,Villarreal,222,['c0e538da-4b86-4131-97da-47563ff7c98b'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0e538da-4b86-4131-97da-47563ff7c98b,1976,,,69268,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,109,Villarreal,222,['6906f384-8f03-46c7-bef8-bf96c2b27c26'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,2.406306,,,,,,,,,,,,,6ede1c46-ea41-4515-9dbe-5c3fd5420ad7,5,,"[61.0, 41.0]",69268,0,,,,,-3.0557117,,Right Foot,,,,"[45.9, 39.7]",,Ground Pass,,15.155857,,,,Seydou Kéita,20169.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['8e936e3c-f90c-491d-9364-80ca65930a8b'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.328,Pass,,2011/2012
,,,,,,,,,,,,,,,1.682411,,,,,,,,,,,,,fd7b75b9-6075-483e-86d2-510baac2400b,8,,"[44.0, 44.7]",69268,0,,,,,2.2703526,,Left Foot,,,,"[28.6, 63.0]",,Ground Pass,,23.917566,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Seydou Kéita,20169.0,Right Center Midfield,2,Barcelona,217,['779548e6-af37-4c2a-b664-bf2ea7c3d4de'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.566,Pass,,2011/2012
,,,,,,,,,,,,,,,1.732686,,,,,,,,,,,,,7cb334b6-ea5f-4873-b0db-662605f09b94,11,,"[29.5, 63.0]",69268,0,,,,,-1.7111111,,Right Foot,,,,"[27.0, 45.3]",,Ground Pass,,17.87568,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Right Center Back,2,Barcelona,217,['6989ca1a-a36f-4452-8648-2cfa74ba0a28'],6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.565,Pass,,2011/2012
,,,,,,,,,,,,,,,2.17446,,,,,,,,,,,,,debc9879-94f3-4aa3-8426-cfa5875733e2,14,,"[29.3, 45.3]",69268,0,,,,,1.067324,,Right Foot,,,,"[46.1, 75.8]",,Ground Pass,,34.820827,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Back,2,Barcelona,217,['ecd2876b-6df5-4ba6-844e-06b61c3ac95c'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.144,Pass,,2011/2012
