50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bfd80660-8746-4926-ac96-e9ffbe933c47,1,,,69330,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26788, 'name': 'Jon Aurtenetxe Borde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f674769b-a11a-4a66-8925-329b4a3684b2,2,,,69330,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5b92388-a300-4342-b84d-0d615e09169c,3,,,69330,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['bcbdcefb-74a7-4862-9177-860594d22a91'],0,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcbdcefb-74a7-4862-9177-860594d22a91,4,,,69330,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['c5b92388-a300-4342-b84d-0d615e09169c'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2cd51c7c-5d4d-4f6c-82fd-5d589ebe509d,1979,,,69330,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Athletic Club,215,['ad4a9eb7-5dfb-4479-ab4e-7490084ae296'],0,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ad4a9eb7-5dfb-4479-ab4e-7490084ae296,1980,,,69330,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Athletic Club,215,['2cd51c7c-5d4d-4f6c-82fd-5d589ebe509d'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2011/2012
,,,,,,,,,,,,,,,,0.795959,,,,,,,,,,,,f094d500-388c-4ba2-b8df-ed9ecc4c4e4c,5,,"[60.0, 40.0]",69330,0,,,,,-1.94513,,Right Foot,,,,"[58.9, 37.2]",,Ground Pass,,3.0083218,,,,Fernando Llorente Torres,3486.0,,,,,Kick Off,1,From Kick Off,Ander Herrera Agüera,3606.0,Center Attacking Midfield,2,Athletic Club,215,['8756cc88-9bc9-4b7b-a1ab-ac87f843d291'],0,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.391,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.861636,,,,,,,,,,,,e06908bf-e8b7-4112-9db3-1433ec387e1b,8,,"[56.3, 40.7]",69330,0,,,,,1.9930475,,Right Foot,,,,"[53.2, 47.6]",,Ground Pass,,7.56439,,,,Óscar de Marcos Arana,6649.0,,,,,,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Athletic Club,215,['0cca47a6-e061-448b-b54a-00322a3bc8e8'],2,,,,,,,,,,,,,,,Athletic Club,215,00:00:02.137,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.335517,,,,,,,,,,,,c46c8cbe-4af6-44e9-a6ba-877a4f551457,11,,"[51.9, 47.9]",69330,0,,,,,3.0750246,,Right Foot,,,,"[32.4, 49.2]",,Ground Pass,,19.543285,,,,Javier Martínez Aginaga,9399.0,,,,,,1,From Kick Off,Óscar de Marcos Arana,6649.0,Right Defensive Midfield,2,Athletic Club,215,['f639b5ee-29e2-429d-9001-5b085020c3db'],3,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.464,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.871083,,,,,,,,,,,,6e056d1f-c6c0-4621-8ba7-64244aa3eaf5,14,,"[31.9, 48.3]",69330,0,,,,,-1.8148298,,Right Foot,,,,"[25.7, 23.4]",,Ground Pass,,25.66028,,,,Fernando Amorebieta Mardaras,26028.0,,,,,,1,From Kick Off,Javier Martínez Aginaga,9399.0,Right Center Back,2,Athletic Club,215,['e4729282-4705-4ca4-8243-5d114bb52161'],4,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.939,Pass,,2011/2012
