50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,58ca2054-76f8-4813-9419-48eea9bef911,1,,,303666,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24140, 'name': 'Rui Tiago Dantas da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24133, 'name': 'Víctor David Díaz Miguel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 23807, 'name': 'Domingos Sousa Coutinho Meneses Duarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24134, 'name': 'Germán Sánchez Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25702, 'name': 'Carlos Neva Tey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 24126, 'name': 'José Antonio Rodríguez Díaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 24127, 'name': 'Ramon Olamilekan Azeez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5575a4ef-f319-4e42-8b9a-69a2d190df13,2,,,303666,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 25006, 'name': 'Carles Pérez Sayol'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,21ca78e9-70a3-4023-9f2e-8407159c9daa,3,,,303666,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['046a25c4-aca8-4612-bf5e-b4266378ec43'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,046a25c4-aca8-4612-bf5e-b4266378ec43,4,,,303666,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['21ca78e9-70a3-4023-9f2e-8407159c9daa'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,42ce18ed-2177-4eb9-8032-f88be65163df,1849,,,303666,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['88bfa52d-a1a1-4752-b941-fcf3aa6ea228'],0,,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,88bfa52d-a1a1-4752-b941-fcf3aa6ea228,1850,,,303666,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['42ce18ed-2177-4eb9-8032-f88be65163df'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.794397,,,,,,,,,,,,,,,185676a8-de92-4436-9d7b-bc85e5e82487,5,,"[61.0, 40.1]",303666,0,,,,3.0457335,,Right Foot,,,,"[55.8, 40.6]",Ground Pass,,5.2239833,,,,,Ángel Montoro Sánchez,24144.0,,,,,Kick Off,1,From Kick Off,Roberto Soldado Rillo,26009.0,Center Forward,2,Granada,1049,['533e875b-0592-4573-b37f-ef9bd7a66cd3'],1,,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.783,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.162854,,,,,,,,,,,,,,,75b61d95-6fe6-4ef4-80fe-c9487301e16e,8,,"[56.5, 46.5]",303666,0,,,,2.0478659,,Left Foot,,,,"[41.2, 76.1]",Low Pass,,33.320415,,,,,Víctor David Díaz Miguel,24133.0,,,,,,1,From Kick Off,Ángel Montoro Sánchez,24144.0,Left Defensive Midfield,2,Granada,1049,['db418b17-2816-4940-b482-254843d3ff06'],5,,,,,,,,,,,,,,,,,,Granada,1049,00:00:05.308,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,0.925894,,,,,,,,,,,,,,,9ad9ac35-a058-42e5-bb90-e1a8063d4db5,11,,"[40.2, 75.8]",303666,0,,,,-2.3344588,,Right Foot,,,,"[26.7, 61.7]",Ground Pass,,19.520758,,,,,Domingos Sousa Coutinho Meneses Duarte,23807.0,,,,,,1,From Kick Off,Víctor David Díaz Miguel,24133.0,Right Back,2,Granada,1049,['4c1f5d55-c874-42da-ac64-af3945257d2a'],8,,,,,,,,,,,,,,,,,,Granada,1049,00:00:08.386,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.216029,,,,,,,,,,,,,,,00216af4-1910-451f-9cbb-441c0cb8eee3,15,,"[28.1, 63.2]",303666,0,,,,-0.035896175,,Right Foot,,,,"[64.3, 61.9]",High Pass,,36.223335,,,Incomplete,,Yangel Clemente Herrera Ravelo,16249.0,,,,,,1,From Kick Off,Domingos Sousa Coutinho Meneses Duarte,23807.0,Right Center Back,2,Granada,1049,"['67892f14-d9e9-496c-9998-8c05a8afce0d', '9080a841-d290-483c-82f3-dff79ea3e5bc']",10,,,,,,,,,,,,,,,,,,Granada,1049,00:00:10.318,Pass,,2019/2020
